,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,0.28,0.22,0.06,27.2727
1,2022-06-30,2022-07-28,-0.2,0.14,-0.34,-242.8571
2,2022-03-31,2022-04-28,-0.38,0.42,-0.8,-190.4762
3,2021-12-31,2022-02-03,1.39,0.18,1.21,672.2222
4,2021-09-30,2021-10-28,0.31,0.45,-0.14,-31.1111
5,2021-06-30,2021-07-29,0.76,0.62,0.14,22.5806
6,2021-03-31,2021-04-29,0.79,0.48,0.31,64.5833
7,2020-12-31,2021-02-02,0.71,0.36,0.35,97.2222
8,2020-09-30,2020-10-29,0.62,0.37,0.25,67.5676
9,2020-06-30,2020-07-30,0.52,0.07,0.45,642.8571
10,2020-03-31,2020-04-30,5.01,6.25,-1.24,-19.84
11,2019-12-31,2020-01-30,6.47,4.03,2.44,60.5459
12,2019-09-30,2019-10-24,4.23,4.62,-0.39,-8.4416
13,2019-06-30,2019-07-25,5.22,5.57,-0.35,-6.2837
14,2019-03-31,2019-04-25,7.09,4.72,2.37,50.2119
15,2018-12-31,2019-01-31,6.04,5.68,0.36,6.338
16,2018-09-30,2018-10-25,5.75,3.14,2.61,83.121
17,2018-06-30,2018-07-26,5.07,2.54,2.53,99.6063
18,2018-03-31,2018-04-26,3.27,1.26,2.01,159.5238
19,2017-12-31,2018-02-01,2.16,1.84,0.32,17.3913
20,2017-09-30,2017-10-26,0.52,0.03,0.49,1633.3333
21,2017-06-30,2017-07-27,0.4,1.42,-1.02,-71.831
22,2017-03-31,2017-04-27,1.48,1.09,0.39,35.7798
23,2016-12-31,2017-02-02,1.54,1.35,0.19,14.0741
24,2016-09-30,2016-10-27,0.52,0.78,-0.26,-33.3333
25,2016-06-30,2016-07-28,1.78,1.11,0.67,60.3604
26,2016-03-31,2016-04-28,1.07,0.58,0.49,84.4828
27,2015-12-31,2016-01-28,1,1.56,-0.56,-35.8974
28,2015-09-30,2015-10-22,0.17,-0.14,0.31,221.4286
29,2015-06-30,2015-07-23,0.19,-0.14,0.33,235.7143
30,2015-03-31,2015-04-23,-0.12,-0.12,0,0
31,2014-12-31,2015-01-29,0.45,0.17,0.28,164.7059
32,2014-09-30,2014-10-23,-0.95,-0.73,-0.22,-30.137
33,2014-06-30,2014-07-24,-0.27,-0.15,-0.12,-80
34,2014-03-31,2014-04-24,0.23,0.23,0,0
35,2013-12-31,2014-01-30,0.51,0.66,-0.15,-22.7273
36,2013-09-30,2013-10-24,-0.09,-0.09,0,0
37,2013-06-30,2013-07-25,-0.02,0.05,-0.07,-140
38,2013-03-31,2013-04-25,0.18,0.08,0.1,125
39,2012-12-31,2013-01-29,0.21,0.28,-0.07,-25
40,2012-09-30,2012-10-25,-0.23,-0.08,-0.15,-187.5
41,2012-06-30,2012-07-26,0.16,0.02,0.14,700
42,2012-03-31,2012-04-26,0.28,0.07,0.21,300
43,2011-12-31,2012-01-31,0.38,0.17,0.21,123.5294
44,2011-09-30,2011-10-25,0.14,0.24,-0.1,-41.6667
45,2011-06-30,2011-07-26,0.41,0.35,0.06,17.1429
46,2011-03-31,2011-04-26,0.44,0.61,-0.17,-27.8689
47,2010-12-31,2011-01-27,0.91,0.88,0.03,3.4091
48,2010-09-30,2010-10-21,0.51,0.48,0.03,6.25
49,2010-06-30,2010-07-22,0.45,0.54,-0.09,-16.6667
50,2010-03-31,2010-04-22,0.66,0.61,0.05,8.1967
51,2009-12-31,2010-01-28,0.85,0.72,0.13,18.0556
