,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-16,0.58,0.69,-0.11,-15.942
1,2022-07-31,2022-08-24,0.51,1.25,-0.74,-59.2
2,2022-04-30,2022-05-25,1.36,1.29,0.07,5.4264
3,2022-01-31,2022-02-16,1.32,1.22,0.1,8.1967
4,2021-10-31,2021-11-17,1.17,1.11,0.06,5.4054
5,2021-07-31,2021-08-18,1.04,1.01,0.03,2.9703
6,2021-04-30,2021-05-26,0.92,0.82,0.1,12.1951
7,2021-01-31,2021-02-24,0.78,0.7,0.08,11.4286
8,2020-10-31,2020-11-18,0.73,0.64,0.09,14.0625
9,2020-07-31,2020-08-19,0.55,0.49,0.06,12.2449
10,2020-04-30,2020-05-21,0.45,0.42,0.03,7.1429
11,2020-01-31,2020-02-13,0.47,0.42,0.05,11.9048
12,2019-10-31,2019-11-14,0.45,0.39,0.06,15.3846
13,2019-07-31,2019-08-15,0.31,0.29,0.02,6.8966
14,2019-04-30,2019-05-16,0.88,0.81,0.07,8.642
15,2019-01-31,2019-02-14,0.8,0.75,0.05,6.6667
16,2018-10-31,2018-11-15,1.84,1.87,-0.03,-1.6043
17,2018-07-31,2018-08-16,1.94,1.77,0.17,9.6045
18,2018-04-30,2018-05-10,2.05,1.59,0.46,28.9308
19,2018-01-31,2018-02-08,1.78,1.17,0.61,52.1368
20,2017-10-31,2017-11-09,1.33,0.94,0.39,41.4894
21,2017-07-31,2017-08-10,0.92,0.7,0.22,31.4286
22,2017-04-30,2017-05-09,0.79,0.66,0.13,19.697
23,2017-01-31,2017-02-09,0.99,0.83,0.16,19.2771
24,2016-10-31,2016-11-10,0.83,0.57,0.26,45.614
25,2016-07-31,2016-08-11,0.4,0.37,0.03,8.1081
26,2016-04-30,2016-05-12,0.33,0.32,0.01,3.125
27,2016-01-31,2016-02-17,0.35,0.32,0.03,9.375
28,2015-10-31,2015-11-05,0.44,0.25,0.19,76
29,2015-07-31,2015-08-06,0.05,0.1,-0.05,-50
30,2015-04-30,2015-05-07,0.24,0.26,-0.02,-7.6923
31,2015-01-31,2015-02-11,0.35,0.28,0.07,25
32,2014-10-31,2014-11-06,0.31,0.28,0.03,10.7143
33,2014-07-31,2014-08-07,0.22,0.2,0.02,10
34,2014-04-30,2014-05-06,0.21,0.17,0.04,23.5294
35,2014-01-31,2014-02-12,0.24,0.18,0.06,33.3333
36,2013-10-31,2013-11-07,0.2,0.2,0,0
37,2013-07-31,2013-08-08,0.16,0.13,0.03,23.0769
38,2013-04-30,2013-05-09,0.13,0.1,0.03,30
39,2013-01-31,2013-02-13,0.28,0.24,0.04,16.6667
40,2012-10-31,2012-11-08,0.33,0.3,0.03,10
41,2012-07-31,2012-08-09,0.22,0.14,0.08,57.1429
