,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-15,2.84,3.34,-0.5,-14.9701
1,2022-06-30,2022-08-23,3.74,3.76,-0.02,-0.5319
2,2022-03-31,2022-05-23,3.57,3.59,-0.02,-0.5571
3,2021-12-31,2022-02-14,2.07,1.97,0.1,5.0761
4,2021-09-30,2021-11-15,3.21,2.87,0.34,11.8467
5,2021-06-30,2021-08-24,3.4,3.04,0.36,11.8421
6,2021-03-31,2021-06-02,3.34,3.08,0.26,8.4416
7,2020-12-31,2021-02-16,1.87,1.97,-0.1,-5.0761
8,2020-09-30,2020-11-10,2.81,2.66,0.15,5.6391
9,2020-06-30,2020-08-18,2.92,1.98,0.94,47.4747
10,2020-03-31,2020-05-19,0.91,1.73,-0.82,-47.3988
11,2019-12-31,2020-02-18,1.64,1.35,0.29,21.4815
12,2019-09-30,2019-11-12,2.1,2.05,0.05,2.439
13,2019-06-30,2019-08-13,2,2.21,-0.21,-9.5023
14,2019-03-31,2019-05-22,2.46,2.35,0.11,4.6809
15,2018-12-31,2019-02-19,1.17,1.13,0.04,3.5398
16,2018-09-30,2018-11-13,1.89,1.75,0.14,8
17,2018-06-30,2018-08-14,1.97,1.86,0.11,5.914
18,2018-03-31,2018-05-22,2.1,1.97,0.13,6.599
19,2017-12-31,2018-02-21,0.77,0.63,0.14,22.2222
20,2017-09-30,2017-11-14,1.43,1.21,0.22,18.1818
21,2017-06-30,2017-08-15,1.58,1.65,-0.07,-4.2424
22,2017-03-31,2017-05-24,1.6,2.17,-0.57,-26.2673
23,2016-12-31,2017-02-21,1,1.09,-0.09,-8.2569
24,2016-09-30,2016-11-14,1.73,1.71,0.02,1.1696
25,2016-06-30,2016-08-16,1.9,2.12,-0.22,-10.3774
26,2016-03-31,2016-05-19,2.51,2.6,-0.09,-3.4615
27,2015-12-31,2016-02-11,1.22,1.2,0.02,1.6667
28,2015-09-30,2015-11-12,1.95,2.09,-0.14,-6.6986
29,2015-06-30,2015-08-13,2.27,2.25,0.02,0.8889
30,2015-03-31,2015-05-21,2.39,2.48,-0.09,-3.629
31,2014-12-31,2015-02-12,1.54,1.48,0.06,4.0541
32,2014-09-30,2014-11-06,1.89,1.88,0.01,0.5319
33,2014-06-30,2014-08-14,2.08,2.01,0.07,3.4826
34,2014-03-31,2014-05-15,2.25,2.16,0.09,4.1667
35,2013-12-31,2014-02-06,0.67,0.79,-0.12,-15.1899
36,2013-09-30,2013-10-31,1.42,1.4,0.02,1.4286
37,2013-06-30,2013-08-08,1.59,1.48,0.11,7.4324
38,2013-03-31,2013-05-23,1.65,1.62,0.03,1.8519
39,2012-12-31,2013-02-07,0.88,0.75,0.13,17.3333
40,2012-09-30,2012-11-08,1.21,1.21,0,0
41,2012-06-30,2012-08-09,1.34,1.39,-0.05,-3.5971
42,2012-03-31,2012-05-17,1.79,1.81,-0.02,-1.105
43,2011-12-31,2012-02-16,0.9,0.75,0.15,20
44,2011-09-30,2011-11-09,1.41,1.18,0.23,19.4915
45,2011-06-30,2011-08-10,1.46,1.38,0.08,5.7971
46,2011-03-31,2011-05-18,1.35,1.38,-0.03,-2.1739
47,2010-12-31,2011-02-09,0.57,0.54,0.03,5.5556
48,2010-09-30,2010-11-10,1.03,0.93,0.1,10.7527
49,2010-06-30,2010-08-11,1.16,1.03,0.13,12.6214
50,2010-03-31,2010-05-19,1.19,1,0.19,19
51,2009-12-31,2010-02-17,0.39,0.46,-0.07,-15.2174
52,2009-09-30,2009-11-11,0.69,0.66,0.03,4.5455
53,2009-06-30,2009-08-12,0.89,0.84,0.05,5.9524
54,2009-03-31,2009-05-20,1.02,0.92,0.1,10.8696
55,2008-12-31,2009-02-18,0.51,0.37,0.14,37.8378
56,2008-09-30,2008-10-29,0.59,0.57,0.02,3.5088
57,2008-06-30,2008-08-06,0.79,0.72,0.07,9.7222
58,2008-03-31,2008-05-15,0.86,0.78,0.08,10.2564
59,2007-12-31,2008-02-13,0.35,0.37,-0.02,-5.4054
60,2007-09-30,2007-10-31,0.61,0.58,0.03,5.1724
61,2007-06-30,2007-08-08,0.64,0.66,-0.02,-3.0303
62,2007-03-31,2007-05-16,0.71,0.71,0,0
63,2006-12-31,2007-02-15,0.33,0.33,0,0
64,2006-09-30,2006-11-02,0.56,0.53,0.03,5.6604
65,2006-06-30,2006-08-10,0.59,0.58,0.01,1.7241
66,2006-03-31,2006-05-18,0.68,0.69,-0.01,-1.4493
67,2005-12-31,2006-02-16,0.36,0.36,0,0
68,2005-09-30,2005-11-03,0.55,0.55,0,0
69,2005-06-30,2005-08-10,0.6,0.58,0.02,3.4483
70,2005-03-31,2005-05-18,0.63,0.58,0.05,8.6207
71,2004-12-31,2005-02-16,0.31,0.3,0.01,3.3333
72,2004-09-30,2004-11-03,0.45,0.45,0,0
73,2004-06-30,2004-08-11,0.47,0.46,0.01,2.1739
74,2004-03-31,2004-05-19,0.45,0.44,0.01,2.2727
75,2003-12-31,2004-02-18,0.3,0.27,0.03,11.1111
76,2003-09-30,2003-10-29,0.41,0.41,0,0
77,2003-06-30,2003-08-07,0.4,0.35,0.05,14.2857
78,2003-03-31,2003-05-14,0.33,0.25,0.08,32
79,2002-12-31,2003-02-12,0.14,0.14,0,0
80,2002-09-30,2002-11-18,0.31,0.29,0.02,6.8966
81,2002-06-30,2002-08-14,0.26,0.24,0.02,8.3333
82,2002-03-31,2002-05-22,0.18,0.18,0,0
83,2001-12-31,2002-02-20,0.01,0.01,0,0
