,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-22,1.7,1.7,0,0
1,2022-07-31,2022-08-24,1.65,1.57,0.08,5.0955
2,2022-04-30,2022-05-26,1.43,1.34,0.09,6.7164
3,2022-01-31,2022-02-24,1.5,1.44,0.06,4.1667
4,2021-10-31,2021-11-23,1.33,1.25,0.08,6.4
5,2021-07-31,2021-08-25,1.21,1.13,0.08,7.0796
6,2021-04-30,2021-05-27,1.03,0.94,0.09,9.5745
7,2021-01-31,2021-02-25,1.18,1.07,0.11,10.2804
8,2020-10-31,2020-11-24,1.04,0.96,0.08,8.3333
9,2020-07-31,2020-08-25,0.98,0.9,0.08,8.8889
10,2020-04-30,2020-05-27,0.85,0.8,0.05,6.25
11,2020-01-31,2020-02-27,0.92,0.89,0.03,3.3708
12,2019-10-31,2019-11-26,0.78,0.72,0.06,8.3333
13,2019-07-31,2019-08-27,0.65,0.61,0.04,6.5574
14,2019-04-30,2019-05-23,0.45,0.47,-0.02,-4.2553
15,2019-01-31,2019-02-28,0.46,0.42,0.04,9.5238
16,2018-10-31,2018-11-20,0.29,0.27,0.02,7.4074
17,2018-07-31,2018-08-23,0.19,0.16,0.03,18.75
18,2018-04-30,2018-05-24,0.06,0.03,0.03,100
19,2018-01-31,2018-03-06,-0.09,-0.11,0.02,18.1818
20,2017-10-31,2017-11-28,-0.12,-0.13,0.01,7.6923
21,2017-07-31,2017-08-24,-0.11,-0.15,0.04,26.6667
22,2017-04-30,2017-05-18,-0.16,-0.24,0.08,33.3333
23,2017-01-31,2017-03-02,-0.28,-0.34,0.06,17.6471
24,2016-10-31,2016-11-29,-0.18,-0.24,0.06,25
25,2016-07-31,2016-08-25,0.05,-0.13,0.18,138.4615
26,2016-04-30,2016-05-19,-0.1,-0.14,0.04,28.5714
27,2016-01-31,2016-02-25,0.21,0.11,0.1,90.9091
28,2015-10-31,2015-11-19,0.14,0.08,0.06,75
29,2015-07-31,2015-08-27,0.19,0.17,0.02,11.7647
30,2015-04-30,2015-05-19,0.3,0.28,0.02,7.1429
31,2015-01-31,2015-02-26,0.25,0.24,0.01,4.1667
32,2014-10-31,2014-11-20,0.25,0.22,0.03,13.6364
