,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,1.74,1.74,0,0
1,2022-06-30,2022-08-04,0.8,0.83,-0.03,-3.6145
2,2022-03-31,2022-05-05,0.97,0.98,-0.01,-1.0204
3,2021-12-31,2022-02-17,0.48,0.49,-0.01,-2.0408
4,2021-09-30,2021-11-03,1.65,1.61,0.04,2.4845
5,2021-06-30,2021-08-05,0.8,0.78,0.02,2.5641
6,2021-03-31,2021-05-10,0.91,0.74,0.17,22.973
7,2020-12-31,2021-02-18,0.46,0.42,0.04,9.5238
8,2020-09-30,2020-11-04,1.47,1.47,0,0
9,2020-06-30,2020-08-06,0.98,0.87,0.11,12.6437
10,2020-03-31,2020-05-11,0.59,0.7,-0.11,-15.7143
11,2019-12-31,2020-02-26,0.38,0.31,0.07,22.5806
12,2019-09-30,2019-11-08,1.47,1.45,0.02,1.3793
13,2019-06-30,2019-08-02,0.72,0.75,-0.03,-4
14,2019-03-31,2019-05-09,0.78,0.68,0.1,14.7059
15,2018-12-31,2019-02-14,0.28,0.32,-0.04,-12.5
16,2018-09-30,2018-10-31,1.5,1.31,0.19,14.5038
17,2018-06-30,2018-08-03,0.97,0.78,0.19,24.359
18,2018-03-31,2018-05-09,0.62,0.58,0.04,6.8966
19,2017-12-31,2018-02-16,0.39,0.36,0.03,8.3333
20,2017-09-30,2017-11-03,1.24,1.33,-0.09,-6.7669
21,2017-06-30,2017-08-04,0.79,0.7,0.09,12.8571
22,2017-03-31,2017-05-04,0.42,0.39,0.03,7.6923
23,2016-12-31,2017-02-16,0.13,0.15,-0.02,-13.3333
24,2016-09-30,2016-11-04,1.52,1.38,0.14,10.1449
25,2016-06-30,2016-08-05,0.61,0.52,0.09,17.3077
26,2016-03-31,2016-05-10,0.43,0.38,0.05,13.1579
27,2015-12-31,2016-02-19,0.12,0.16,-0.04,-25
28,2015-09-30,2015-11-06,1.41,1.3,0.11,8.4615
29,2015-06-30,2015-07-31,0.58,0.61,-0.03,-4.918
30,2015-03-31,2015-05-07,0.45,0.38,0.07,18.4211
31,2014-12-31,2015-02-25,0.19,0.14,0.05,35.7143
32,2014-09-30,2014-11-06,1.2,1.22,-0.02,-1.6393
33,2014-06-30,2014-08-05,0.62,0.58,0.04,6.8966
34,2014-03-31,2014-05-08,0.4,0.31,0.09,29.0323
35,2013-12-31,2014-02-21,0.19,0.12,0.07,58.3333
36,2013-09-30,2013-11-07,1.25,1.24,0.01,0.8065
37,2013-06-30,2013-08-01,0.44,0.49,-0.05,-10.2041
38,2013-03-31,2013-05-02,0.22,0.28,-0.06,-21.4286
39,2012-12-31,2013-02-20,0.14,0.2,-0.06,-30
40,2012-09-30,2012-11-09,1.33,1.41,-0.08,-5.6738
41,2012-06-30,2012-08-02,0.73,0.62,0.11,17.7419
42,2012-03-31,2012-05-04,0.22,0.23,-0.01,-4.3478
