,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-04,0.63,0.53,0.1,18.8679
1,2022-06-30,2022-08-04,0.34,0.31,0.03,9.6774
2,2022-03-31,2022-05-05,0.21,0.28,-0.07,-25
3,2021-12-31,2022-01-06,0.45,0.43,0.02,4.6512
4,2021-09-30,2021-11-03,0.5,0.43,0.07,16.2791
5,2021-06-30,2021-08-04,0.31,0.29,0.02,6.8966
6,2021-03-31,2021-05-06,0.28,0.3,-0.02,-6.6667
7,2020-12-31,2021-02-25,0.48,0.44,0.04,9.0909
8,2020-09-30,2020-11-06,0.42,0.43,-0.01,-2.3256
9,2020-06-30,2020-08-06,0.25,0.23,0.02,8.6957
10,2020-03-31,2020-05-07,0.29,0.29,0,0
11,2019-12-31,2020-02-28,0.35,0.33,0.02,6.0606
12,2019-09-30,2019-11-06,0.48,0.41,0.07,17.0732
13,2019-06-30,2019-08-06,0.26,0.27,-0.01,-3.7037
14,2019-03-31,2019-05-07,0.28,0.3,-0.02,-6.6667
15,2018-12-31,2019-02-27,0.36,0.33,0.03,9.0909
16,2018-09-30,2018-11-06,0.35,0.3,0.05,16.6667
17,2018-06-30,2018-08-07,0.25,0.28,-0.03,-10.7143
18,2018-03-31,2018-05-08,0.28,0.25,0.03,12
19,2017-12-31,2018-02-27,0.43,0.34,0.09,26.4706
20,2017-09-30,2017-11-02,0.24,0.29,-0.05,-17.2414
21,2017-06-30,2017-08-08,0.25,0.21,0.04,19.0476
22,2017-03-31,2017-05-08,0.17,0.2,-0.03,-15
23,2016-12-31,2017-02-27,0.35,0.36,-0.01,-2.7778
24,2016-09-30,2016-11-04,0.32,0.33,-0.01,-3.0303
25,2016-06-30,2016-08-05,0.17,0.16,0.01,6.25
26,2016-03-31,2016-05-09,0.13,0.2,-0.07,-35
27,2015-12-31,2016-02-24,0.34,0.33,0.01,3.0303
28,2015-09-30,2015-11-05,0.39,0.36,0.03,8.3333
29,2015-06-30,2015-08-10,0.25,0.27,-0.02,-7.4074
30,2015-03-31,2015-05-11,0.25,0.25,0,0
31,2014-12-31,2015-02-26,0.41,0.36,0.05,13.8889
32,2014-09-30,2014-11-06,0.37,0.34,0.03,8.8235
33,2014-06-30,2014-08-07,0.28,0.28,0,0
34,2014-03-31,2014-05-08,0.24,0.27,-0.03,-11.1111
35,2013-12-31,2014-02-26,0.29,0.29,0,0
36,2013-09-30,2013-11-07,0.39,0.34,0.05,14.7059
37,2013-06-30,2013-08-08,0.32,0.26,0.06,23.0769
38,2013-03-31,2013-05-09,0.26,0.27,-0.01,-3.7037
39,2012-12-31,2013-02-27,0.32,0.3,0.02,6.6667
40,2012-09-30,2012-11-07,0.36,0.35,0.01,2.8571
41,2012-06-30,2012-08-06,0.18,0.27,-0.09,-33.3333
42,2012-03-31,2012-05-04,0.37,0.27,0.1,37.037
43,2011-12-31,2012-02-27,0.23,0.22,0.01,4.5455
44,2011-09-30,2011-11-04,0.27,0.26,0.01,3.8462
45,2011-06-30,2011-08-05,0.28,0.27,0.01,3.7037
46,2011-03-31,2011-05-09,0.22,0.26,-0.04,-15.3846
47,2010-12-31,2011-02-28,0.23,0.25,-0.02,-8
48,2010-09-30,2010-11-04,0.2,0.26,-0.06,-23.0769
49,2010-06-30,2010-08-06,0.23,0.21,0.02,9.5238
50,2010-03-31,2010-05-07,0.26,0.25,0.01,4
51,2009-12-31,2010-02-26,0.22,0.19,0.03,15.7895
52,2009-09-30,2009-11-06,0.28,0.26,0.02,7.6923
53,2009-06-30,2009-08-07,0.28,0.2,0.08,40
54,2009-03-31,2009-05-08,0.37,0.21,0.16,76.1905
55,2008-12-31,2009-02-26,0.18,0.24,-0.06,-25
56,2008-09-30,2008-11-06,0.25,0.28,-0.03,-10.7143
57,2008-06-30,2008-08-08,0.17,0.3,-0.13,-43.3333
58,2008-03-31,2008-05-08,0.39,0.27,0.12,44.4444
59,2007-12-31,2008-03-17,0.26,0.24,0.02,8.3333
60,2007-09-30,2007-11-06,0.18,0.28,-0.1,-35.7143
61,2007-06-30,2007-08-09,0.26,0.21,0.05,23.8095
62,2007-03-31,2007-05-23,0.06,0.11,-0.05,-45.4545
63,2006-09-30,2006-11-06,0.27,0.21,0.06,28.5714
64,2006-06-30,2006-08-07,0.29,0.17,0.12,70.5882
65,2006-03-31,2006-04-04,0.28,0.19,0.09,47.3684
66,2005-12-31,2006-01-19,0.11,0.15,-0.04,-26.6667
67,2005-06-30,2005-08-19,0.1282,None,None,None
68,2005-03-31,2005-05-05,0.17,0.17,0,0
69,2004-12-31,2005-02-03,0.16,0.16,0,0
70,2004-09-30,2004-10-28,0.21,0.23,-0.02,-8.6957
71,2004-06-30,2004-07-29,0.15,0.1,0.05,50
72,2004-03-31,2004-04-28,0.17,0.14,0.03,21.4286
73,2003-12-31,2004-02-05,0.01,-0.02,0.03,150
74,2003-09-30,2003-10-30,0.07,0.12,-0.05,-41.6667
75,2003-06-30,2003-07-30,0.11,0.1,0.01,10
76,2003-03-31,2003-05-01,0.13,0.06,0.07,116.6667
77,2002-12-31,2003-02-13,0.03,None,None,None
78,2002-09-30,2002-10-24,0.17,0.17,0,0
79,2002-06-30,2002-07-25,0.26,0.21,0.05,23.8095
80,2002-03-31,2002-04-25,0.36,0.26,0.1,38.4615
81,2001-12-31,2002-02-05,0.28,0.29,-0.01,-3.4483
82,2001-09-30,2001-10-25,0.27,0.26,0.01,3.8462
83,2001-06-30,2001-07-26,0.33,0.29,0.04,13.7931
84,2001-03-31,2001-04-26,0.42,0.38,0.04,10.5263
85,2000-12-31,2001-01-29,0.5,0.5,0,0
86,2000-09-30,2000-10-26,0.29,0.37,-0.08,-21.6216
87,2000-06-30,2000-07-27,0.25,0.25,0,0
88,2000-03-31,2000-04-27,0.42,0.41,0.01,2.439
89,1999-12-31,2000-02-03,0.28,0.28,0,0
