,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,-1.56,-1.52,-0.04,-2.6316
1,2022-06-30,2022-08-03,-0.76,-1.27,0.51,40.1575
2,2022-03-31,2022-05-04,2.58,2.9,-0.32,-11.0345
3,2021-12-31,2022-02-02,2.75,2.76,-0.01,-0.3623
4,2021-09-30,2021-11-03,0.73,1.67,-0.94,-56.2874
5,2021-06-30,2021-08-04,3.79,3.17,0.62,19.5584
6,2021-03-31,2021-05-05,6.11,3.88,2.23,57.4742
7,2020-12-31,2021-02-03,5.87,3.81,2.06,54.0682
8,2020-09-30,2020-11-04,2.94,1.66,1.28,77.1084
9,2020-06-30,2020-08-04,2.46,1.55,0.91,58.7097
10,2020-03-31,2020-05-05,3.54,3.5,0.04,1.1429
11,2019-12-31,2020-02-04,3.13,3.24,-0.11,-3.3951
12,2019-09-30,2019-10-30,2.84,2.64,0.2,7.5758
13,2019-06-30,2019-07-30,2.18,1.54,0.64,41.5584
14,2019-03-31,2019-05-01,2.3,2.28,0.02,0.8772
15,2018-12-31,2019-02-05,1.24,1.1,0.14,12.7273
16,2018-09-30,2018-10-31,1.93,2.21,-0.28,-12.6697
17,2018-06-30,2018-08-01,1.9,1.49,0.41,27.5168
18,2018-03-31,2018-05-01,2.96,2.61,0.35,13.41
19,2017-12-31,2018-02-07,2.09,1.53,0.56,36.6013
20,2017-09-30,2017-11-01,1.6,0.87,0.73,83.908
21,2017-06-30,2017-08-01,1.38,0.88,0.5,56.8182
22,2017-03-31,2017-05-02,1.64,1.1,0.54,49.0909
23,2016-12-31,2017-02-01,2.17,1.63,0.54,33.1288
24,2016-09-30,2016-11-02,1.26,1.25,0.01,0.8
25,2016-06-30,2016-08-03,0.62,0.58,0.04,6.8966
26,2016-03-31,2016-05-04,0.84,0.68,0.16,23.5294
27,2015-12-31,2016-02-03,1.6,1.34,0.26,19.403
28,2015-09-30,2015-11-02,1.52,1.32,0.2,15.1515
29,2015-06-30,2015-08-03,0.63,0.97,-0.34,-35.0515
30,2015-03-31,2015-05-05,1.46,1.44,0.02,1.3889
31,2014-12-31,2015-02-04,1.72,1.68,0.04,2.381
32,2014-09-30,2014-10-29,1.39,1.33,0.06,4.5113
33,2014-06-30,2014-07-30,1.01,0.7,0.31,44.2857
34,2014-03-31,2014-05-06,1.3,1.2,0.1,8.3333
35,2013-12-31,2014-02-05,1.7,1.38,0.32,23.1884
36,2013-09-30,2013-10-30,1.53,1.37,0.16,11.6788
37,2013-06-30,2013-07-31,1.12,0.98,0.14,14.2857
38,2013-03-31,2013-05-01,1.35,1.3,0.05,3.8462
39,2012-12-31,2013-02-06,0.59,-0.05,0.64,1280
40,2012-09-30,2012-10-31,1.46,1.13,0.33,29.2035
41,2012-06-30,2012-07-31,0.87,0.51,0.36,70.5882
42,2012-03-31,2012-05-02,1.42,1.12,0.3,26.7857
43,2011-12-31,2012-02-01,1.48,0.95,0.53,55.7895
44,2011-09-30,2011-10-31,0.16,0.08,0.08,100
45,2011-06-30,2011-08-01,-1.23,-1.56,0.33,21.1538
46,2011-03-31,2011-04-26,0.93,0.68,0.25,36.7647
47,2010-12-31,2011-02-09,0.5,0.88,-0.38,-43.1818
48,2010-09-30,2010-10-27,0.83,0.98,-0.15,-15.3061
49,2010-06-30,2010-08-04,0.81,0.69,0.12,17.3913
50,2010-03-31,2010-04-28,0.69,0.79,-0.1,-12.6582
51,2009-12-31,2010-02-10,1.09,1.01,0.08,7.9208
52,2009-09-30,2009-11-04,0.99,1.01,-0.02,-1.9802
53,2009-06-30,2009-08-05,0.55,1.12,-0.57,-50.8929
54,2009-03-31,2009-05-07,0.84,1.23,-0.39,-31.7073
55,2008-12-31,2009-01-28,0.97,1.35,-0.38,-28.1481
56,2008-09-30,2008-10-22,-0.35,0.67,-1.02,-152.2388
