,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-17,2.03,1.73,0.3,17.341
1,2022-07-31,2022-08-18,1.94,1.79,0.15,8.3799
2,2022-04-30,2022-05-19,1.85,1.9,-0.05,-2.6316
3,2022-01-31,2022-02-16,1.89,1.86,0.03,1.6129
4,2021-10-31,2021-11-18,1.94,1.95,-0.01,-0.5128
5,2021-07-31,2021-08-19,1.9,1.77,0.13,7.3446
6,2021-04-30,2021-05-20,1.63,1.51,0.12,7.947
7,2021-01-31,2021-02-18,1.39,1.28,0.11,8.5937
8,2020-10-31,2020-11-12,1.25,1.17,0.08,6.8376
9,2020-07-31,2020-08-13,1.06,0.95,0.11,11.5789
10,2020-04-30,2020-05-14,0.89,0.94,-0.05,-5.3191
11,2020-01-31,2020-02-12,0.98,0.93,0.05,5.3763
12,2019-10-31,2019-11-14,0.8,0.76,0.04,5.2632
13,2019-07-31,2019-08-15,0.74,0.7,0.04,5.7143
14,2019-04-30,2019-05-16,0.7,0.66,0.04,6.0606
15,2019-01-31,2019-02-14,0.81,0.79,0.02,2.5316
16,2018-10-31,2018-11-15,0.97,0.97,0,0
17,2018-07-31,2018-08-16,1.2,1.17,0.03,2.5641
18,2018-04-30,2018-05-17,1.22,1.14,0.08,7.0175
19,2018-01-31,2018-02-14,1.06,0.98,0.08,8.1633
20,2017-10-31,2017-11-16,0.93,0.91,0.02,2.1978
21,2017-07-31,2017-08-17,0.86,0.84,0.02,2.381
22,2017-04-30,2017-05-18,0.79,0.76,0.03,3.9474
23,2017-01-31,2017-02-15,0.67,0.66,0.01,1.5152
24,2016-10-31,2016-11-17,0.66,0.65,0.01,1.5385
25,2016-07-31,2016-08-18,0.5,0.48,0.02,4.1667
26,2016-04-30,2016-05-19,0.34,0.32,0.02,6.25
27,2016-01-31,2016-02-18,0.26,0.25,0.01,4
28,2015-10-31,2015-11-12,0.29,0.29,0,0
29,2015-07-31,2015-08-13,0.33,0.33,0,0
30,2015-04-30,2015-05-14,0.29,0.28,0.01,3.5714
31,2015-01-31,2015-02-11,0.27,0.27,0,0
32,2014-10-31,2014-11-13,0.27,0.27,0,0
33,2014-07-31,2014-08-14,0.28,0.27,0.01,3.7037
34,2014-04-30,2014-05-15,0.28,0.28,0,0
35,2014-01-31,2014-02-12,0.23,0.22,0.01,4.5455
36,2013-10-31,2013-11-14,0.19,0.18,0.01,5.5556
37,2013-07-31,2013-08-15,0.18,0.19,-0.01,-5.2632
