,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-24,2.11,0.68,1.43,210.2941
1,2022-06-30,2022-07-25,1.67,0.66,1.01,153.0303
2,2022-03-31,2022-04-25,-0.96,0.75,-1.71,-228
3,2021-12-31,2022-01-31,0.47,0.65,-0.18,-27.6923
4,2021-09-30,2021-10-25,0.67,0.62,0.05,8.0645
5,2021-06-30,2021-07-26,2.61,0.63,1.98,314.2857
6,2021-03-31,2021-04-26,0.04,0.58,-0.54,-93.1034
7,2020-12-31,2021-01-25,3.8,0.65,3.15,484.6154
8,2020-09-30,2020-10-26,0.63,0.61,0.02,3.2787
9,2020-06-30,2020-07-27,1.82,0.53,1.29,243.3962
10,2020-03-31,2020-04-27,0.14,0.66,-0.52,-78.7879
11,2019-12-31,2020-02-03,1.74,0.59,1.15,194.9153
12,2019-09-30,2019-10-28,-0.44,0.43,-0.87,-202.3256
13,2019-06-30,2019-07-29,0.68,0.52,0.16,30.7692
14,2019-03-31,2019-04-29,1.11,0.41,0.7,170.7317
15,2018-12-31,2019-02-04,-0.3,0.52,-0.82,-157.6923
16,2018-09-30,2018-10-29,1.99,0.49,1.5,306.1224
17,2018-06-30,2018-07-30,0.51,0.53,-0.02,-3.7736
18,2018-03-31,2018-04-30,1.32,0.51,0.81,158.8235
19,2017-12-31,2018-01-29,0.38,0.4,-0.02,-5
20,2017-09-30,2017-10-30,0.55,0.42,0.13,30.9524
21,2017-06-30,2017-07-31,0.35,0.43,-0.08,-18.6047
22,2017-03-31,2017-05-01,0.29,0.38,-0.09,-23.6842
23,2016-12-31,2017-01-30,-0.31,0.26,-0.57,-219.2308
24,2016-09-30,2016-10-31,0.07,0.39,-0.32,-82.0513
25,2016-06-30,2016-08-01,-1.72,-0.29,-1.43,-493.1034
26,2016-03-31,2016-05-02,-0.05,0.38,-0.43,-113.1579
27,2015-12-31,2016-02-01,0.32,0.4,-0.08,-20
28,2015-09-30,2015-11-02,0.46,0.48,-0.02,-4.1667
29,2015-06-30,2015-07-27,0.44,0.49,-0.05,-10.2041
30,2015-03-31,2015-04-27,0.25,0.18,0.07,38.8889
31,2014-12-31,2015-02-02,0.5,0.42,0.08,19.0476
32,2014-09-30,2014-11-03,0.39,0.41,-0.02,-4.878
33,2014-06-30,2014-07-28,0.39,0.47,-0.08,-17.0213
34,2014-03-31,2014-05-05,0.46,0.46,0,0
35,2013-12-31,2014-02-03,0.51,0.42,0.09,21.4286
36,2013-09-30,2013-10-28,0.35,0.37,-0.02,-5.4054
37,2013-06-30,2013-07-29,0.38,0.36,0.02,5.5556
38,2013-03-31,2013-04-29,0.36,0.37,-0.01,-2.7027
39,2012-12-31,2013-02-07,0.36,0.33,0.03,9.0909
40,2012-09-30,2012-10-26,0.3,0.3,0,0
41,2012-06-30,2012-07-30,0.29,0.36,-0.07,-19.4444
42,2012-03-31,2012-05-01,0.3,0.42,-0.12,-28.5714
43,2011-12-31,2012-02-07,0.44,0.45,-0.01,-2.2222
44,2011-09-30,2011-10-25,0.4,0.5,-0.1,-20
45,2011-06-30,2011-07-27,0.44,0.56,-0.12,-21.4286
46,2011-03-31,2011-05-04,0.44,0.48,-0.04,-8.3333
47,2010-12-31,2011-02-02,1.52,0.5,1.02,204
48,2010-09-30,2010-11-03,0.4462,None,None,None
49,2010-06-30,2010-07-29,-0.45,0.45,-0.9,-200
50,2010-03-31,2010-04-29,0.47,0.42,0.05,11.9048
51,2009-12-31,2010-02-11,0.49,0.41,0.08,19.5122
52,2009-09-30,2009-11-05,0.47,0.4,0.07,17.5
53,2009-06-30,2009-08-06,0.49,0.72,-0.23,-31.9444
54,2009-03-31,2009-05-07,1.01,0.66,0.35,53.0303
55,2008-12-31,2009-02-09,0.66,0.71,-0.05,-7.0423
56,2008-09-30,2008-10-30,0.67,0.69,-0.02,-2.8986
57,2008-06-30,2008-08-07,0.6681,None,None,None
58,2008-03-31,2008-05-09,0.1057,None,None,None
59,2007-12-31,2008-02-12,0.7021,None,None,None
60,2007-09-30,2007-11-06,0.6309,None,None,None
61,2007-06-30,2007-08-03,0.7266,None,None,None
62,2007-03-31,2007-05-03,0.48,0.6,-0.12,-20
63,2006-12-31,2007-02-09,0.5651,None,None,None
64,2006-09-30,2006-11-02,0.5593,None,None,None
65,2006-06-30,2006-08-07,0.56,0.56,0,0
66,2006-03-31,2006-05-08,0.5595,None,None,None
67,2005-12-31,2006-02-09,0.5362,None,None,None
68,2005-09-30,2005-10-31,0.5543,None,None,None
69,2005-06-30,2005-08-02,0.58,0.61,-0.03,-4.918
70,2005-03-31,2005-05-10,0.55,0.56,-0.01,-1.7857
71,2004-12-31,2005-02-14,0.5812,None,None,None
72,2004-09-30,2004-11-04,0.79,0.61,0.18,29.5082
73,2004-06-30,2004-08-02,0.4961,None,None,None
74,2004-03-31,2004-05-03,0.6697,None,None,None
75,2003-12-31,2004-02-12,0.5792,None,None,None
76,2003-09-30,2003-11-05,0.64,0.66,-0.02,-3.0303
77,2003-06-30,2003-08-08,0.62,0.54,0.08,14.8148
78,2003-03-31,2003-05-15,0.52,0.53,-0.01,-1.8868
79,2002-12-31,2003-02-21,0.53,0.76,-0.23,-30.2632
80,2002-09-30,2002-11-01,0.4597,None,None,None
81,2002-06-30,2002-08-03,0.4671,None,None,None
82,2002-03-31,2002-03-31,0.4604,None,None,None
83,2001-12-31,2002-02-07,0.44,0.52,-0.08,-15.3846
84,2001-09-30,2001-11-08,0.3981,0.46,-0.0619,-13.4565
