,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-09,0.51,0.43,0.08,18.6047
1,2022-06-30,2022-08-03,0.92,0.85,0.07,8.2353
2,2022-03-31,2022-05-04,2.37,2.35,0.02,0.8511
3,2021-12-31,2022-02-08,1.86,1.85,0.01,0.5405
4,2021-09-30,2021-11-10,0.37,0.34,0.03,8.8235
5,2021-06-30,2021-08-04,0.78,0.72,0.06,8.3333
6,2021-03-31,2021-05-05,2.3,2.05,0.25,12.1951
7,2020-12-31,2021-02-02,1.71,1.58,0.13,8.2278
8,2020-09-30,2020-11-11,0.53,0.51,0.02,3.9216
9,2020-06-30,2020-08-05,0.79,0.76,0.03,3.9474
10,2020-03-31,2020-05-06,1.95,1.92,0.03,1.5625
11,2019-12-31,2020-02-04,1.47,1.49,-0.02,-1.3423
12,2019-09-30,2019-11-06,0.49,0.46,0.03,6.5217
13,2019-06-30,2019-08-07,0.68,0.68,0,0
14,2019-03-31,2019-05-07,1.82,1.69,0.13,7.6923
15,2018-12-31,2019-02-05,1.38,1.33,0.05,3.7594
16,2018-09-30,2018-11-07,0.41,0.36,0.05,13.8889
17,2018-06-30,2018-08-08,0.64,0.67,-0.03,-4.4776
18,2018-03-31,2018-05-02,1.57,1.54,0.03,1.9481
19,2017-12-31,2018-02-06,1.4,1.13,0.27,23.8938
20,2017-09-30,2017-11-08,0.34,0.34,0,0
21,2017-06-30,2017-08-02,0.67,0.66,0.01,1.5152
22,2017-03-31,2017-05-03,1.52,1.42,0.1,7.0423
23,2016-12-31,2017-02-07,1.08,1.04,0.04,3.8462
24,2016-09-30,2016-11-09,0.39,0.32,0.07,21.875
25,2016-06-30,2016-08-03,0.67,0.59,0.08,13.5593
26,2016-03-31,2016-05-04,1.4,1.4,0,0
27,2015-12-31,2016-02-02,0.93,1.01,-0.08,-7.9208
28,2015-09-30,2015-11-04,0.29,0.26,0.03,11.5385
29,2015-06-30,2015-08-05,0.54,0.49,0.05,10.2041
30,2015-03-31,2015-05-06,1.36,1.33,0.03,2.2556
31,2014-12-31,2015-02-03,0.91,0.87,0.04,4.5977
32,2014-09-30,2014-11-05,0.24,0.18,0.06,33.3333
33,2014-06-30,2014-08-06,0.45,0.45,0,0
34,2014-03-31,2014-05-07,1.37,1.25,0.12,9.6
35,2013-12-31,2014-02-04,0.88,0.86,0.02,2.3256
36,2013-09-30,2013-11-06,0.13,0.12,0.01,8.3333
37,2013-06-30,2013-08-06,0.42,0.37,0.05,13.5135
38,2013-03-31,2013-05-01,1.25,1.31,-0.06,-4.5802
39,2012-12-31,2013-02-06,0.71,0.77,-0.06,-7.7922
40,2012-09-30,2012-11-07,0.09,0.08,0.01,12.5
41,2012-06-30,2012-08-08,0.31,0.16,0.15,93.75
42,2012-03-31,2012-05-02,1.28,1.43,-0.15,-10.4895
43,2011-12-31,2012-02-07,0.61,0.85,-0.24,-28.2353
44,2011-09-30,2011-11-09,0.08,0.04,0.04,100
45,2011-06-30,2011-08-03,0.04,0.1,-0.06,-60
46,2011-03-31,2011-05-04,1.35,1.39,-0.04,-2.8777
47,2010-12-31,2011-02-08,0.81,0.86,-0.05,-5.814
48,2010-09-30,2010-11-03,0.017,-0.06,0.077,128.3333
49,2010-06-30,2010-08-04,0.09,None,None,None
50,2010-03-31,2010-05-05,1.44,1.45,-0.01,-0.6897
51,2009-12-31,2010-02-02,0.71,0.91,-0.2,-21.978
52,2009-09-30,2009-11-10,-0.17,-0.08,-0.09,-112.5
53,2009-06-30,2009-08-04,0.02,-0.09,0.11,122.2222
54,2009-03-31,2009-04-30,1.29,1.32,-0.03,-2.2727
55,2008-12-31,2009-02-03,0.83,0.86,-0.03,-3.4884
56,2008-09-30,2008-11-11,0.02,-0.03,0.05,166.6667
