,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-07,0.68,0.5,0.18,36
1,2022-06-30,2022-08-01,0.47,0.48,-0.01,-2.0833
2,2022-03-31,2022-04-25,0.38,0.71,-0.33,-46.4789
3,2021-12-31,2022-02-03,1.25,1.31,-0.06,-4.5802
4,2021-09-30,2021-11-02,0.72,0.7,0.02,2.8571
5,2021-06-30,2021-08-03,0.91,0.76,0.15,19.7368
6,2021-03-31,2021-05-04,0.84,0.7,0.14,20
7,2020-12-31,2021-02-04,1.21,1.18,0.03,2.5424
8,2020-09-30,2020-10-29,0.71,0.65,0.06,9.2308
9,2020-06-30,2020-08-04,0.97,0.69,0.28,40.5797
10,2020-03-31,2020-05-05,0.58,0.38,0.2,52.6316
11,2019-12-31,2020-02-06,1.23,1.19,0.04,3.3613
12,2019-09-30,2019-11-07,0.32,0.23,0.09,39.1304
13,2019-06-30,2019-08-08,0.38,0.26,0.12,46.1538
14,2019-03-31,2019-05-02,0.31,0.25,0.06,24
15,2018-12-31,2019-02-12,1.29,1.28,0.01,0.7813
16,2018-09-30,2018-11-08,0.52,0.5,0.02,4
17,2018-06-30,2018-08-02,0.41,0.35,0.06,17.1429
18,2018-03-31,2018-05-03,0.38,0.35,0.03,8.5714
19,2017-12-31,2018-02-08,0.94,0.93,0.01,1.0753
20,2017-09-30,2017-11-02,0.6,0.49,0.11,22.449
21,2017-06-30,2017-08-03,0.43,0.3,0.13,43.3333
22,2017-03-31,2017-05-04,0.31,0.21,0.1,47.619
23,2016-12-31,2017-02-09,0.92,0.73,0.19,26.0274
24,2016-09-30,2016-11-03,0.52,0.42,0.1,23.8095
25,2016-06-30,2016-08-04,0.54,0.42,0.12,28.5714
26,2016-03-31,2016-05-05,0.23,0.12,0.11,91.6667
27,2015-12-31,2016-02-11,0.83,0.86,-0.03,-3.4884
28,2015-09-30,2015-11-02,0.21,0.16,0.05,31.25
29,2015-06-30,2015-08-04,0.13,0.08,0.05,62.5
30,2015-03-31,2015-05-06,0.16,0.07,0.09,128.5714
31,2014-12-31,2015-02-05,0.94,0.88,0.06,6.8182
32,2014-09-30,2014-11-04,0.23,0.13,0.1,76.9231
33,2014-06-30,2014-08-05,0.06,0.02,0.04,200
34,2014-03-31,2014-05-06,0.19,0.1,0.09,90
35,2013-12-31,2014-02-06,0.79,0.73,0.06,8.2192
36,2013-09-30,2013-11-06,0.08,0.03,0.05,166.6667
37,2013-06-30,2013-08-01,0.08,0.07,0.01,14.2857
38,2013-03-31,2013-05-08,0.17,0.11,0.06,54.5455
39,2012-12-31,2013-02-07,0.78,0.72,0.06,8.3333
40,2012-09-30,2012-11-07,0.11,0.08,0.03,37.5
41,2012-06-30,2012-08-02,0.2,0.12,0.08,66.6667
42,2012-03-31,2012-05-09,0.06,0.04,0.02,50
43,2011-12-31,2012-02-09,0.62,0.56,0.06,10.7143
44,2011-09-30,2011-11-08,0.07,0.02,0.05,250
45,2011-06-30,2011-08-03,0.1,0.05,0.05,100
46,2011-03-31,2011-05-09,0.13,0.08,0.05,62.5
47,2010-12-31,2011-02-09,0.53,0.51,0.02,3.9216
48,2010-09-30,2010-11-04,0.12,0.09,0.03,33.3333
49,2010-06-30,2010-08-05,0.06,0.05,0.01,20
50,2010-03-31,2010-05-06,0.09,0.04,0.05,125
51,2009-12-31,2010-02-10,0.49,0.43,0.06,13.9535
52,2009-09-30,2009-11-05,0.04,0.04,0,0
53,2009-06-30,2009-08-05,0.08,0.07,0.01,14.2857
54,2009-03-31,2009-05-07,0.08,0.05,0.03,60
55,2008-12-31,2009-02-11,0.31,0.29,0.02,6.8966
56,2008-09-30,2008-11-06,0.07,0.04,0.03,75
57,2008-06-30,2008-07-31,0.12,0.1,0.02,20
