,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,3.53,1.26,2.27,180.1587
1,2022-06-30,2022-07-27,0.99,0.92,0.07,7.6087
2,2022-03-31,2022-04-27,1.87,0.87,1,114.9425
3,2021-12-31,2022-02-02,2.4,1,1.4,140
4,2021-09-30,2021-10-27,0.56,0.77,-0.21,-27.2727
5,2021-06-30,2021-07-28,3.21,0.66,2.55,386.3636
6,2021-03-31,2021-04-28,1.02,0.73,0.29,39.726
7,2020-12-31,2021-02-04,2.44,0.86,1.58,183.7209
8,2020-09-30,2020-10-28,1.05,0.96,0.09,9.375
9,2020-06-30,2020-07-29,1.21,1.03,0.18,17.4757
10,2020-03-31,2020-05-06,1.19,1.19,0,0
11,2019-12-31,2020-02-05,1.2,1.22,-0.02,-1.6393
12,2019-09-30,2019-10-28,2,1.2,0.8,66.6667
13,2019-06-30,2019-07-31,1.21,1.17,0.04,3.4188
14,2019-03-31,2019-04-24,1.23,1.15,0.08,6.9565
15,2018-12-31,2019-02-04,2.79,1.14,1.65,144.7368
16,2018-09-30,2018-10-29,1.39,1.13,0.26,23.0088
17,2018-06-30,2018-07-30,1.84,1.06,0.78,73.5849
18,2018-03-31,2018-04-25,1.03,1.06,-0.03,-2.8302
19,2017-12-31,2018-01-31,1.72,1.19,0.53,44.5378
20,2017-09-30,2017-10-30,1.72,1.22,0.5,40.9836
21,2017-06-30,2017-08-03,1.2,1.08,0.12,11.1111
22,2017-03-31,2017-04-26,1.72,1.09,0.63,57.7982
23,2016-12-31,2017-02-01,1.76,1.18,0.58,49.1525
24,2016-09-30,2016-10-24,2.59,1.16,1.43,123.2759
25,2016-06-30,2016-07-25,1.44,1.23,0.21,17.0732
26,2016-03-31,2016-04-27,1.73,1.21,0.52,42.9752
27,2015-12-31,2016-02-03,1.13,1.1,0.03,2.7273
28,2015-09-30,2015-10-26,1.53,1.35,0.18,13.3333
29,2015-06-30,2015-07-27,1.29,1.07,0.22,20.5607
30,2015-03-31,2015-04-27,1.56,1.09,0.47,43.1193
31,2014-12-31,2015-01-28,1.08,0.98,0.1,10.2041
32,2014-09-30,2014-10-27,1.83,1.46,0.37,25.3425
33,2014-06-30,2014-07-23,1.21,1.04,0.17,16.3462
34,2014-03-31,2014-04-23,1.09,0.72,0.37,51.3889
35,2013-12-31,2014-01-29,1.95,0.88,1.07,121.5909
