,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-07-31,2022-09-01,9.73,9.56,0.17,1.7782
1,2022-04-30,2022-05-26,9.07,8.71,0.36,4.1332
2,2022-01-31,2022-03-03,8.39,8.08,0.31,3.8366
3,2021-10-31,2021-12-09,7.81,7.74,0.07,0.9044
4,2021-07-31,2021-09-02,6.96,6.88,0.08,1.1628
5,2021-04-30,2021-06-03,6.62,6.43,0.19,2.9549
6,2021-01-31,2021-03-04,6.61,6.56,0.05,0.7622
7,2020-10-31,2020-12-10,6.35,6.25,0.1,1.6
8,2020-07-31,2020-09-03,5.4,5.24,0.16,3.0534
9,2020-04-30,2020-06-04,5.14,5.14,0,0
10,2020-01-31,2020-03-12,5.25,5.33,-0.08,-1.5009
11,2019-10-31,2019-12-12,5.39,5.35,0.04,0.7477
12,2019-07-31,2019-09-12,5.16,5.13,0.03,0.5848
13,2019-04-30,2019-06-13,5.21,5.16,0.05,0.969
14,2019-01-31,2019-03-14,5.55,5.23,0.32,6.1185
15,2018-10-31,2018-12-06,5.85,5.58,0.27,4.8387
16,2018-07-31,2018-09-06,4.98,4.83,0.15,3.1056
17,2018-04-30,2018-06-07,4.88,4.76,0.12,2.521
18,2018-01-31,2018-03-15,5.12,5.05,0.07,1.3861
19,2017-10-31,2017-12-06,4.59,4.52,0.07,1.5487
20,2017-07-31,2017-08-24,4.1,4.03,0.07,1.737
21,2017-04-30,2017-06-01,3.69,3.5,0.19,5.4286
22,2017-01-31,2017-03-01,3.63,3.48,0.15,4.3103
23,2016-10-31,2016-12-08,3.47,3.38,0.09,2.6627
24,2016-07-31,2016-09-01,2.89,2.76,0.13,4.7101
25,2016-04-30,2016-06-02,2.53,2.38,0.15,6.3025
26,2016-01-31,2016-03-03,2.41,2.3,0.11,4.7826
27,2015-10-31,2015-12-02,2.51,2.38,0.13,5.4622
28,2015-07-31,2015-08-26,2.24,2.14,0.1,4.6729
29,2015-04-30,2015-05-28,2.13,2.01,0.12,5.9701
30,2015-01-31,2015-02-25,2.09,1.94,0.15,7.732
31,2014-10-31,2014-12-03,1.99,1.69,0.3,17.7515
32,2014-07-31,2014-08-28,1.26,1.06,0.2,18.8679
33,2014-04-30,2014-05-29,0.85,0.76,0.09,11.8421
34,2014-01-31,2014-02-25,0.84,0.78,0.06,7.6923
35,2013-10-31,2013-12-04,0.89,0.82,0.07,8.5366
36,2013-07-31,2013-08-27,0.67,0.63,0.04,6.3492
37,2013-04-30,2013-05-29,0.54,0.52,0.02,3.8462
38,2013-01-31,2013-02-26,0.58,0.55,0.03,5.4545
39,2012-10-31,2012-11-29,0.71,0.67,0.04,5.9701
40,2012-07-31,2012-08-16,0.66,0.63,0.03,4.7619
41,2012-04-30,2012-05-22,0.61,0.59,0.02,3.3898
42,2012-01-31,2012-02-22,0.57,0.56,0.01,1.7857
43,2011-10-31,2011-12-01,0.69,0.67,0.02,2.9851
44,2011-07-31,2011-08-23,0.64,0.63,0.01,1.5873
45,2011-04-30,2011-05-24,0.6,0.6,0,0
46,2011-01-31,2011-02-23,0.62,0.57,0.05,8.7719
47,2010-10-31,2010-12-02,0.61,0.61,0,0
48,2010-07-31,2010-08-24,0.58,0.53,0.05,9.434
49,2010-04-30,2010-05-26,0.45,0.43,0.02,4.6512
50,2010-01-31,2010-02-24,0.34,0.3,0.04,13.3333
51,2009-10-31,2009-12-03,0.28,0.24,0.04,16.6667
52,2009-07-31,2009-09-04,0.0092,None,None,None
