,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,0.75,0.8,-0.05,-6.25
1,2022-06-30,2022-08-04,0.82,0.9,-0.08,-8.8889
2,2022-03-31,2022-05-05,0.77,0.83,-0.06,-7.2289
3,2021-12-31,2022-01-27,0.97,0.9,0.07,7.7778
4,2021-09-30,2021-11-04,0.94,0.99,-0.05,-5.0505
5,2021-06-30,2021-08-05,0.86,0.83,0.03,3.6145
6,2021-03-31,2021-05-06,0.72,0.67,0.05,7.4627
7,2020-12-31,2021-02-04,0.81,0.79,0.02,2.5316
8,2020-09-30,2020-11-05,0.89,0.77,0.12,15.5844
9,2020-06-30,2020-08-06,0.65,0.56,0.09,16.0714
10,2020-03-31,2020-05-07,0.61,0.6,0.01,1.6667
11,2019-12-31,2020-02-06,0.71,0.67,0.04,5.9701
12,2019-09-30,2019-10-31,0.7,0.72,-0.02,-2.7778
13,2019-06-30,2019-08-01,0.64,0.64,0,0
14,2019-03-31,2019-05-02,0.49,0.51,-0.02,-3.9216
15,2018-12-31,2019-01-31,0.55,0.56,-0.01,-1.7857
16,2018-09-30,2018-11-01,0.56,0.59,-0.03,-5.0847
17,2018-06-30,2018-08-02,0.58,0.59,-0.01,-1.6949
18,2018-03-31,2018-05-03,0.5,0.45,0.05,11.1111
19,2017-12-31,2018-02-07,0.6,0.52,0.08,15.3846
20,2017-09-30,2017-11-02,0.52,0.59,-0.07,-11.8644
21,2017-06-30,2017-08-03,0.53,0.55,-0.02,-3.6364
22,2017-03-31,2017-05-04,0.38,0.35,0.03,8.5714
23,2016-12-31,2017-02-02,0.44,0.42,0.02,4.7619
24,2016-09-30,2016-11-03,0.48,0.47,0.01,2.1277
25,2016-06-30,2016-08-04,0.53,0.5,0.03,6
26,2016-03-31,2016-04-28,0.29,0.34,-0.05,-14.7059
27,2015-12-31,2016-01-28,0.4,0.37,0.03,8.1081
28,2015-09-30,2015-10-29,0.55,0.48,0.07,14.5833
29,2015-06-30,2015-07-30,0.45,0.47,-0.02,-4.2553
30,2015-03-31,2015-04-30,0.69,0.79,-0.1,-12.6582
31,2014-12-31,2015-02-05,0.84,0.85,-0.01,-1.1765
32,2014-09-30,2014-10-30,1.1,1.05,0.05,4.7619
33,2014-06-30,2014-07-31,0.56,0.51,0.05,9.8039
34,2014-03-31,2014-05-01,0.41,0.34,0.07,20.5882
35,2013-12-31,2014-01-30,0.43,0.36,0.07,19.4444
36,2013-09-30,2013-10-24,0.5,0.47,0.03,6.383
37,2013-06-30,2013-07-25,0.43,0.43,0,0
38,2013-03-31,2013-04-25,0.29,0.32,-0.03,-9.375
39,2012-12-31,2013-01-31,0.32,0.33,-0.01,-3.0303
40,2012-09-30,2012-10-25,0.45,0.44,0.01,2.2727
41,2012-06-30,2012-07-26,0.45,0.43,0.02,4.6512
42,2012-03-31,2012-04-26,0.32,0.3,0.02,6.6667
43,2011-12-31,2012-01-26,0.24,0.27,-0.03,-11.1111
44,2011-09-30,2011-10-27,0.41,0.39,0.02,5.1282
45,2011-06-30,2011-07-28,0.43,0.43,0,0
46,2011-03-31,2011-04-28,0.29,0.24,0.05,20.8333
47,2010-12-31,2011-01-27,0.23,0.23,0,0
48,2010-09-30,2010-10-28,0.35,0.36,-0.01,-2.7778
49,2010-06-30,2010-07-29,0.35,0.32,0.03,9.375
50,2010-03-31,2010-04-29,0.21,0.18,0.03,16.6667
51,2009-12-31,2010-01-28,0.21,0.18,0.03,16.6667
52,2009-09-30,2009-10-29,0.31,0.29,0.02,6.8966
53,2009-06-30,2009-07-23,0.3,0.27,0.03,11.1111
