,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-22,1.38,1.03,0.35,33.9806
1,2022-07-31,2022-08-30,1.54,1.27,0.27,21.2598
2,2022-04-30,2022-05-24,1.57,1.61,-0.04,-2.4845
3,2022-01-31,2022-03-03,2.73,2.73,0,0
4,2021-10-31,2021-11-23,2.08,1.91,0.17,8.9005
5,2021-07-31,2021-08-24,2.98,1.85,1.13,61.0811
6,2021-04-30,2021-05-27,2.23,1.39,0.84,60.4317
7,2021-01-31,2021-02-25,3.48,3.45,0.03,0.8696
8,2020-10-31,2020-11-24,2.06,1.7,0.36,21.1765
9,2020-07-31,2020-08-25,1.71,1.08,0.63,58.3333
10,2020-04-30,2020-05-21,0.67,0.5,0.17,34
11,2020-01-31,2020-02-27,2.9,2.75,0.15,5.4545
12,2019-10-31,2019-11-26,1.13,1.03,0.1,9.7087
13,2019-07-31,2019-08-29,1.08,0.99,0.09,9.0909
14,2019-04-30,2019-05-23,1.02,0.87,0.15,17.2414
15,2019-01-31,2019-02-27,2.72,2.57,0.15,5.8366
16,2018-10-31,2018-11-20,0.93,0.85,0.08,9.4118
17,2018-07-31,2018-08-28,0.91,0.83,0.08,9.6386
18,2018-04-30,2018-05-24,0.82,0.74,0.08,10.8108
19,2018-01-31,2018-03-01,2.42,2.04,0.38,18.6275
20,2017-10-31,2017-11-16,0.78,0.78,0,0
21,2017-07-31,2017-08-29,0.69,0.63,0.06,9.5238
22,2017-04-30,2017-05-25,0.6,0.4,0.2,50
23,2017-01-31,2017-03-01,1.95,1.67,0.28,16.7665
24,2016-10-31,2016-11-17,0.62,0.47,0.15,31.9149
25,2016-07-31,2016-08-23,0.57,0.43,0.14,32.5581
26,2016-04-30,2016-05-24,0.44,0.35,0.09,25.7143
27,2016-01-31,2016-02-25,1.53,1.39,0.14,10.0719
28,2015-10-31,2015-11-19,0.41,0.35,0.06,17.1429
29,2015-07-31,2015-08-25,0.49,0.34,0.15,44.1176
30,2015-04-30,2015-05-21,0.37,0.29,0.08,27.5862
31,2015-01-31,2015-03-03,1.48,1.35,0.13,9.6296
32,2014-10-31,2014-11-20,0.32,0.25,0.07,28
33,2014-07-31,2014-08-26,0.44,0.31,0.13,41.9355
34,2014-04-30,2014-05-22,0.33,0.2,0.13,65
35,2014-01-31,2014-02-27,1.24,1.01,0.23,22.7723
