,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-17,0.39,1.1,-0.71,-64.5455
1,2022-06-30,2022-07-15,1.03,1.12,-0.09,-8.0357
2,2022-03-31,2022-04-18,0.86,0.85,0.01,1.1765
3,2021-12-31,2022-01-18,1.04,1.01,0.03,2.9703
4,2021-09-30,2021-10-19,1.04,1.01,0.03,2.9703
5,2021-06-30,2021-07-15,1.13,1,0.13,13
6,2021-03-31,2021-04-16,0.97,0.87,0.1,11.4943
7,2020-12-31,2021-01-20,0.96,0.91,0.05,5.4945
8,2020-09-30,2020-10-16,0.98,0.94,0.04,4.2553
9,2020-06-30,2020-07-15,1.01,0.91,0.1,10.989
10,2020-03-31,2020-04-16,1.05,0.9,0.15,16.6667
11,2019-12-31,2020-01-16,1.01,1.01,0,0
12,2019-09-30,2019-10-16,1.07,0.99,0.08,8.0808
13,2019-06-30,2019-07-17,1.01,0.95,0.06,6.3158
14,2019-03-31,2019-04-17,0.94,0.96,-0.02,-2.0833
15,2018-12-31,2019-01-16,0.99,0.92,0.07,7.6087
16,2018-09-30,2018-10-18,1.06,1.04,0.02,1.9231
17,2018-06-30,2018-07-19,1.03,1.02,0.01,0.9804
18,2018-03-31,2018-04-19,1.1,0.96,0.14,14.5833
19,2017-12-31,2018-01-18,0.91,0.91,0,0
20,2017-09-30,2017-10-19,0.94,0.92,0.02,2.1739
21,2017-06-30,2017-07-20,0.88,0.84,0.04,4.7619
22,2017-03-31,2017-04-20,0.83,0.8,0.03,3.75
23,2016-12-31,2017-01-19,0.77,0.77,0,0
24,2016-09-30,2016-10-20,0.9,0.81,0.09,11.1111
25,2016-06-30,2016-07-21,0.76,0.75,0.01,1.3333
26,2016-03-31,2016-04-21,0.74,0.68,0.06,8.8235
27,2015-12-31,2016-01-21,0.68,0.64,0.04,6.25
28,2015-09-30,2015-10-20,0.74,0.71,0.03,4.2254
29,2015-06-30,2015-07-21,0.77,0.66,0.11,16.6667
30,2015-03-31,2015-04-22,0.67,0.59,0.08,13.5593
31,2014-12-31,2015-01-23,0.59,0.59,0,0
32,2014-09-30,2014-10-17,0.64,0.61,0.03,4.918
33,2014-06-30,2014-07-18,0.62,0.56,0.06,10.7143
34,2014-03-31,2014-04-22,0.57,0.53,0.04,7.5472
35,2013-12-31,2014-01-17,0.54,0.54,0,0
36,2013-09-30,2013-10-16,0.6,0.58,0.02,3.4483
37,2013-06-30,2013-07-17,0.62,0.57,0.05,8.7719
38,2013-03-31,2013-04-17,0.5,0.52,-0.02,-3.8462
39,2012-12-31,2013-01-16,0.53,0.53,0,0
40,2012-09-30,2012-10-17,0.57,0.54,0.03,5.5556
41,2012-06-30,2012-07-18,0.57,0.53,0.04,7.5472
42,2012-03-31,2012-04-18,0.52,0.52,0,0
43,2011-12-31,2012-01-18,0.42,0.53,-0.11,-20.7547
44,2011-09-30,2011-10-19,0.59,0.52,0.07,13.4615
45,2011-06-30,2011-07-19,0.59,0.55,0.04,7.2727
46,2011-03-31,2011-04-19,0.5,0.57,-0.07,-12.2807
47,2010-12-31,2011-01-19,0.59,0.57,0.02,3.5088
48,2010-09-30,2010-10-19,0.55,0.54,0.01,1.8519
49,2010-06-30,2010-07-20,0.55,0.54,0.01,1.8519
50,2010-03-31,2010-04-20,0.59,0.53,0.06,11.3208
51,2009-12-31,2010-01-20,0.55,0.51,0.04,7.8431
52,2009-09-30,2009-10-20,0.54,0.48,0.06,12.5
53,2009-06-30,2009-07-22,0.51,0.52,-0.01,-1.9231
54,2009-03-31,2009-04-21,0.53,0.63,-0.1,-15.873
55,2008-12-31,2009-01-20,0.28,0.69,-0.41,-59.4203
56,2008-09-30,2008-10-16,0.72,0.66,0.06,9.0909
57,2008-06-30,2008-07-17,0.67,0.75,-0.08,-10.6667
58,2008-03-31,2008-04-17,0.72,0.73,-0.01,-1.3699
59,2007-12-31,2008-01-17,0.67,0.69,-0.02,-2.8986
60,2007-09-30,2007-10-18,0.67,0.61,0.06,9.8361
61,2007-06-30,2007-07-19,0.63,0.61,0.02,3.2787
62,2007-03-31,2007-04-18,0.59,0.57,0.02,3.5088
63,2006-12-31,2007-01-17,0.58,0.55,0.03,5.4545
64,2006-09-30,2006-10-19,0.56,0.55,0.01,1.8182
65,2006-06-30,2006-07-19,0.59,0.56,0.03,5.3571
66,2006-03-31,2006-04-20,0.55,0.54,0.01,1.8519
67,2005-12-31,2006-01-18,0.53,0.53,0,0
68,2005-09-30,2005-10-20,0.51,0.5,0.01,2
69,2005-06-30,2005-07-20,0.52,0.5,0.02,4
70,2005-03-31,2005-04-20,0.49,0.49,0,0
71,2004-12-31,2005-01-19,0.48,0.48,0,0
72,2004-09-30,2004-10-20,0.46,0.46,0,0
73,2004-06-30,2004-07-21,0.48,0.47,0.01,2.1277
74,2004-03-31,2004-04-21,0.47,0.45,0.02,4.4444
75,2003-12-31,2004-01-21,0.44,0.44,0,0
76,2003-09-30,2003-10-22,0.42,0.42,0,0
77,2003-06-30,2003-07-17,0.41,0.41,0,0
78,2003-03-31,2003-04-16,0.41,0.41,0,0
79,2002-12-31,2003-01-22,0.14,0.15,-0.01,-6.6667
80,2002-09-30,2002-10-16,0.11,0.11,0,0
81,2002-06-30,2002-07-17,0.51,0.51,0,0
82,2002-03-31,2002-04-17,0.5,0.51,-0.01,-1.9608
83,2001-12-31,2002-01-17,0.46,0.45,0.01,2.2222
84,2001-09-30,2001-10-18,0.52,0.51,0.01,1.9608
85,2001-06-30,2001-07-16,0.52,0.53,-0.01,-1.8868
86,2001-03-31,2001-04-16,0.52,0.52,0,0
87,2000-12-31,2001-01-16,0.5,0.5,0,0
88,2000-09-30,2000-10-16,0.49,0.49,0,0
89,2000-06-30,2000-07-17,0.48,0.47,0.01,2.1277
90,2000-03-31,2000-04-17,0.46,0.45,0.01,2.2222
91,1999-12-31,2000-01-18,0.44,0.43,0.01,2.3256
92,1999-09-30,1999-10-18,0.42,0.42,0,0
93,1999-06-30,1999-07-19,0.42,0.42,0,0
94,1999-03-31,1999-04-19,0.41,0.41,0,0
95,1998-12-31,1999-01-19,0.4,0.4,0,0
96,1998-09-30,1998-10-19,0.39,0.39,0,0
97,1998-06-30,1998-07-20,0.4,0.38,0.02,5.2632
98,1998-03-31,1998-04-20,0.37,0.36,0.01,2.7778
99,1997-12-31,1998-01-20,0.38,0.36,0.02,5.5556
100,1997-09-30,1997-10-21,0.35,0.35,0,0
101,1997-06-30,1997-07-14,0.34,0.33,0.01,3.0303
102,1997-03-31,1997-04-14,0.33,0.31,0.02,6.4516
103,1996-12-31,1997-01-16,0.31,0.3,0.01,3.3333
104,1996-09-30,1996-10-15,0.3,0.3,0,0
105,1996-06-30,1996-07-17,0.3,0.3,0,0
106,1996-03-31,1996-04-11,0.28,0.29,-0.01,-3.4483
