,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-13,9.55,7.07,2.48,35.0778
1,2022-06-30,2022-07-15,7.36,7.9,-0.54,-6.8354
2,2022-03-31,2022-04-13,9.52,8.75,0.77,8.8
3,2021-12-31,2022-01-14,10.42,10.16,0.26,2.5591
4,2021-09-30,2021-10-13,10.95,9.35,1.6,17.1123
5,2021-06-30,2021-07-14,10.03,9.46,0.57,6.0254
6,2021-03-31,2021-04-15,7.77,7.64,0.13,1.7016
7,2020-12-31,2021-01-14,10.18,9.14,1.04,11.3786
8,2020-09-30,2020-10-13,9.22,7.8,1.42,18.2051
9,2020-06-30,2020-07-17,7.85,6.99,0.86,12.3033
10,2020-03-31,2020-04-16,6.6,6.36,0.24,3.7736
11,2019-12-31,2020-01-15,8.34,7.69,0.65,8.4525
12,2019-09-30,2019-10-15,7.15,6.96,0.19,2.7299
13,2019-06-30,2019-07-19,6.41,6.5,-0.09,-1.3846
14,2019-03-31,2019-04-16,6.61,6.13,0.48,7.8303
15,2018-12-31,2019-01-16,6.08,6.27,-0.19,-3.0303
16,2018-09-30,2018-10-16,7.52,6.84,0.68,9.9415
17,2018-06-30,2018-07-16,6.66,6.55,0.11,1.6794
18,2018-03-31,2018-04-12,6.7,6.39,0.31,4.8513
19,2017-12-31,2018-01-12,6.24,6.02,0.22,3.6545
20,2017-09-30,2017-10-11,5.92,5.56,0.36,6.4748
21,2017-06-30,2017-07-17,5.24,5.4,-0.16,-2.963
22,2017-03-31,2017-04-19,5.25,4.89,0.36,7.362
23,2016-12-31,2017-01-13,5.14,5.02,0.12,2.3904
24,2016-09-30,2016-10-18,5.14,5,0.14,2.8
25,2016-06-30,2016-07-14,4.78,4.78,0,0
26,2016-03-31,2016-04-14,4.25,4.29,-0.04,-0.9324
27,2015-12-31,2016-01-15,4.75,4.8,-0.05,-1.0417
28,2015-09-30,2015-10-14,5,4.57,0.43,9.4092
29,2015-06-30,2015-07-15,4.96,4.8,0.16,3.3333
