,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,0.43,0.44,-0.01,-2.2727
1,2022-06-30,2022-07-27,0.44,0.42,0.02,4.7619
2,2022-03-31,2022-04-27,0.39,0.39,0,0
3,2021-12-31,2022-02-02,0.45,0.44,0.01,2.2727
4,2021-09-30,2021-10-27,0.41,0.4,0.01,2.5
5,2021-06-30,2021-07-27,0.4,0.37,0.03,8.1081
6,2021-03-31,2021-04-28,0.37,0.31,0.06,19.3548
7,2020-12-31,2021-02-03,0.23,0.31,-0.08,-25.8065
8,2020-09-30,2020-10-28,0.37,0.25,0.12,48
9,2020-06-30,2020-07-29,0.08,-0.02,0.1,500
10,2020-03-31,2020-04-29,0.28,0.31,-0.03,-9.6774
11,2019-12-31,2020-02-05,0.46,0.44,0.02,4.5455
12,2019-09-30,2019-10-23,0.39,0.38,0.01,2.6316
13,2019-06-30,2019-07-24,0.39,0.38,0.01,2.6316
14,2019-03-31,2019-04-24,0.35,0.36,-0.01,-2.7778
15,2018-12-31,2019-02-06,0.39,0.37,0.02,5.4054
16,2018-09-30,2018-10-24,0.35,0.34,0.01,2.9412
17,2018-06-30,2018-07-25,0.35,0.34,0.01,2.9412
18,2018-03-31,2018-04-25,0.33,0.32,0.01,3.125
19,2017-12-31,2018-02-01,0.34,0.34,0,0
20,2017-09-30,2017-10-26,0.31,0.31,0,0
21,2017-06-30,2017-07-27,0.32,0.31,0.01,3.2258
22,2017-03-31,2017-04-27,0.29,0.3,-0.01,-3.3333
23,2016-12-31,2017-02-02,0.3,0.29,0.01,3.4483
24,2016-09-30,2016-10-26,0.27,0.27,0,0
25,2016-06-30,2016-07-28,0.27,0.27,0,0
26,2016-03-31,2016-04-27,0.28,0.24,0.04,16.6667
27,2015-12-31,2016-02-04,0.26,0.25,0.01,4
28,2015-09-30,2015-10-28,0.24,0.23,0.01,4.3478
29,2015-06-30,2015-07-23,0.22,0.21,0.01,4.7619
30,2015-03-31,2015-04-28,0.21,0.21,0,0
31,2014-12-31,2015-02-04,0.22,0.22,0,0
32,2014-09-30,2014-10-22,0.2,0.2,0,0
33,2014-06-30,2014-07-24,0.21,0.19,0.02,10.5263
34,2014-03-31,2014-04-29,0.2,0.18,0.02,11.1111
35,2013-12-31,2014-02-04,0.13,0.13,0,0
36,2013-09-30,2013-10-24,0.1,0.09,0.01,11.1111
37,2013-06-30,2013-07-25,0.12,0.09,0.03,33.3333
38,2013-03-31,2013-04-25,0.1,0.09,0.01,11.1111
39,2012-12-31,2013-01-29,0.11,0.11,0,0
40,2012-09-30,2012-10-18,0.1,0.11,-0.01,-9.0909
41,2012-06-30,2012-07-26,0.11,0.1,0.01,10
42,2012-03-31,2012-04-19,0.09,0.08,0.01,12.5
43,2011-12-31,2012-02-02,0.08,0.08,0,0
44,2011-09-30,2011-10-20,0.1,0.08,0.02,25
45,2011-06-30,2011-07-28,0.12,0.08,0.04,50
46,2011-03-31,2011-04-20,0.14,0.04,0.1,250
47,2010-12-31,2011-02-01,0.12,0.1,0.02,20
48,2010-09-30,2010-10-19,0.12,0.06,0.06,100
49,2010-06-30,2010-07-20,0.06,0.03,0.03,100
50,2010-03-31,2010-04-26,0.1,0.08,0.02,25
51,2009-12-31,2010-02-10,0.13,0.13,0,0
52,2009-09-30,2009-10-19,0.12,0.14,-0.02,-14.2857
53,2009-06-30,2009-07-20,0.13,0.13,0,0
54,2009-03-31,2009-04-20,0.12,0.12,0,0
55,2008-12-31,2009-01-28,0.13,0.13,0,0
56,2008-09-30,2008-10-21,0.09,0.11,-0.02,-18.1818
57,2008-06-30,2008-07-21,0.13,0.11,0.02,18.1818
58,2008-03-31,2008-04-21,0.17,0.11,0.06,54.5455
59,2007-12-31,2008-02-04,0.12,0.09,0.03,33.3333
60,2007-09-30,2007-10-19,0.11,0.07,0.04,57.1429
61,2007-06-30,2007-07-20,0.08,0.09,-0.01,-11.1111
62,2007-03-31,2007-04-23,0.1,0.1,0,0
63,2006-12-31,2007-02-01,0.1,0.11,-0.01,-9.0909
64,2006-09-30,2006-10-18,0.1,0.09,0.01,11.1111
65,2006-06-30,2006-07-27,0.21,0.17,0.04,23.5294
66,2006-03-31,2006-04-18,0.43,0.45,-0.02,-4.4444
67,2005-12-31,2006-02-07,0.41,0.42,-0.01,-2.381
68,2005-09-30,2005-10-14,0.42,0.44,-0.02,-4.5455
69,2005-06-30,2005-07-19,0.48,0.48,0,0
70,2005-03-31,2005-04-19,0.51,0.51,0,0
71,2004-12-31,2005-02-01,0.49,0.48,0.01,2.0833
72,2004-09-30,2004-10-19,0.47,0.46,0.01,2.1739
73,2004-06-30,2004-07-26,0.44,0.45,-0.01,-2.2222
74,2004-03-31,2004-04-20,0.23,0.22,0.01,4.5455
75,2003-12-31,2004-02-02,0.17,0.16,0.01,6.25
76,2003-09-30,2003-10-21,0.16,0.14,0.02,14.2857
77,2003-06-30,2003-07-22,0.15,0.15,0,0
78,2003-03-31,2003-04-21,0.14,0.14,0,0
79,2002-12-31,2003-02-04,0.16,0.15,0.01,6.6667
80,2002-09-30,2002-10-22,0.12,0.11,0.01,9.0909
81,2002-06-30,2002-07-23,0.12,0.11,0.01,9.0909
82,2002-03-31,2002-04-16,0.11,0.1,0.01,10
83,2001-12-31,2002-02-05,0.1,0.1,0,0
84,2001-09-30,2001-10-22,0.1,0.09,0.01,11.1111
85,2001-06-30,2001-07-18,0.1,0.1,0,0
86,2001-03-31,2001-04-25,0.11,0.11,0,0
87,2000-12-31,2001-02-06,0.11,0.11,0,0
88,2000-09-30,2000-10-17,0.13,0.15,-0.02,-13.3333
89,2000-06-30,2000-07-18,0.15,0.14,0.01,7.1429
90,2000-03-31,2000-04-18,0.13,0.11,0.02,18.1818
91,1999-12-31,2000-02-08,0.13,0.13,0,0
92,1999-09-30,1999-10-26,0.13,0.11,0.02,18.1818
93,1999-06-30,1999-07-20,0.14,0.13,0.01,7.6923
94,1999-03-31,1999-04-20,0.13,0.1,0.03,30
95,1998-12-31,1999-02-23,0.12,0.11,0.01,9.0909
96,1998-09-30,1998-11-13,0.11,0.09,0.02,22.2222
97,1998-06-30,1998-07-28,0.1,0.1,0,0
98,1998-03-31,1998-04-28,0.09,0.08,0.01,12.5
99,1997-12-31,1998-02-24,0.1,0.1,0,0
100,1997-09-30,1997-10-21,0.11,0.11,0,0
101,1997-06-30,1997-07-22,0.11,0.11,0,0
102,1997-03-31,1997-04-29,0.1,0.1,0,0
103,1996-12-31,1997-02-25,0.11,0.11,0,0
104,1996-09-30,1996-10-22,0.09,0.1,-0.01,-10
105,1996-06-30,1996-07-24,0.1,0.1,0,0
106,1996-03-31,1996-04-30,0.09,0.09,0,0
