,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-14,1.63,1.42,0.21,14.7887
1,2022-06-30,2022-07-15,2.19,1.68,0.51,30.3571
2,2022-03-31,2022-04-14,2.02,1.55,0.47,30.3226
3,2021-12-31,2022-01-14,1.46,1.38,0.08,5.7971
4,2021-09-30,2021-10-14,2.15,1.65,0.5,30.303
5,2021-06-30,2021-07-14,2.85,1.96,0.89,45.4082
6,2021-03-31,2021-04-15,3.62,2.6,1.02,39.2308
7,2020-12-31,2021-01-15,2.08,1.34,0.74,55.2239
8,2020-09-30,2020-10-13,1.4,0.93,0.47,50.5376
9,2020-06-30,2020-07-14,0.5,0.28,0.22,78.5714
10,2020-03-31,2020-04-15,1.05,1.04,0.01,0.9615
11,2019-12-31,2020-01-14,2.15,1.84,0.31,16.8478
12,2019-09-30,2019-10-15,2.07,1.95,0.12,6.1538
13,2019-06-30,2019-07-15,1.95,1.81,0.14,7.7348
14,2019-03-31,2019-04-15,1.87,1.8,0.07,3.8889
15,2018-12-31,2019-01-14,1.61,1.55,0.06,3.871
16,2018-09-30,2018-10-12,1.73,1.69,0.04,2.3669
17,2018-06-30,2018-07-13,1.63,1.56,0.07,4.4872
18,2018-03-31,2018-04-13,1.68,1.61,0.07,4.3478
19,2017-12-31,2018-01-16,1.28,1.19,0.09,7.563
20,2017-09-30,2017-10-12,1.42,1.32,0.1,7.5758
21,2017-06-30,2017-07-14,1.28,1.21,0.07,5.7851
22,2017-03-31,2017-04-13,1.35,1.24,0.11,8.871
23,2016-12-31,2017-01-18,1.14,1.12,0.02,1.7857
24,2016-09-30,2016-10-14,1.24,1.16,0.08,6.8966
25,2016-06-30,2016-07-15,1.24,1.1,0.14,12.7273
26,2016-03-31,2016-04-15,1.1,1.03,0.07,6.7961
27,2015-12-31,2016-01-15,1.06,1.05,0.01,0.9524
28,2015-09-30,2015-10-15,1.35,1.28,0.07,5.4688
29,2015-06-30,2015-07-16,1.51,1.34,0.17,12.6866
30,2015-03-31,2015-04-02,1.51,1.39,0.12,8.6331
31,2014-12-31,2015-01-15,0.06,0.09,-0.03,-33.3333
32,2014-09-30,2014-10-14,1.15,1.12,0.03,2.6786
33,2014-06-30,2014-07-14,1.24,1.05,0.19,18.0952
34,2014-03-31,2014-04-14,1.3,1.14,0.16,14.0351
35,2013-12-31,2014-01-16,0.82,0.95,-0.13,-13.6842
36,2013-09-30,2013-10-15,1.02,1.04,-0.02,-1.9231
37,2013-06-30,2013-07-15,1.25,1.17,0.08,6.8376
38,2013-03-31,2013-04-15,1.29,1.17,0.12,10.2564
39,2012-12-31,2013-01-17,0.69,0.96,-0.27,-28.125
40,2012-09-30,2012-10-15,1.06,0.96,0.1,10.4167
41,2012-06-30,2012-07-16,1,0.89,0.11,12.3596
42,2012-03-31,2012-04-16,1.11,1,0.11,11
43,2011-12-31,2012-01-17,0.38,0.49,-0.11,-22.449
44,2011-09-30,2011-10-17,1.23,0.81,0.42,51.8519
45,2011-06-30,2011-07-15,1.09,0.96,0.13,13.5417
46,2011-03-31,2011-04-18,1,0.92,0.08,8.6957
