,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-04,1.2,0.94,0.26,27.6596
1,2022-06-30,2022-08-11,1.05,1.18,-0.13,-11.0169
2,2022-03-31,2022-05-05,1.45,1.53,-0.08,-5.2288
3,2021-12-31,2022-02-03,1.27,1.23,0.04,3.252
4,2021-09-30,2021-11-09,1.29,1.33,-0.04,-3.0075
5,2021-06-30,2021-08-05,0.77,1.2,-0.43,-35.8333
6,2021-03-31,2021-05-06,1.53,1.55,-0.02,-1.2903
7,2020-12-31,2021-02-05,1.74,1.44,0.3,20.8333
8,2020-09-30,2020-11-05,1.51,1.13,0.38,33.6283
9,2020-06-30,2020-08-06,1.04,0.92,0.12,13.0435
10,2020-03-31,2020-05-11,1.62,1.43,0.19,13.2867
11,2019-12-31,2020-02-06,1.52,1.22,0.3,24.5902
12,2019-09-30,2019-11-07,1.27,1.1,0.17,15.4545
13,2019-06-30,2019-08-08,1.11,0.93,0.18,19.3548
14,2019-03-31,2019-05-09,1.59,1.43,0.16,11.1888
15,2018-12-31,2019-02-07,1.29,1.09,0.2,18.3486
16,2018-09-30,2018-11-08,1.29,1.08,0.21,19.4444
17,2018-06-30,2018-08-06,1.01,0.93,0.08,8.6022
18,2018-03-31,2018-05-03,1.39,1.51,-0.12,-7.947
19,2017-12-31,2018-02-08,1.51,1.15,0.36,31.3043
20,2017-09-30,2017-11-06,1.09,1,0.09,9
21,2017-06-30,2017-08-02,1.31,1.24,0.07,5.6452
22,2017-03-31,2017-05-01,1.53,1.46,0.07,4.7945
23,2016-12-31,2017-02-07,1.34,1.23,0.11,8.9431
24,2016-09-30,2016-10-31,1.24,1.21,0.03,2.4793
25,2016-06-30,2016-08-02,1.14,1.13,0.01,0.885
26,2016-03-31,2016-04-28,1.43,1.33,0.1,7.5188
27,2015-12-31,2016-02-01,1.3,1.26,0.04,3.1746
28,2015-09-30,2015-11-02,1.38,1.1,0.28,25.4545
29,2015-06-30,2015-07-30,1,0.99,0.01,1.0101
30,2015-03-31,2015-04-30,1.19,1.16,0.03,2.5862
31,2014-12-31,2015-01-29,1.2,1.1,0.1,9.0909
32,2014-09-30,2014-10-30,1,0.96,0.04,4.1667
33,2014-06-30,2014-08-04,0.83,0.81,0.02,2.4691
34,2014-03-31,2014-05-01,1.01,1.01,0,0
35,2013-12-31,2014-01-30,0.9,0.84,0.06,7.1429
36,2013-09-30,2013-10-31,0.92,0.86,0.06,6.9767
37,2013-06-30,2013-08-01,0.79,0.77,0.02,2.5974
38,2013-03-31,2013-05-02,1.02,0.95,0.07,7.3684
39,2012-12-31,2013-02-05,0.93,0.86,0.07,8.1395
40,2012-09-30,2012-10-30,0.81,0.79,0.02,2.5316
41,2012-06-30,2012-08-02,0.73,0.72,0.01,1.3889
42,2012-03-31,2012-05-03,0.94,0.88,0.06,6.8182
43,2011-12-31,2012-02-02,0.81,0.76,0.05,6.5789
