,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,3.95,3.16,0.79,25
1,2022-06-30,2022-08-02,3.18,3.01,0.17,5.6478
2,2022-03-31,2022-04-28,2.88,2.6,0.28,10.7692
3,2021-12-31,2022-01-28,2.69,2.26,0.43,19.0265
4,2021-09-30,2021-10-28,2.66,2.2,0.46,20.9091
5,2021-06-30,2021-07-30,2.6,2.4,0.2,8.3333
6,2021-03-31,2021-04-29,2.87,1.94,0.93,47.9381
7,2020-12-31,2021-01-29,2.12,1.49,0.63,42.2819
8,2020-09-30,2020-10-27,1.34,1.18,0.16,13.5593
9,2020-06-30,2020-07-31,1.03,0.64,0.39,60.9375
10,2020-03-31,2020-04-28,1.6,1.69,-0.09,-5.3254
11,2019-12-31,2020-01-31,2.63,2.38,0.25,10.5042
12,2019-09-30,2019-10-23,2.66,2.88,-0.22,-7.6389
13,2019-06-30,2019-07-24,2.83,3.12,-0.29,-9.2949
14,2019-03-31,2019-04-24,2.94,2.85,0.09,3.1579
15,2018-12-31,2019-01-28,2.55,2.99,-0.44,-14.7157
16,2018-09-30,2018-10-23,2.86,2.85,0.01,0.3509
17,2018-06-30,2018-07-30,2.97,2.73,0.24,8.7912
18,2018-03-31,2018-04-24,2.82,2.13,0.69,32.3944
19,2017-12-31,2018-01-25,2.16,1.79,0.37,20.6704
20,2017-09-30,2017-10-24,1.95,1.27,0.68,53.5433
21,2017-06-30,2017-07-25,1.49,1.26,0.23,18.254
22,2017-03-31,2017-04-25,1.28,0.62,0.66,106.4516
23,2016-12-31,2017-01-26,0.83,0.66,0.17,25.7576
24,2016-09-30,2016-10-25,0.85,0.76,0.09,11.8421
25,2016-06-30,2016-07-26,1.09,0.96,0.13,13.5417
26,2016-03-31,2016-04-22,0.67,0.68,-0.01,-1.4706
27,2015-12-31,2016-01-28,0.74,0.69,0.05,7.2464
28,2015-09-30,2015-10-22,0.75,0.78,-0.03,-3.8462
29,2015-06-30,2015-07-23,1.27,1.27,0,0
30,2015-03-31,2015-04-23,1.86,1.35,0.51,37.7778
31,2014-12-31,2015-01-27,1.35,1.55,-0.2,-12.9032
32,2014-09-30,2014-10-23,1.72,1.36,0.36,26.4706
33,2014-06-30,2014-07-24,1.69,1.52,0.17,11.1842
34,2014-03-31,2014-04-24,1.61,1.24,0.37,29.8387
35,2013-12-31,2014-01-27,1.58,1.28,0.3,23.4375
36,2013-09-30,2013-10-23,1.45,1.66,-0.21,-12.6506
37,2013-06-30,2013-07-24,1.45,1.7,-0.25,-14.7059
38,2013-03-31,2013-04-22,1.31,1.4,-0.09,-6.4286
39,2012-12-31,2013-01-28,1.46,1.69,-0.23,-13.6095
40,2012-09-30,2012-10-22,2.26,2.22,0.04,1.8018
41,2012-06-30,2012-07-25,2.54,2.28,0.26,11.4035
42,2012-03-31,2012-04-25,2.37,2.13,0.24,11.2676
43,2011-12-31,2012-01-26,2.32,1.73,0.59,34.104
44,2011-09-30,2011-10-24,1.71,1.54,0.17,11.039
45,2011-06-30,2011-07-22,1.52,1.75,-0.23,-13.1429
46,2011-03-31,2011-04-29,1.84,1.31,0.53,40.458
47,2010-12-31,2011-01-27,1.47,1.27,0.2,15.748
48,2010-09-30,2010-10-21,1.22,1.09,0.13,11.9266
49,2010-06-30,2010-07-22,0.99,0.85,0.14,16.4706
50,2010-03-31,2010-04-26,0.36,0.39,-0.03,-7.6923
51,2009-12-31,2010-01-27,0.41,0.28,0.13,46.4286
52,2009-09-30,2009-10-20,0.64,0.06,0.58,966.6667
53,2009-06-30,2009-07-21,0.72,0.22,0.5,227.2727
54,2009-03-31,2009-04-21,0.39,0.04,0.35,875
55,2008-12-31,2009-01-26,1.08,1.29,-0.21,-16.2791
56,2008-09-30,2008-10-21,1.39,1.41,-0.02,-1.4184
57,2008-06-30,2008-07-22,1.74,1.54,0.2,12.987
58,2008-03-31,2008-04-18,1.45,1.33,0.12,9.0226
59,2007-12-31,2008-01-25,1.5,1.5,0,0
60,2007-09-30,2007-10-19,1.4,1.43,-0.03,-2.0979
61,2007-06-30,2007-07-20,1.24,1.49,-0.25,-16.7785
62,2007-03-31,2007-04-20,1.23,1.09,0.14,12.844
63,2006-12-31,2007-01-26,1.32,1.34,-0.02,-1.4925
64,2006-09-30,2006-10-20,1.14,1.35,-0.21,-15.5556
65,2006-06-30,2006-07-21,1.52,1.42,0.1,7.0423
66,2006-03-31,2006-04-24,1.2,1.05,0.15,14.2857
67,2005-12-31,2006-01-26,1.2,1.1,0.1,9.0909
68,2005-09-30,2005-10-21,0.94,1.06,-0.12,-11.3208
69,2005-06-30,2005-07-21,1.08,1.01,0.07,6.9307
70,2005-03-31,2005-04-20,0.82,0.68,0.14,20.5882
71,2004-12-31,2005-01-27,0.78,0.82,-0.04,-4.878
72,2004-09-30,2004-10-21,0.71,0.68,0.03,4.4118
73,2004-06-30,2004-07-22,0.78,0.87,-0.09,-10.3448
74,2004-03-31,2004-04-22,0.58,0.35,0.23,65.7143
75,2003-12-31,2004-01-27,0.49,0.47,0.02,4.2553
76,2003-09-30,2003-10-16,0.31,0.37,-0.06,-16.2162
77,2003-06-30,2003-07-17,0.57,0.33,0.24,72.7273
78,2003-03-31,2003-04-16,0.19,0.13,0.06,46.1538
79,2002-12-31,2003-01-23,0.44,0.34,0.1,29.4118
80,2002-09-30,2002-10-16,0.31,0.28,0.03,10.7143
81,2002-06-30,2002-07-16,0.29,0.36,-0.07,-19.4444
82,2002-03-31,2002-04-16,0.12,0.12,0,0
83,2001-12-31,2002-01-23,0.38,0.38,0,0
84,2001-09-30,2001-10-16,0.3,0.31,-0.01,-3.2258
85,2001-06-30,2001-07-17,0.39,0.35,0.04,11.4286
86,2001-03-31,2001-04-17,0.24,0.25,-0.01,-4
87,2000-12-31,2001-01-18,0.38,0.33,0.05,15.1515
88,2000-09-30,2000-10-17,0.31,0.29,0.02,6.8966
89,2000-06-30,2000-07-20,0.45,0.43,0.02,4.6512
90,2000-03-31,2000-04-18,0.37,0.29,0.08,27.5862
91,1999-12-31,2000-01-21,0.34,0.32,0.02,6.25
92,1999-09-30,1999-10-15,0.31,0.3,0.01,3.3333
93,1999-06-30,1999-07-16,0.39,0.4,-0.01,-2.5
94,1999-03-31,1999-04-16,0.29,0.21,0.08,38.0952
95,1998-12-31,1999-01-20,0.42,0.42,0,0
96,1998-09-30,1998-10-16,0.46,0.5,-0.04,-8
97,1998-06-30,1998-07-15,0.61,0.62,-0.01,-1.6129
98,1998-03-31,1998-04-17,0.57,0.55,0.02,3.6364
99,1997-12-31,1998-01-21,0.6,0.56,0.04,7.1429
100,1997-09-30,1997-10-15,0.52,0.46,0.06,13.0435
101,1997-06-30,1997-07-22,0.57,0.55,0.02,3.6364
102,1997-03-31,1997-04-15,0.52,0.43,0.09,20.9302
103,1996-12-31,1997-01-21,0.5,0.47,0.03,6.383
104,1996-09-30,1996-10-15,0.4,0.35,0.05,14.2857
105,1996-06-30,1996-07-16,0.49,0.41,0.08,19.5122
106,1996-03-31,1996-04-16,0.38,0.37,0.01,2.7027
