,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-28,0.74,0.73,0.01,1.3699
1,2022-06-30,2022-07-29,0.72,0.71,0.01,1.4085
2,2022-03-31,2022-04-29,0.74,0.74,0,0
3,2021-12-31,2022-01-28,0.79,0.79,0,0
4,2021-09-30,2021-10-29,0.81,0.8,0.01,1.25
5,2021-06-30,2021-07-30,0.8,0.8,0,0
6,2021-03-31,2021-04-30,0.8,0.79,0.01,1.2658
7,2020-12-31,2021-01-29,0.77,0.76,0.01,1.3158
8,2020-09-30,2020-10-30,0.79,0.7,0.09,12.8571
9,2020-06-30,2020-07-31,0.74,0.7,0.04,5.7143
10,2020-03-31,2020-05-01,0.75,0.74,0.01,1.3514
11,2019-12-31,2020-01-31,0.73,0.73,0,0
12,2019-09-30,2019-11-01,0.71,0.7,0.01,1.4286
13,2019-06-30,2019-07-26,0.72,0.73,-0.01,-1.3699
14,2019-03-31,2019-04-26,0.67,0.66,0.01,1.5152
15,2018-12-31,2019-01-25,0.74,0.73,0.01,1.3699
16,2018-09-30,2018-10-26,0.72,0.72,0,0
17,2018-06-30,2018-07-27,0.77,0.77,0,0
18,2018-03-31,2018-04-27,0.74,0.73,0.01,1.3699
19,2017-12-31,2018-01-26,0.75,0.75,0,0
20,2017-09-30,2017-10-27,0.73,0.73,0,0
21,2017-06-30,2017-07-21,0.72,0.72,0,0
22,2017-03-31,2017-04-28,0.67,0.66,0.01,1.5152
23,2016-12-31,2017-01-27,0.75,0.75,0,0
24,2016-09-30,2016-10-27,0.73,0.73,0,0
25,2016-06-30,2016-07-28,0.7,0.69,0.01,1.4493
26,2016-03-31,2016-04-28,0.63,0.63,0,0
27,2015-12-31,2016-01-29,0.73,0.72,0.01,1.3889
28,2015-09-30,2015-10-30,0.72,0.72,0,0
29,2015-06-30,2015-07-30,0.7,0.7,0,0
30,2015-03-31,2015-04-30,0.66,0.66,0,0
31,2014-12-31,2015-01-29,0.76,0.74,0.02,2.7027
32,2014-09-30,2014-10-24,0.76,0.76,0,0
33,2014-06-30,2014-07-31,0.73,0.73,0,0
34,2014-03-31,2014-04-25,0.68,0.68,0,0
