,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-19,2.6,2.57,0.03,1.1673
1,2022-06-30,2022-07-20,1.92,1.78,0.14,7.8652
2,2022-03-31,2022-04-20,1.37,1.38,-0.01,-0.7246
3,2021-12-31,2022-01-19,1.66,1.58,0.08,5.0633
4,2021-09-30,2021-10-20,1.9,1.64,0.26,15.8537
5,2021-06-30,2021-07-21,2.32,1.61,0.71,44.0994
6,2021-03-31,2021-04-20,2.43,1.37,1.06,77.3723
7,2020-12-31,2021-01-19,1.49,1.19,0.3,25.2101
8,2020-09-30,2020-10-20,1.44,0.83,0.61,73.494
9,2020-06-30,2020-07-21,0.8,0.21,0.59,280.9524
10,2020-03-31,2020-04-21,-0.46,0.95,-1.41,-148.4211
11,2019-12-31,2020-01-21,1.85,1.74,0.11,6.3218
12,2019-09-30,2019-10-16,1.96,1.9,0.06,3.1579
13,2019-06-30,2019-07-17,1.94,2,-0.06,-3
14,2019-03-31,2019-04-16,2.11,1.94,0.17,8.7629
15,2018-12-31,2019-01-16,1.88,1.87,0.01,0.5348
16,2018-09-30,2018-10-16,1.86,1.76,0.1,5.6818
17,2018-06-30,2018-07-17,1.87,1.64,0.23,14.0244
18,2018-03-31,2018-04-17,1.59,1.53,0.06,3.9216
19,2017-12-31,2018-01-16,1.26,1.21,0.05,4.1322
20,2017-09-30,2017-10-17,1.26,1.2,0.06,5
21,2017-06-30,2017-07-18,1.13,1.06,0.07,6.6038
22,2017-03-31,2017-04-18,1.11,0.93,0.18,19.3548
23,2016-12-31,2017-01-17,0.92,0.87,0.05,5.7471
24,2016-09-30,2016-10-18,0.84,0.74,0.1,13.5135
25,2016-06-30,2016-07-19,0.58,0.69,-0.11,-15.942
26,2016-03-31,2016-04-19,0.34,0.45,-0.11,-24.4444
27,2015-12-31,2016-01-19,0.71,0.69,0.02,2.8986
28,2015-09-30,2015-10-16,0.74,0.7,0.04,5.7143
29,2015-06-30,2015-07-17,0.73,0.75,-0.02,-2.6667
30,2015-03-31,2015-04-17,0.73,0.73,0,0
31,2014-12-31,2015-01-16,0.8,0.77,0.03,3.8961
32,2014-09-30,2014-10-17,0.82,0.8,0.02,2.5
33,2014-06-30,2014-07-15,0.8,0.76,0.04,5.2632
34,2014-03-31,2014-04-15,0.73,0.72,0.01,1.3889
35,2013-12-31,2014-01-17,0.77,0.74,0.03,4.0541
