,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,0.96,0.9,0.06,6.6667
1,2022-06-30,2022-07-28,1.01,0.92,0.09,9.7826
2,2022-03-31,2022-04-28,0.86,0.8,0.06,7.5
3,2021-12-31,2022-01-27,0.77,0.73,0.04,5.4795
4,2021-09-30,2021-10-28,0.87,0.75,0.12,16
5,2021-06-30,2021-07-29,0.84,0.67,0.17,25.3731
6,2021-03-31,2021-04-29,0.76,0.59,0.17,28.8136
7,2020-12-31,2021-01-28,0.56,0.48,0.08,16.6667
8,2020-09-30,2020-10-29,0.65,0.52,0.13,25
9,2020-06-30,2020-07-30,0.69,0.55,0.14,25.4545
10,2020-03-31,2020-04-30,0.71,0.68,0.03,4.4118
11,2019-12-31,2020-01-23,0.79,0.76,0.03,3.9474
12,2019-09-30,2019-10-24,0.79,0.75,0.04,5.3333
13,2019-06-30,2019-07-25,0.78,0.75,0.03,4
14,2019-03-31,2019-04-25,0.76,0.68,0.08,11.7647
15,2018-12-31,2019-01-23,0.64,0.62,0.02,3.2258
16,2018-09-30,2018-10-25,0.65,0.61,0.04,6.5574
17,2018-06-30,2018-07-26,0.65,0.6,0.05,8.3333
18,2018-03-31,2018-04-25,0.62,0.59,0.03,5.0847
19,2017-12-31,2018-01-24,0.49,0.47,0.02,4.2553
20,2017-09-30,2017-10-26,0.52,0.5,0.02,4
21,2017-06-30,2017-07-27,0.52,0.48,0.04,8.3333
22,2017-03-31,2017-04-27,0.53,0.45,0.08,17.7778
23,2016-12-31,2017-01-26,0.45,0.43,0.02,4.6512
24,2016-09-30,2016-10-26,0.46,0.46,0,0
25,2016-06-30,2016-07-27,0.42,0.4,0.02,5
26,2016-03-31,2016-04-27,0.44,0.4,0.04,10
27,2015-12-31,2016-02-03,0.4,0.41,-0.01,-2.439
28,2015-09-30,2015-10-27,0.4,0.4,0,0
29,2015-06-30,2015-07-23,0.42,0.42,0,0
30,2015-03-31,2015-05-04,0.41,0.37,0.04,10.8108
31,2014-12-31,2015-02-24,0.74,0.78,-0.04,-5.1282
32,2014-09-30,2014-10-23,0.99,0.71,0.28,39.4366
33,2014-06-30,2014-07-22,0.38,0.36,0.02,5.5556
34,2014-03-31,2014-04-22,0.34,0.32,0.02,6.25
35,2013-12-31,2014-01-28,0.33,0.34,-0.01,-2.9412
36,2013-09-30,2013-10-30,0.33,0.31,0.02,6.4516
37,2013-06-30,2013-07-31,0.33,0.32,0.01,3.125
38,2013-03-31,2013-05-01,0.26,0.25,0.01,4
39,2012-12-31,2013-02-12,0.26,0.27,-0.01,-3.7037
40,2012-09-30,2012-10-26,0.23,0.23,0,0
41,2012-06-30,2012-08-01,0.25,0.24,0.01,4.1667
42,2012-03-31,2012-05-02,0.23,0.21,0.02,9.5238
43,2011-12-31,2012-02-15,0.24,0.21,0.03,14.2857
44,2011-09-30,2011-11-02,0.17,0.2,-0.03,-15
45,2011-06-30,2011-08-03,0.21,0.21,0,0
46,2011-03-31,2011-05-03,0.17,0.17,0,0
47,2010-12-31,2011-02-16,0.17,0.16,0.01,6.25
48,2010-09-30,2010-10-27,0.16,0.15,0.01,6.6667
49,2010-06-30,2010-07-28,0.17,0.16,0.01,6.25
50,2010-03-31,2010-04-28,0.16,0.15,0.01,6.6667
51,2009-12-31,2010-02-03,0.17,0.14,0.03,21.4286
52,2009-09-30,2009-11-04,0.17,0.13,0.04,30.7692
53,2009-06-30,2009-08-06,0.17,0.13,0.04,30.7692
54,2009-03-31,2009-04-30,0.14,0.12,0.02,16.6667
55,2008-12-31,2009-02-18,0.14,0.11,0.03,27.2727
56,2008-09-30,2008-10-29,0.13,0.11,0.02,18.1818
57,2008-06-30,2008-07-30,0.11,0.11,0,0
58,2008-03-31,2008-05-01,0.1,0.09,0.01,11.1111
59,2007-12-31,2008-02-14,0.1,0.09,0.01,11.1111
60,2007-09-30,2007-10-25,0.09,0.09,0,0
61,2007-06-30,2007-07-26,0.1,0.09,0.01,11.1111
62,2007-03-31,2007-04-26,0.09,0.08,0.01,12.5
63,2006-12-31,2007-02-01,0.07,0.08,-0.01,-12.5
64,2006-09-30,2006-10-26,0.09,0.06,0.03,50
65,2006-06-30,2006-07-27,0.07,0.07,0,0
66,2006-03-31,2006-04-27,0.07,0.05,0.02,40
67,2005-12-31,2006-02-02,0.02,0.05,-0.03,-60
68,2005-09-30,2005-11-03,0.03,0.05,-0.02,-40
69,2005-06-30,2005-08-02,0.06,0.05,0.01,20
70,2005-03-31,2005-04-28,0.05,0.04,0.01,25
71,2004-12-31,2005-02-03,0.06,0.04,0.02,50
72,2004-09-30,2004-10-25,0.03,0.04,-0.01,-25
73,2004-06-30,2004-07-28,0.04,0.03,0.01,33.3333
74,2004-03-31,2004-04-28,0.01,0.02,-0.01,-50
75,2003-12-31,2004-02-11,0.06,0.01,0.05,500
76,2003-09-30,2003-10-30,-0.02,None,None,None
77,2003-06-30,2003-07-31,-0.0033,-0.01,0.0067,67
78,2003-03-31,2003-05-08,-0.04,-0.03,-0.01,-33.3333
79,2002-12-31,2003-02-27,-0.01,-0.04,0.03,75
80,2002-09-30,2002-10-28,0.09,0.05,0.04,80
81,2002-06-30,2002-08-01,0.1,0.06,0.04,66.6667
82,2002-03-31,2002-05-01,0.08,0.03,0.05,166.6667
83,2001-12-31,2002-02-06,-0.18,-0.1,-0.08,-80
84,2001-09-30,2001-10-31,-0.13,-0.11,-0.02,-18.1818
85,2001-06-30,2001-08-01,-0.11,-0.1,-0.01,-10
86,2001-03-31,2001-05-08,-0.1,-0.12,0.02,16.6667
87,2000-12-31,2001-02-26,-0.1,-0.05,-0.05,-100
88,2000-09-30,2000-12-06,0.43,-0.05,0.48,960
89,2000-06-30,2000-08-09,0.07,0.02,0.05,250
90,2000-03-31,2000-05-02,-0.08,0.01,-0.09,-900
91,1999-12-31,2000-02-28,-0.08,0.01,-0.09,-900
92,1999-09-30,1999-11-09,0.02,0.01,0.01,100
93,1999-06-30,1999-08-09,-0.06,-0.07,0.01,14.2857
94,1999-03-31,1999-05-10,0.04,-0.02,0.06,300
95,1998-12-31,1999-02-22,-0.04,-0.02,-0.02,-100
96,1998-09-30,1998-11-10,0.5826,-0.02,0.6026,3013
97,1998-06-30,1998-08-13,-0.02,-0.02,0,0
98,1998-03-31,1998-05-12,-0.02,-0.02,0,0
99,1997-12-31,1998-02-23,-0.02,-0.02,0,0
100,1997-09-30,1997-11-11,-0.01,-0.02,0.01,50
101,1997-06-30,1997-08-11,0,-0.01,0.01,100
102,1997-03-31,1997-05-12,-0.02,-0.01,-0.01,-100
103,1996-12-31,1997-02-21,-0.01,0,-0.01,None
104,1996-09-30,1996-11-04,0,-0.01,0.01,100
105,1996-06-30,1996-08-12,0,-0.01,0.01,100
106,1996-03-31,1996-05-13,-0.01,-0.01,0,0
