,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,0.32,0.3,0.02,6.6667
1,2022-06-30,2022-08-02,0.31,0.27,0.04,14.8148
2,2022-03-31,2022-05-03,0.47,0.48,-0.01,-2.0833
3,2021-12-31,2022-02-22,0.36,0.28,0.08,28.5714
4,2021-09-30,2021-11-04,0.33,0.28,0.05,17.8571
5,2021-06-30,2021-08-05,0.36,0.25,0.11,44
6,2021-03-31,2021-05-06,0.59,0.53,0.06,11.3208
7,2020-12-31,2021-02-25,0.29,0.2,0.09,45
8,2020-09-30,2020-11-05,0.34,0.3,0.04,13.3333
9,2020-06-30,2020-08-06,0.21,0.21,0,0
10,2020-03-31,2020-05-07,0.65,0.44,0.21,47.7273
11,2019-12-31,2020-02-27,0.45,0.36,0.09,25
12,2019-09-30,2019-11-07,0.53,0.43,0.1,23.2558
13,2019-06-30,2019-08-07,0.35,0.31,0.04,12.9032
14,2019-03-31,2019-05-09,0.46,0.54,-0.08,-14.8148
15,2018-12-31,2019-02-28,0.36,0.34,0.02,5.8824
16,2018-09-30,2018-11-08,0.39,0.42,-0.03,-7.1429
17,2018-06-30,2018-08-03,0.3,0.32,-0.02,-6.25
18,2018-03-31,2018-05-04,0.55,0.44,0.11,25
19,2017-12-31,2018-02-22,0.33,0.3,0.03,10
20,2017-09-30,2017-11-03,0.38,0.39,-0.01,-2.5641
21,2017-06-30,2017-08-03,0.29,0.22,0.07,31.8182
22,2017-03-31,2017-05-05,0.37,0.34,0.03,8.8235
23,2016-12-31,2017-02-28,0.26,0.28,-0.02,-7.1429
24,2016-09-30,2016-11-04,0.41,0.36,0.05,13.8889
25,2016-06-30,2016-08-05,0.17,0.2,-0.03,-15
26,2016-03-31,2016-05-10,0.32,0.31,0.01,3.2258
27,2015-12-31,2016-02-26,0.27,0.23,0.04,17.3913
28,2015-09-30,2015-11-05,0.34,0.3,0.04,13.3333
29,2015-06-30,2015-08-10,0.19,0.19,0,0
30,2015-03-31,2015-05-11,0.3,0.33,-0.03,-9.0909
31,2014-12-31,2015-02-26,0.36,0.26,0.1,38.4615
32,2014-09-30,2014-11-05,0.3,0.3,0,0
33,2014-06-30,2014-08-06,0.21,0.23,-0.02,-8.6957
