,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,4.2,5.04,-0.84,-16.6667
1,2022-06-30,2022-07-21,4.96,5.09,-0.13,-2.554
2,2022-03-31,2022-04-26,5.62,5.44,0.18,3.3088
3,2021-12-31,2022-01-25,5.41,5.3,0.11,2.0755
4,2021-09-30,2021-10-26,6.78,5.38,1.4,26.0223
5,2021-06-30,2021-07-22,7.62,4.64,2.98,64.2241
6,2021-03-31,2021-04-27,7.03,4.17,2.86,68.5851
7,2020-12-31,2021-01-26,5.35,2.86,2.49,87.0629
8,2020-09-30,2020-10-22,5.06,2.13,2.93,137.5587
9,2020-06-30,2020-07-21,-2.21,-1.68,-0.53,-31.5476
10,2020-03-31,2020-04-23,-3.1,0.52,-3.62,-696.1538
11,2019-12-31,2020-01-21,2.25,2.28,-0.03,-1.3158
12,2019-09-30,2019-10-24,2.69,2.88,-0.19,-6.5972
13,2019-06-30,2019-07-18,3.24,2.87,0.37,12.892
14,2019-03-31,2019-04-25,2.86,2.7,0.16,5.9259
15,2018-12-31,2019-01-22,1.87,2.37,-0.5,-21.097
16,2018-09-30,2018-10-23,2.99,2.88,0.11,3.8194
17,2018-06-30,2018-07-19,3.71,2.63,1.08,41.0646
18,2018-03-31,2018-04-24,2.62,2.32,0.3,12.931
19,2017-12-31,2018-01-23,1.59,1.88,-0.29,-15.4255
20,2017-09-30,2017-10-24,2.14,2.15,-0.01,-0.4651
21,2017-06-30,2017-07-20,1.94,1.9,0.04,2.1053
22,2017-03-31,2017-04-25,1.54,1.92,-0.38,-19.7917
23,2016-12-31,2017-01-24,1.45,1.61,-0.16,-9.9379
24,2016-09-30,2016-10-25,1.9,1.94,-0.04,-2.0619
25,2016-06-30,2016-07-21,1.69,1.86,-0.17,-9.1398
26,2016-03-31,2016-04-26,1.84,1.91,-0.07,-3.6649
27,2015-12-31,2016-01-26,1.58,1.61,-0.03,-1.8634
28,2015-09-30,2015-10-22,1.98,1.94,0.04,2.0619
29,2015-06-30,2015-07-23,1.5,1.97,-0.47,-23.8579
30,2015-03-31,2015-04-23,2,1.88,0.12,6.383
31,2014-12-31,2015-01-22,1.73,1.74,-0.01,-0.5747
32,2014-09-30,2014-10-16,1.86,1.94,-0.08,-4.1237
33,2014-06-30,2014-07-17,2.04,1.82,0.22,12.0879
34,2014-03-31,2014-04-16,1.96,1.69,0.27,15.9763
35,2013-12-31,2014-01-16,1.45,1.55,-0.1,-6.4516
36,2013-09-30,2013-10-17,1.86,1.8,0.06,3.3333
37,2013-06-30,2013-07-18,1.87,1.72,0.15,8.7209
38,2013-03-31,2013-04-18,1.79,1.6,0.19,11.875
39,2012-12-31,2013-01-17,1.41,1.58,-0.17,-10.7595
40,2012-09-30,2012-10-18,2.01,1.66,0.35,21.0843
41,2012-06-30,2012-07-18,0.82,1.07,-0.25,-23.3645
42,2012-03-31,2012-04-19,1.56,1.39,0.17,12.2302
43,2011-12-31,2012-01-19,0.88,1.56,-0.68,-43.5897
44,2011-09-30,2011-10-20,1.77,1.68,0.09,5.3571
45,2011-06-30,2011-07-13,1.97,1.71,0.26,15.2047
46,2011-03-31,2011-04-21,2.21,1.55,0.66,42.5806
47,2010-12-31,2011-01-20,1.52,1.36,0.16,11.7647
48,2010-09-30,2010-10-18,1.76,1.17,0.59,50.4274
49,2010-06-30,2010-07-22,1.33,0.88,0.45,51.1364
50,2010-03-31,2010-04-22,1.4,0.59,0.81,137.2881
51,2009-12-31,2010-01-21,0.83,0.45,0.38,84.4444
52,2009-09-30,2009-10-22,0.94,0.14,0.8,571.4286
53,2009-06-30,2009-07-23,-0.65,-0.76,0.11,14.4737
54,2009-03-31,2009-04-21,-0.45,-0.08,-0.37,-462.5
55,2008-12-31,2009-01-22,-3.74,0.33,-4.07,-1233.3333
56,2008-09-30,2008-10-16,1,0.98,0.02,2.0408
57,2008-06-30,2008-07-17,1.21,1.31,-0.1,-7.6336
58,2008-03-31,2008-04-17,1.47,1.45,0.02,1.3793
59,2007-12-31,2008-01-23,0.6,0.63,-0.03,-4.7619
60,2007-09-30,2007-10-18,-0.21,-0.3,0.09,30
