,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-07-31,2022-08-31,3.19,3.22,-0.03,-0.9317
1,2022-04-30,2022-06-02,3.24,3.43,-0.19,-5.5394
2,2022-01-31,2022-03-03,3.24,3.11,0.13,4.1801
3,2021-10-31,2021-12-02,3.28,3.37,-0.09,-2.6706
4,2021-07-31,2021-09-02,3.41,3.29,0.12,3.6474
5,2021-04-30,2021-06-03,3.38,3.09,0.29,9.3851
6,2021-01-31,2021-03-04,3.17,2.78,0.39,14.0288
7,2020-10-31,2020-12-03,3.16,3.09,0.07,2.2654
8,2020-07-31,2020-09-03,2.28,1.52,0.76,50
9,2020-04-30,2020-06-04,1.51,2.36,-0.85,-36.0169
10,2020-01-31,2020-03-05,2.69,2.71,-0.02,-0.738
11,2019-10-31,2019-12-05,3.3,3.27,0.03,0.9174
12,2019-07-31,2019-08-29,3.23,3.18,0.05,1.5723
13,2019-04-30,2019-05-30,2.94,2.76,0.18,6.5217
14,2019-01-31,2019-03-05,2.88,2.5,0.38,15.2
15,2018-10-31,2018-12-06,2.87,2.96,-0.09,-3.0405
16,2018-07-31,2018-08-30,3,3.07,-0.07,-2.2801
17,2018-04-30,2018-06-07,2.86,2.84,0.02,0.7042
18,2018-01-31,2018-03-08,2.79,2.51,0.28,11.1554
19,2017-10-31,2017-12-07,2.65,2.64,0.01,0.3788
20,2017-07-31,2017-08-31,2.64,2.58,0.06,2.3256
21,2017-04-30,2017-06-01,2.5,2.25,0.25,11.1111
22,2017-01-31,2017-03-02,1.93,1.87,0.06,3.2086
23,2016-10-31,2016-12-08,2.28,2.25,0.03,1.3333
24,2016-07-31,2016-09-01,2.3,2.29,0.01,0.4367
25,2016-04-30,2016-06-02,2.05,1.91,0.14,7.3298
26,2016-01-31,2016-03-03,1.83,1.58,0.25,15.8228
27,2015-10-31,2015-12-03,2,2.11,-0.11,-5.2133
28,2015-07-31,2015-09-03,1.97,1.95,0.02,1.0256
29,2015-04-30,2015-06-04,1.72,1.76,-0.04,-2.2727
30,2015-01-31,2015-03-05,1.75,1.54,0.21,13.6364
31,2014-10-31,2014-12-04,1.95,2.03,-0.08,-3.9409
32,2014-07-31,2014-09-04,2,1.9,0.1,5.2632
33,2014-04-30,2014-06-05,1.64,1.6,0.04,2.5
34,2014-01-31,2014-03-06,1.47,1.46,0.01,0.6849
35,2013-10-31,2013-12-05,1.48,1.8,-0.32,-17.7778
36,2013-07-31,2013-09-05,1.74,1.71,0.03,1.7544
37,2013-04-30,2013-06-06,1.5,1.39,0.11,7.9137
38,2013-01-31,2013-03-07,1.23,1.19,0.04,3.3613
39,2012-10-31,2012-12-06,1.47,1.55,-0.08,-5.1613
40,2012-07-31,2012-09-06,1.45,1.29,0.16,12.4031
41,2012-04-30,2012-06-07,1.12,1.2,-0.08,-6.6667
42,2012-01-31,2012-03-08,1.12,1.04,0.08,7.6923
43,2011-10-31,2011-12-08,1.46,1.21,0.25,20.6612
44,2011-07-31,2011-08-31,1.15,1.08,0.07,6.4815
45,2011-04-30,2011-06-02,1.02,0.93,0.09,9.6774
46,2011-01-31,2011-03-03,0.85,0.67,0.18,26.8657
47,2010-10-31,2010-12-07,1.09,0.87,0.22,25.2874
48,2010-07-31,2010-09-02,0.91,0.71,0.2,28.169
49,2010-04-30,2010-06-03,0.61,0.61,0,0
50,2010-01-31,2010-03-04,0.49,0.52,-0.03,-5.7692
51,2009-10-31,2009-12-08,0.67,0.67,0,0
52,2009-07-31,2009-09-03,0.54,0.61,-0.07,-11.4754
53,2009-04-30,2009-06-04,0.54,0.49,0.05,10.2041
54,2009-01-31,2009-03-05,0.53,0.39,0.14,35.8974
55,2008-10-31,2008-12-09,0.65,0.57,0.08,14.0351
56,2008-07-31,2008-09-04,0.67,0.65,0.02,3.0769
57,2008-04-30,2008-06-05,0.49,0.49,0,0
58,2008-01-31,2008-03-06,0.45,0.45,0,0
59,2007-10-31,2007-12-11,0.54,0.68,-0.14,-20.5882
60,2007-07-31,2007-09-06,0.69,0.7,-0.01,-1.4286
61,2007-04-30,2007-06-05,0.41,0.6,-0.19,-31.6667
62,2007-01-31,2007-03-08,0.48,0.52,-0.04,-7.6923
63,2006-10-31,2006-12-12,0.61,0.79,-0.18,-22.7848
64,2006-07-31,2006-09-07,0.74,0.74,0,0
65,2006-04-30,2006-06-06,0.61,0.7,-0.09,-12.8571
66,2006-01-31,2006-03-07,0.49,0.64,-0.15,-23.4375
67,2005-10-31,2005-12-12,0.83,0.85,-0.02,-2.3529
68,2005-07-31,2005-09-07,0.87,0.85,0.02,2.3529
69,2005-04-30,2005-06-07,0.81,0.74,0.07,9.4595
70,2005-01-31,2005-03-09,0.58,0.54,0.04,7.4074
71,2004-10-31,2004-12-13,0.79,0.72,0.07,9.7222
72,2004-07-31,2004-08-31,0.7,0.68,0.02,2.9412
73,2004-04-30,2004-06-03,0.64,0.59,0.05,8.4746
74,2004-01-31,2004-03-02,0.55,0.53,0.02,3.7736
75,2003-10-31,2003-12-11,0.64,0.62,0.02,3.2258
76,2003-07-31,2003-09-03,0.58,0.54,0.04,7.4074
77,2003-04-30,2003-06-04,0.48,0.48,0,0
78,2003-01-31,2003-02-26,0.44,0.42,0.02,4.7619
79,2002-10-31,2002-12-12,0.52,0.51,0.01,1.9608
80,2002-07-31,2002-09-04,0.43,0.41,0.02,4.878
81,2002-04-30,2002-06-04,0.32,0.3,0.02,6.6667
82,2002-01-31,2002-02-27,0.31,0.28,0.03,10.7143
83,2001-10-31,2001-12-11,0.38,0.37,0.01,2.7027
84,2001-07-31,2001-08-29,0.34,0.33,0.01,3.0303
85,2001-04-30,2001-05-24,0.29,0.28,0.01,3.5714
86,2001-01-31,2001-02-28,0.22,0.21,0.01,4.7619
87,2000-10-31,2000-12-12,0.32,0.31,0.01,3.2258
88,2000-07-31,2000-08-30,0.28,0.28,0,0
89,2000-04-30,2000-05-25,0.24,0.23,0.01,4.3478
90,2000-01-31,2000-02-23,0.17,0.17,0,0
91,1999-10-31,1999-12-13,0.27,0.26,0.01,3.8462
92,1999-07-31,1999-08-26,0.23,0.22,0.01,4.5455
93,1999-04-30,1999-05-27,0.19,0.17,0.02,11.7647
94,1999-01-31,1999-02-23,0.09,0.09,0,0
95,1998-10-31,1998-12-14,0.35,0.34,0.01,2.9412
96,1998-07-31,1998-08-26,0.33,0.3,0.03,10
97,1998-04-30,1998-05-27,0.28,0.25,0.03,12
98,1998-01-31,1998-02-25,0.18,0.18,0,0
99,1997-10-31,1997-12-11,0.26,0.24,0.02,8.3333
100,1997-07-31,1997-08-28,0.2,0.2,0,0
