,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-07-31,2022-09-01,0.56,0.56,0,0
1,2022-04-30,2022-06-08,0.7,0.61,0.09,14.7541
2,2022-01-31,2022-03-09,0.69,0.69,0,0
3,2021-10-31,2021-12-08,0.89,0.81,0.08,9.8765
4,2021-07-31,2021-09-01,0.55,0.48,0.07,14.5833
5,2021-04-30,2021-06-09,0.57,0.66,-0.09,-13.6364
6,2021-01-31,2021-03-10,0.84,0.84,0,0
7,2020-10-31,2020-12-09,1.02,0.91,0.11,12.0879
8,2020-07-31,2020-09-03,0.63,0.6,0.03,5
9,2020-04-30,2020-06-03,0.83,0.75,0.08,10.6667
10,2020-01-31,2020-03-04,0.72,0.66,0.06,9.0909
11,2019-10-31,2019-12-04,0.78,0.71,0.07,9.8592
12,2019-07-31,2019-08-30,0.5,0.41,0.09,21.9512
13,2019-04-30,2019-06-05,0.56,0.47,0.09,19.1489
14,2019-01-31,2019-02-27,0.77,0.7,0.07,10
15,2018-10-31,2018-11-20,0.79,0.7,0.09,12.8571
16,2018-07-31,2018-08-30,0.25,0.24,0.01,4.1667
17,2018-04-30,2018-05-18,0.7,0.6,0.1,16.6667
18,2018-01-31,2018-02-16,1,0.81,0.19,23.4568
19,2017-10-31,2017-11-21,0.92,0.97,-0.05,-5.1546
20,2017-07-31,2017-08-31,0.52,0.55,-0.03,-5.4545
21,2017-04-30,2017-05-19,0.59,0.64,-0.05,-7.8125
22,2017-01-31,2017-02-17,0.91,0.88,0.03,3.4091
23,2016-10-31,2016-11-22,1,0.95,0.05,5.2632
24,2016-07-31,2016-09-01,0.46,0.5,-0.04,-8
25,2016-04-30,2016-05-20,0.65,0.64,0.01,1.5625
26,2016-01-31,2016-02-25,0.87,0.8,0.07,8.75
27,2015-10-31,2015-11-24,0.95,0.76,0.19,25
28,2015-07-31,2015-09-03,0.43,0.42,0.01,2.381
29,2015-04-30,2015-05-22,0.62,0.52,0.1,19.2308
30,2015-01-31,2015-02-25,0.66,0.66,0,0
31,2014-10-31,2014-11-25,0.74,0.72,0.02,2.7778
32,2014-07-31,2014-09-08,0.49,0.49,0,0
33,2014-04-30,2014-05-19,0.62,0.59,0.03,5.0847
34,2014-01-31,2014-02-14,0.76,0.73,0.03,4.1096
35,2013-10-31,2013-11-19,0.66,0.86,-0.2,-23.2558
36,2013-07-31,2013-08-29,0.45,0.42,0.03,7.1429
37,2013-04-30,2013-05-20,0.62,0.56,0.06,10.7143
38,2013-01-31,2013-02-15,0.7,0.66,0.04,6.0606
39,2012-10-31,2012-11-20,0.88,0.85,0.03,3.5294
40,2012-07-31,2012-09-04,0.41,0.38,0.03,7.8947
41,2012-04-30,2012-05-21,0.56,0.52,0.04,7.6923
42,2012-01-31,2012-02-17,0.64,0.62,0.02,3.2258
43,2011-10-31,2011-11-22,0.82,0.79,0.03,3.7975
44,2011-07-31,2011-09-02,0.43,0.38,0.05,13.1579
45,2011-04-30,2011-05-23,0.57,0.52,0.05,9.6154
46,2011-01-31,2011-02-18,0.71,0.71,0,0
47,2010-10-31,2010-11-23,0.82,0.83,-0.01,-1.2048
48,2010-07-31,2010-09-03,0.33,0.3,0.03,10
49,2010-04-30,2010-05-24,0.54,0.51,0.03,5.8824
50,2010-01-31,2010-02-22,0.74,0.74,0,0
51,2009-10-31,2009-11-23,0.87,0.81,0.06,7.4074
52,2009-07-31,2009-09-11,0.3,0.26,0.04,15.3846
53,2009-04-30,2009-05-21,0.48,0.42,0.06,14.2857
54,2009-01-31,2009-02-23,0.65,0.64,0.01,1.5625
55,2008-10-31,2008-11-24,0.77,0.76,0.01,1.3158
56,2008-07-31,2008-09-11,0.26,0.25,0.01,4
57,2008-04-30,2008-05-19,0.43,0.44,-0.01,-2.2727
58,2008-01-31,2008-02-15,0.69,0.7,-0.01,-1.4286
59,2007-10-31,2007-11-19,0.7,0.71,-0.01,-1.4085
60,2007-07-31,2007-09-06,0.14,0.18,-0.04,-22.2222
61,2007-04-30,2007-05-21,0.45,0.41,0.04,9.7561
62,2007-01-31,2007-02-16,0.68,0.63,0.05,7.9365
63,2006-10-31,2006-11-20,0.66,0.61,0.05,8.1967
64,2006-07-31,2006-09-11,0.23,0.22,0.01,4.5455
65,2006-04-30,2006-05-22,0.4,0.35,0.05,14.2857
66,2006-01-31,2006-02-17,0.61,0.59,0.02,3.3898
67,2005-10-31,2005-11-21,0.58,0.56,0.02,3.5714
68,2005-07-31,2005-09-12,0.23,0.21,0.02,9.5238
69,2005-04-30,2005-05-23,0.35,0.33,0.02,6.0606
70,2005-01-31,2005-02-18,0.57,0.59,-0.02,-3.3898
71,2004-10-31,2004-11-22,0.56,0.52,0.04,7.6923
72,2004-07-31,2004-09-13,0.17,0.18,-0.01,-5.5556
73,2004-04-30,2004-05-24,0.32,0.32,0,0
74,2004-01-31,2004-02-23,0.57,0.57,0,0
75,2003-10-31,2003-11-24,0.51,0.49,0.02,4.0816
76,2003-07-31,2003-09-11,0.18,0.17,0.01,5.8824
77,2003-04-30,2003-05-19,0.31,0.27,0.04,14.8148
78,2003-01-31,2003-02-13,0.56,0.55,0.01,1.8182
79,2002-10-31,2002-11-13,0.47,0.44,0.03,6.8182
80,2002-07-31,2002-09-05,0.14,0.14,0,0
81,2002-04-30,2002-05-15,0.23,0.23,0,0
82,2002-01-31,2002-02-13,0.5,0.49,0.01,2.0408
83,2001-10-31,2001-11-14,0.42,0.4,0.02,5
84,2001-07-31,2001-09-06,0.15,0.17,-0.02,-11.7647
85,2001-04-30,2001-05-16,0.3,0.3,0,0
86,2001-01-31,2001-02-14,0.65,0.64,0.01,1.5625
87,2000-10-31,2000-11-15,0.47,0.45,0.02,4.4444
88,2000-07-31,2000-09-07,0.14,0.15,-0.01,-6.6667
89,2000-04-30,2000-05-17,0.32,0.33,-0.01,-3.0303
90,2000-01-31,2000-02-16,0.65,0.62,0.03,4.8387
91,1999-10-31,1999-11-16,0.54,0.51,0.03,5.8824
92,1999-07-31,1999-09-02,0.28,0.29,-0.01,-3.4483
93,1999-04-30,1999-05-18,0.37,0.37,0,0
94,1999-01-31,1999-02-16,0.49,0.49,0,0
95,1998-10-31,1998-11-18,0.58,0.59,-0.01,-1.6949
96,1998-07-31,1998-09-03,0.38,0.38,0,0
97,1998-04-30,1998-05-19,0.34,0.36,-0.02,-5.5556
98,1998-01-31,1998-02-17,0.67,0.68,-0.01,-1.4706
99,1997-10-31,1997-11-18,0.58,0.58,0,0
100,1997-07-31,1997-09-08,0.42,0.39,0.03,7.6923
101,1997-04-30,1997-05-14,0.34,0.34,0,0
102,1997-01-31,1997-02-12,0.59,0.59,0,0
103,1996-10-31,1996-11-13,0.51,0.5,0.01,2
104,1996-07-31,1996-09-04,0.34,0.32,0.02,6.25
105,1996-04-30,1996-05-15,0.29,0.29,0,0
106,1996-01-31,1996-02-14,0.52,0.51,0.01,1.9608
