,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-16,0.51,0.56,-0.05,-8.9286
1,2022-07-31,2022-09-07,0.56,0.55,0.01,1.8182
2,2022-04-30,2022-05-18,0.59,0.57,0.02,3.5088
3,2022-01-31,2022-02-16,0.55,0.54,0.01,1.8519
4,2021-10-31,2021-11-17,0.54,0.51,0.03,5.8824
5,2021-07-31,2021-09-08,0.52,0.46,0.06,13.0435
6,2021-04-30,2021-05-19,0.55,0.4,0.15,37.5
7,2021-01-31,2021-02-18,0.4,0.4,0,0
8,2020-10-31,2020-11-18,0.4,0.36,0.04,11.1111
9,2020-07-31,2020-09-02,0.69,0.38,0.31,81.5789
10,2020-04-30,2020-05-20,0.58,0.64,-0.06,-9.375
11,2020-01-31,2020-02-19,0.65,0.66,-0.01,-1.5152
12,2019-10-31,2019-11-20,0.65,0.59,0.06,10.1695
13,2019-07-31,2019-09-04,0.6,0.58,0.02,3.4483
14,2019-04-30,2019-05-22,0.66,0.62,0.04,6.4516
15,2019-01-31,2019-02-20,0.52,0.51,0.01,1.9608
16,2018-10-31,2018-11-20,0.47,0.47,0,0
17,2018-07-31,2018-09-19,0.42,0.48,-0.06,-12.5
18,2018-04-30,2018-05-23,0.52,0.5,0.02,4
19,2018-01-31,2018-02-26,0.47,0.4,0.07,17.5
20,2017-10-31,2017-11-21,0.33,0.27,0.06,22.2222
21,2017-07-31,2017-09-19,0.35,0.29,0.06,20.6897
22,2017-04-30,2017-05-24,0.37,0.36,0.01,2.7778
23,2017-01-31,2017-02-21,0.29,0.29,0,0
24,2016-10-31,2016-11-21,0.28,0.28,0,0
25,2016-07-31,2016-09-20,0.31,0.27,0.04,14.8148
26,2016-04-30,2016-05-25,0.32,0.27,0.05,18.5185
27,2016-01-31,2016-02-23,0.24,0.22,0.02,9.0909
28,2015-10-31,2015-11-23,0.21,0.21,0,0
29,2015-07-31,2015-09-22,0.21,0.19,0.02,10.5263
30,2015-04-30,2015-05-27,0.22,0.25,-0.03,-12
31,2015-01-31,2015-02-24,0.4,0.4,0,0
32,2014-10-31,2014-11-24,0.4,0.37,0.03,8.1081
33,2014-07-31,2014-09-23,0.39,0.41,-0.02,-4.878
34,2014-04-30,2014-05-28,0.23,0.24,-0.01,-4.1667
35,2014-01-31,2014-02-25,0.18,0.18,0,0
36,2013-10-31,2013-11-25,0.17,0.17,0,0
37,2013-07-31,2013-09-24,0.16,0.2,-0.04,-20
38,2013-04-30,2013-05-30,0.21,0.25,-0.04,-16
39,2013-01-31,2013-02-27,0.19,0.18,0.01,5.5556
40,2012-10-31,2012-11-27,0.18,0.18,0,0
41,2012-07-31,2012-09-25,0.18,0.17,0.01,5.8824
42,2012-04-30,2012-05-29,0.22,0.22,0,0
43,2012-01-31,2012-02-28,0.18,0.15,0.03,20
44,2011-10-31,2011-11-28,0.16,0.15,0.01,6.6667
45,2011-07-31,2011-09-20,0.15,0.15,0,0
46,2011-04-30,2011-06-01,0.18,0.18,0,0
47,2011-01-31,2011-03-02,0.12,0.11,0.01,9.0909
48,2010-10-31,2010-11-30,0.11,0.11,0,0
49,2010-07-31,2010-09-22,0.11,0.12,-0.01,-8.3333
50,2010-04-30,2010-06-02,0.13,0.13,0,0
51,2010-01-31,2010-03-02,0.11,0.1,0.01,10
52,2009-10-31,2009-12-01,0.11,0.1,0.01,10
53,2009-07-31,2009-09-23,0.1,0.11,-0.01,-9.0909
54,2009-04-30,2009-06-03,0.12,0.12,0,0
55,2009-01-31,2009-03-04,0.09,0.09,0,0
56,2008-10-31,2008-12-03,0.11,0.11,0,0
57,2008-07-31,2008-09-24,0.12,0.11,0.01,9.0909
58,2008-04-30,2008-06-03,0.13,0.12,0.01,8.3333
59,2008-01-31,2008-03-06,0.09,0.1,-0.01,-10
60,2007-10-31,2007-12-04,0.1,0.1,0,0
61,2007-07-31,2007-09-26,0.1,0.09,0.01,11.1111
62,2007-04-30,2007-06-05,0.1,0.1,0,0
63,2007-01-31,2007-03-06,0.08,0.08,0,0
64,2006-10-31,2006-12-05,0.08,0.08,0,0
65,2006-07-31,2006-10-04,0.08,0.07,0.01,14.2857
66,2006-04-30,2006-05-31,0.09,0.09,0,0
67,2006-01-31,2006-03-07,0.07,0.07,0,0
68,2005-10-31,2005-12-02,0.06,0.07,-0.01,-14.2857
69,2005-07-31,2005-09-28,0.07,0.07,0,0
70,2005-04-30,2005-06-01,0.08,0.08,0,0
71,2005-01-31,2005-03-01,0.06,0.06,0,0
72,2004-10-31,2004-11-30,0.06,0.05,0.01,20
73,2004-07-31,2004-09-14,0.05,0.05,0,0
74,2004-04-30,2004-05-25,0.07,0.05,0.02,40
75,2004-01-31,2004-02-24,0.05,0.04,0.01,25
76,2003-10-31,2003-12-02,0.04,0.04,0,0
77,2003-07-31,2003-09-16,0.04,0.04,0,0
78,2003-04-30,2003-05-21,0.04,0.04,0,0
79,2003-01-31,2003-02-18,0.04,0.04,0,0
80,2002-10-31,2002-11-20,0.04,0.04,0,0
81,2002-07-31,2002-09-17,0.04,0.04,0,0
82,2002-04-30,2002-05-21,0.05,0.04,0.01,25
83,2002-01-31,2002-02-25,0.04,0.04,0,0
84,2001-10-31,2001-11-26,0.04,0.03,0.01,33.3333
85,2001-07-31,2001-09-17,0.04,0.03,0.01,33.3333
86,2001-04-30,2001-05-29,0.04,0.03,0.01,33.3333
87,2001-01-31,2001-02-26,0.03,0.03,0,0
88,2000-10-31,2000-11-27,0.03,0.03,0,0
89,2000-07-31,2000-09-18,0.03,0.02,0.01,50
90,2000-04-30,2000-05-30,0.03,0.02,0.01,50
91,2000-01-31,2000-02-28,0.02,0.02,0,0
92,1999-10-31,1999-11-29,0.02,0.02,0,0
93,1999-07-31,1999-09-21,0.02,0.02,0,0
94,1999-04-30,1999-06-01,0.02,0.02,0,0
95,1999-01-31,1999-03-02,0.02,0.01,0.01,100
96,1998-10-31,1998-12-01,0.01,0.01,0,0
97,1998-07-31,1998-09-21,0.01,0.01,0,0
98,1998-04-30,1998-06-08,0.01,0.01,0,0
99,1998-01-31,1998-03-02,0.01,0.01,0,0
100,1997-07-31,1997-10-07,0.01,0.01,0,0
101,1997-04-30,1997-06-02,0.01,0.01,0,0
102,1997-01-31,1997-03-11,0.01,0.01,0,0
103,1996-10-31,1996-12-10,0.01,0.01,0,0
104,1996-07-31,1996-10-08,0.01,0.01,0,0
105,1996-04-30,1996-06-04,0.01,0.01,0,0
106,1996-01-31,1996-03-12,0.01,0.01,0,0
