,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-20,0.51,0.49,0.02,4.0816
1,2022-06-30,2022-07-20,0.5,0.47,0.03,6.383
2,2022-03-31,2022-04-20,0.39,0.37,0.02,5.4054
3,2021-12-31,2022-01-20,0.42,0.41,0.01,2.439
4,2021-09-30,2021-10-20,0.43,0.38,0.05,13.1579
5,2021-06-30,2021-07-21,0.39,0.37,0.02,5.4054
6,2021-03-31,2021-04-20,0.31,0.32,-0.01,-3.125
7,2020-12-31,2021-01-21,0.35,0.34,0.01,2.9412
8,2020-09-30,2020-10-21,0.32,0.31,0.01,3.2258
9,2020-06-30,2020-07-22,0.22,0.21,0.01,4.7619
10,2020-03-31,2020-04-22,0.33,0.31,0.02,6.4516
11,2019-12-31,2020-01-16,0.33,0.32,0.01,3.125
12,2019-09-30,2019-10-16,0.36,0.34,0.02,5.8824
13,2019-06-30,2019-07-16,0.36,0.37,-0.01,-2.7027
14,2019-03-31,2019-04-16,1.02,0.91,0.11,12.0879
15,2018-12-31,2019-01-16,1.01,0.99,0.02,2.0202
16,2018-09-30,2018-10-16,1.05,0.95,0.1,10.5263
17,2018-06-30,2018-07-17,1.01,0.87,0.14,16.092
18,2018-03-31,2018-04-17,0.78,0.66,0.12,18.1818
19,2017-12-31,2018-01-16,0.64,0.56,0.08,14.2857
20,2017-09-30,2017-10-17,0.51,0.51,0,0
21,2017-06-30,2017-07-18,0.64,0.59,0.05,8.4746
22,2017-03-31,2017-04-19,0.51,0.43,0.08,18.6047
23,2016-12-31,2017-01-17,0.49,0.5,-0.01,-2
24,2016-09-30,2016-10-12,0.48,0.45,0.03,6.6667
25,2016-06-30,2016-07-13,0.47,0.44,0.03,6.8182
26,2016-03-31,2016-04-12,0.37,0.37,0,0
27,2015-12-31,2016-01-12,0.48,0.46,0.02,4.3478
28,2015-09-30,2015-10-13,0.52,0.5,0.02,4
29,2015-06-30,2015-07-14,0.56,0.53,0.03,5.6604
30,2015-03-31,2015-04-14,0.45,0.44,0.01,2.2727
31,2014-12-31,2015-01-13,0.49,0.49,0,0
32,2014-09-30,2014-10-14,0.51,0.48,0.03,6.25
33,2014-06-30,2014-07-15,0.53,0.52,0.01,1.9231
34,2014-03-31,2014-04-15,0.4,0.37,0.03,8.1081
35,2013-12-31,2014-01-15,0.42,0.43,-0.01,-2.3256
36,2013-09-30,2013-10-15,0.46,0.43,0.03,6.9767
37,2013-06-30,2013-07-16,0.52,0.47,0.05,10.6383
38,2013-03-31,2013-04-16,0.45,0.4,0.05,12.5
39,2012-12-31,2013-01-22,0.4,0.39,0.01,2.5641
40,2012-09-30,2012-10-16,0.44,0.43,0.01,2.3256
41,2012-06-30,2012-07-17,0.49,0.47,0.02,4.2553
42,2012-03-31,2012-04-17,0.43,0.38,0.05,13.1579
43,2011-12-31,2012-01-23,0.43,0.44,-0.01,-2.2727
44,2011-09-30,2011-10-18,0.43,0.43,0,0
45,2011-06-30,2011-07-19,0.46,0.44,0.02,4.5455
46,2011-03-31,2011-04-19,0.35,0.35,0,0
47,2010-12-31,2011-01-24,0.38,0.37,0.01,2.7027
48,2010-09-30,2010-10-12,0.36,0.35,0.01,2.8571
49,2010-06-30,2010-07-12,0.36,0.33,0.03,9.0909
50,2010-03-31,2010-04-13,0.26,0.23,0.03,13.0435
51,2009-12-31,2010-01-19,0.26,0.25,0.01,4
52,2009-09-30,2009-10-13,0.25,0.24,0.01,4.1667
53,2009-06-30,2009-07-13,0.24,0.21,0.03,14.2857
54,2009-03-31,2009-04-14,0.21,0.17,0.04,23.5294
55,2008-12-31,2009-01-20,0.3,0.3,0,0
56,2008-09-30,2008-10-14,0.31,0.31,0,0
57,2008-06-30,2008-07-15,0.3,0.3,0,0
58,2008-03-31,2008-04-15,0.27,0.25,0.02,8
