,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,-0.12,-0.23,0.11,47.8261
1,2022-06-30,2022-08-04,1.64,1.46,0.18,12.3288
2,2022-03-31,2022-05-04,0.97,0.82,0.15,18.2927
3,2021-12-31,2022-02-02,0.08,0.09,-0.01,-11.1111
4,2021-09-30,2021-11-03,-0.14,-0.31,0.17,54.8387
5,2021-06-30,2021-08-05,1.4,1.26,0.14,11.1111
6,2021-03-31,2021-05-04,0.79,0.65,0.14,21.5385
7,2020-12-31,2021-02-03,0.04,-0.05,0.09,180
8,2020-09-30,2020-11-04,-0.39,-0.42,0.03,7.1429
9,2020-06-30,2020-08-05,1.26,1.24,0.02,1.6129
10,2020-03-31,2020-05-06,0.59,0.4,0.19,47.5
11,2019-12-31,2020-01-30,0.07,-0.12,0.19,158.3333
12,2019-09-30,2019-10-31,-0.39,-0.46,0.07,15.2174
13,2019-06-30,2019-08-01,1.42,1,0.42,42
14,2019-03-31,2019-05-31,0.33,0.35,-0.02,-5.7143
15,2018-12-31,2019-03-19,-0.1468,0,-0.1468,None
16,2018-09-30,2018-10-18,1.1,0,1.1,None
