,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,2.09,1.99,0.1,5.0251
1,2022-06-30,2022-08-03,2.4,2.17,0.23,10.5991
2,2022-03-31,2022-05-04,2.22,2.15,0.07,3.2558
3,2021-12-31,2022-02-09,1.98,1.93,0.05,2.5907
4,2021-09-30,2021-11-03,1.97,1.78,0.19,10.6742
5,2021-06-30,2021-08-04,2.42,2.06,0.36,17.4757
6,2021-03-31,2021-05-04,2.04,1.72,0.32,18.6047
7,2020-12-31,2021-02-16,1.3,1.24,0.06,4.8387
8,2020-09-30,2020-11-06,1.66,1.33,0.33,24.812
9,2020-06-30,2020-08-05,2.64,1.93,0.71,36.7876
10,2020-03-31,2020-05-06,1.91,1.63,0.28,17.1779
11,2019-12-31,2020-02-12,1.73,1.68,0.05,2.9762
12,2019-09-30,2019-11-06,1.84,1.77,0.07,3.9548
13,2019-06-30,2019-08-07,1.89,1.69,0.2,11.8343
14,2019-03-31,2019-05-01,1.62,1.5,0.12,8
15,2018-12-31,2019-02-20,2.14,2.05,0.09,4.3902
16,2018-09-30,2018-11-06,1.73,1.71,0.02,1.1696
17,2018-06-30,2018-08-08,1.69,1.61,0.08,4.9689
18,2018-03-31,2018-05-02,1.48,1.41,0.07,4.9645
19,2017-12-31,2018-02-08,1.92,1.89,0.03,1.5873
20,2017-09-30,2017-11-06,1.5,1.49,0.01,0.6711
21,2017-06-30,2017-08-08,1.33,1.31,0.02,1.5267
22,2017-03-31,2017-05-02,1.17,1.1,0.07,6.3636
23,2016-12-31,2017-02-09,1.71,1.67,0.04,2.3952
24,2016-09-30,2016-11-08,1.64,1.57,0.07,4.4586
25,2016-06-30,2016-08-02,1.32,1.3,0.02,1.5385
26,2016-03-31,2016-05-03,1.18,1.16,0.02,1.7241
27,2015-12-31,2016-02-09,1.53,1.53,0,0
28,2015-09-30,2015-10-30,1.28,1.29,-0.01,-0.7752
29,2015-06-30,2015-08-04,1.22,1.2,0.02,1.6667
30,2015-03-31,2015-05-01,1.14,1.08,0.06,5.5556
31,2014-12-31,2015-02-10,1.21,1.2,0.01,0.8333
32,2014-09-30,2014-11-04,1.15,1.13,0.02,1.7699
33,2014-06-30,2014-08-05,1.13,1.1,0.03,2.7273
34,2014-03-31,2014-05-02,1.02,1.04,-0.02,-1.9231
35,2013-12-31,2014-02-11,1.12,1.11,0.01,0.9009
36,2013-09-30,2013-11-05,1.05,1.02,0.03,2.9412
37,2013-06-30,2013-08-06,0.97,0.96,0.01,1.0417
38,2013-03-31,2013-05-01,0.83,0.79,0.04,5.0633
39,2012-12-31,2013-02-06,1.14,1.1,0.04,3.6364
40,2012-09-30,2012-11-06,0.85,0.84,0.01,1.1905
41,2012-06-30,2012-08-07,0.81,0.8,0.01,1.25
42,2012-03-31,2012-05-02,0.65,0.63,0.02,3.1746
43,2011-12-31,2012-02-08,0.89,0.89,0,0
44,2011-09-30,2011-11-03,0.7,0.68,0.02,2.9412
45,2011-06-30,2011-08-04,0.65,0.64,0.01,1.5625
46,2011-03-31,2011-05-05,0.57,0.55,0.02,3.6364
47,2010-12-31,2011-02-03,0.8,0.79,0.01,1.2658
48,2010-09-30,2010-11-03,0.65,0.65,0,0
49,2010-06-30,2010-07-28,0.65,0.68,-0.03,-4.4118
50,2010-03-31,2010-05-04,0.6,0.58,0.02,3.4483
51,2009-12-31,2010-02-08,0.79,0.78,0.01,1.2821
52,2009-09-30,2009-11-05,0.65,0.64,0.01,1.5625
53,2009-06-30,2009-08-04,0.65,0.64,0.01,1.5625
54,2009-03-31,2009-05-05,0.55,0.54,0.01,1.8519
55,2008-12-31,2009-02-19,0.7,0.69,0.01,1.4493
56,2008-09-30,2008-10-30,0.6,0.6,0,0
57,2008-06-30,2008-07-31,0.6,0.6,0,0
58,2008-03-31,2008-05-01,0.55,0.55,0,0
59,2007-12-31,2008-01-31,0.55,0.55,0,0
60,2007-09-30,2007-11-01,0.45,0.44,0.01,2.2727
61,2007-06-30,2007-08-02,0.47,0.46,0.01,2.1739
62,2007-03-31,2007-05-08,0.43,0.45,-0.02,-4.4444
63,2006-12-31,2007-02-01,0.45,0.44,0.01,2.2727
64,2006-09-30,2006-11-01,0.33,0.32,0.01,3.125
65,2006-06-30,2006-08-03,0.4,0.37,0.03,8.1081
66,2006-03-31,2006-05-04,0.39,0.38,0.01,2.6316
67,2005-12-31,2006-02-02,0.41,0.4,0.01,2.5
68,2005-09-30,2005-11-03,0.3,0.3,0,0
69,2005-06-30,2005-08-03,0.33,0.31,0.02,6.4516
70,2005-03-31,2005-05-05,0.35,0.34,0.01,2.9412
71,2004-12-31,2005-02-02,0.28,0.27,0.01,3.7037
72,2004-09-30,2004-11-04,0.22,0.21,0.01,4.7619
73,2004-06-30,2004-08-04,0.28,0.27,0.01,3.7037
74,2004-03-31,2004-05-05,0.3,0.28,0.02,7.1429
75,2003-12-31,2004-02-12,0.32,0.29,0.03,10.3448
76,2003-09-30,2003-10-29,0.23,0.23,0,0
77,2003-06-30,2003-07-30,0.25,0.24,0.01,4.1667
78,2003-03-31,2003-05-06,0.24,0.24,0,0
79,2002-12-31,2003-02-04,0.25,0.23,0.02,8.6957
80,2002-09-30,2002-10-30,0.2,0.19,0.01,5.2632
81,2002-06-30,2002-07-31,0.22,0.21,0.01,4.7619
82,2002-03-31,2002-05-08,0.22,0.21,0.01,4.7619
83,2001-12-31,2002-02-05,0.12,0.12,0,0
84,2001-09-30,2001-10-30,0.15,0.15,0,0
85,2001-06-30,2001-07-31,0.24,0.24,0,0
86,2001-03-31,2001-05-02,0.27,0.27,0,0
87,2000-12-31,2001-02-06,0.26,0.26,0,0
88,2000-09-30,2000-10-30,0.18,0.18,0,0
89,2000-06-30,2000-08-01,0.23,0.23,0,0
90,2000-03-31,2000-05-09,0.24,0.23,0.01,4.3478
91,1999-12-31,2000-02-08,0.23,0.22,0.01,4.5455
92,1999-09-30,1999-10-27,0.15,0.15,0,0
93,1999-06-30,1999-07-28,0.2,0.19,0.01,5.2632
94,1999-03-31,1999-04-28,0.21,0.19,0.02,10.5263
95,1998-12-31,1999-01-28,0.18,0.18,0,0
