,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-13,1.51,1.53,-0.02,-1.3072
1,2022-06-30,2022-07-13,1.44,1.73,-0.29,-16.763
2,2022-03-31,2022-04-13,-1.23,-1.27,0.04,3.1496
3,2021-12-31,2022-01-13,0.22,0.14,0.08,57.1429
4,2021-09-30,2021-10-13,0.3,0.17,0.13,76.4706
5,2021-06-30,2021-07-14,-1.07,-1.38,0.31,22.4638
6,2021-03-31,2021-04-15,-3.55,-3.17,-0.38,-11.9874
7,2020-12-31,2021-01-14,-2.53,-2.5,-0.03,-1.2
8,2020-09-30,2020-10-13,-3.3,-3,-0.3,-10
9,2020-06-30,2020-07-14,-4.43,-4.07,-0.36,-8.8452
10,2020-03-31,2020-04-22,-0.51,-0.7,0.19,27.1429
11,2019-12-31,2020-01-14,1.7,1.4,0.3,21.4286
12,2019-09-30,2019-10-10,2.32,2.26,0.06,2.6549
13,2019-06-30,2019-07-11,2.35,2.29,0.06,2.6201
14,2019-03-31,2019-04-10,0.96,0.9,0.06,6.6667
15,2018-12-31,2019-01-15,1.3,1.27,0.03,2.3622
16,2018-09-30,2018-10-11,1.8,1.74,0.06,3.4483
17,2018-06-30,2018-07-12,1.77,1.72,0.05,2.907
18,2018-03-31,2018-04-12,0.74,0.73,0.01,1.3699
19,2017-12-31,2018-01-11,0.96,0.88,0.08,9.0909
20,2017-09-30,2017-10-11,1.57,1.53,0.04,2.6144
21,2017-06-30,2017-07-13,1.64,1.67,-0.03,-1.7964
22,2017-03-31,2017-04-12,0.77,0.75,0.02,2.6667
23,2016-12-31,2017-01-12,0.82,0.82,0,0
24,2016-09-30,2016-10-13,1.7,1.65,0.05,3.0303
25,2016-06-30,2016-07-14,1.47,1.42,0.05,3.5211
26,2016-03-31,2016-04-14,1.32,1.3,0.02,1.5385
27,2015-12-31,2016-01-19,1.18,1.19,-0.01,-0.8403
28,2015-09-30,2015-10-14,1.74,1.71,0.03,1.7544
29,2015-06-30,2015-07-15,1.27,1.21,0.06,4.9587
30,2015-03-31,2015-04-15,0.45,0.44,0.01,2.2727
31,2014-12-31,2015-01-20,0.78,0.77,0.01,1.2987
32,2014-09-30,2014-10-16,1.2,1.18,0.02,1.6949
33,2014-06-30,2014-07-23,1.04,1.03,0.01,0.9709
34,2014-03-31,2014-04-23,0.33,0.29,0.04,13.7931
35,2013-12-31,2014-01-21,0.65,0.63,0.02,3.1746
36,2013-09-30,2013-10-22,1.41,1.36,0.05,3.6765
37,2013-06-30,2013-07-24,0.98,0.95,0.03,3.1579
38,2013-03-31,2013-04-23,0.1,0.06,0.04,66.6667
39,2012-12-31,2013-01-22,0.28,0.28,0,0
40,2012-09-30,2012-10-24,0.9,0.91,-0.01,-1.0989
41,2012-06-30,2012-07-25,0.69,0.68,0.01,1.4706
42,2012-03-31,2012-04-25,-0.05,-0.05,0,0
43,2011-12-31,2012-01-25,0.45,0.38,0.07,18.4211
44,2011-09-30,2011-10-25,0.91,0.93,-0.02,-2.1505
45,2011-06-30,2011-07-27,0.43,0.44,-0.01,-2.2727
46,2011-03-31,2011-04-26,-0.38,-0.5,0.12,24
47,2010-12-31,2011-01-18,0.19,0.24,-0.05,-20.8333
48,2010-09-30,2010-10-20,1.1,0.94,0.16,17.0213
49,2010-06-30,2010-07-19,0.65,0.64,0.01,1.5625
50,2010-03-31,2010-04-20,-0.23,-0.23,0,0
51,2009-12-31,2010-01-26,-0.27,-0.24,-0.03,-12.5
52,2009-09-30,2009-10-22,0.06,-0.05,0.11,220
53,2009-06-30,2009-07-22,-0.24,-0.29,0.05,17.2414
54,2009-03-31,2009-04-21,-0.84,-1.01,0.17,16.8317
55,2008-12-31,2009-01-27,-0.5,-0.34,-0.16,-47.0588
56,2008-09-30,2008-10-15,-0.07,None,None,None
57,2008-06-30,2008-07-16,0.35,0.1,0.25,250
58,2008-03-31,2008-04-23,-0.69,-0.51,-0.18,-35.2941
59,2007-12-31,2008-01-23,-0.18,-0.18,0,0
60,2007-09-30,2007-10-16,0.56,0.42,0.14,33.3333
61,2007-06-30,2007-07-18,0.7,0.59,0.11,18.6441
62,2007-03-31,2007-04-27,-0.6589,None,None,None
63,2006-12-31,2007-02-15,-1.22,-1.03,-0.19,-18.4466
64,2006-09-30,2006-11-13,-0.23,-1.57,1.34,85.3503
65,2006-06-30,2006-08-11,-11.17,-2.65,-8.52,-321.5094
66,2006-03-31,2006-05-11,-10.94,-2.15,-8.79,-408.8372
67,2005-12-31,2006-02-14,-4.13,-3.32,-0.81,-24.3976
68,2005-09-30,2005-11-10,-2.62,-3,0.38,12.6667
69,2005-06-30,2005-07-21,-2.11,-2.37,0.26,10.9705
70,2005-03-31,2005-04-21,-4.89,-4.76,-0.13,-2.7311
71,2004-12-31,2005-01-20,-5.88,-5.51,-0.37,-6.7151
72,2004-09-30,2004-10-20,-4.73,-4.38,-0.35,-7.9909
73,2004-06-30,2004-07-19,-2.55,-2.46,-0.09,-3.6585
74,2004-03-31,2004-04-14,-3.12,-3.02,-0.1,-3.3113
75,2003-12-31,2004-01-14,-1.71,-1.65,-0.06,-3.6364
76,2003-09-30,2003-10-14,-1.43,-1.46,0.03,2.0548
77,2003-06-30,2003-07-17,-1.95,-2.08,0.13,6.25
78,2003-03-31,2003-04-17,-3.49,-3.51,0.02,0.5698
79,2002-12-31,2003-01-16,-1.9,-2.29,0.39,17.0306
80,2002-09-30,2002-10-15,-1.75,-1.84,0.09,4.8913
81,2002-06-30,2002-07-18,-1.34,-1.39,0.05,3.5971
