,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-08,0.82,0.8012,0.0188,2.3465
1,2022-06-30,2022-08-02,0.88,0.7513,0.1287,17.1303
2,2022-03-31,2022-05-03,0.82,0.6678,0.1522,22.7913
3,2021-12-31,2022-02-08,1.08,0.9924,0.0876,8.8271
4,2021-09-30,2021-11-02,1.15,1.12,0.03,2.6786
5,2021-06-30,2021-08-03,1.13,0.944,0.186,19.7034
6,2021-03-31,2021-05-04,0.91,0.7497,0.1603,21.3819
7,2020-12-31,2021-02-09,0.95,0.8535,0.0965,11.3064
8,2020-09-30,2020-10-29,0.88,0.7452,0.1348,18.0891
9,2020-06-30,2020-07-30,0.7,0.6,0.1,16.6667
10,2020-03-31,2020-05-05,0.84,0.73,0.11,15.0685
11,2019-12-31,2020-01-30,0.95,0.95,0,0
12,2019-09-30,2019-10-31,0.96,0.94,0.02,2.1277
13,2019-06-30,2019-08-01,0.97,0.89,0.08,8.9888
14,2019-03-31,2019-05-02,1.78,1.33,0.45,33.8346
15,2018-12-31,2019-01-31,1.25,0.87,0.38,43.6782
16,2018-09-30,2018-11-01,1.05,0.71,0.34,47.8873
17,2018-06-30,2018-08-02,1.95,1.29,0.66,51.1628
18,2018-03-31,2018-05-03,1.59,1.1,0.49,44.5455
19,2017-12-31,2018-02-01,1.18,1.99,-0.81,-40.7035
20,2017-09-30,2017-11-02,0.7825,1.25,-0.4675,-37.4
21,2017-06-30,2017-07-27,1.54,0.4,1.14,285
22,2017-03-31,2017-04-25,1.64,1.28,0.36,28.125
23,2016-12-31,2017-01-24,0.51,1.39,-0.88,-63.3094
24,2016-09-30,2016-10-25,0.34,0.42,-0.08,-19.0476
25,2016-06-30,2016-07-26,1.24,0.21,1.03,490.4762
26,2016-03-31,2016-04-26,1.26,1.1,0.16,14.5455
27,2015-12-31,2016-01-26,1.26,1.04,0.22,21.1538
28,2015-09-30,2015-10-27,0.13,0.25,-0.12,-48
29,2015-06-30,2015-07-28,1.18,0.13,1.05,807.6923
30,2015-03-31,2015-04-21,1.34,1.19,0.15,12.605
31,2014-12-31,2015-01-27,0.71,1.31,-0.6,-45.8015
32,2014-09-30,2014-10-28,0.71,0.71,0,0
33,2014-06-30,2014-07-23,2.1988,None,None,None
34,2014-03-31,2014-04-23,2.3748,None,None,None
35,2013-12-31,2014-01-28,0.59,0.53,0.06,11.3208
36,2013-09-30,2013-10-24,1.4797,None,None,None
37,2013-06-30,2013-07-25,5.6008,None,None,None
38,2013-03-31,2013-04-25,1.3767,None,None,None
39,2012-12-31,2013-01-31,-1.822,None,None,None
40,2012-09-30,2012-10-24,1.2514,None,None,None
41,2012-06-30,2012-07-26,1.6395,None,None,None
42,2012-03-31,2012-04-26,1.0473,None,None,None
43,2011-12-31,2012-02-02,-0.0492,None,None,None
44,2011-09-30,2011-10-27,2.0777,None,None,None
45,2011-06-30,2011-07-27,2.5067,None,None,None
46,2011-03-31,2011-04-28,1.6147,None,None,None
47,2010-12-31,2011-02-03,1.1081,None,None,None
48,2010-09-30,2010-10-28,1.3409,None,None,None
49,2010-06-30,2010-08-03,1.4874,None,None,None
50,2010-03-31,2010-04-28,1.2286,None,None,None
51,2009-12-31,2010-02-02,0.2315,None,None,None
52,2009-09-30,2009-10-22,1.9033,None,None,None
53,2009-06-30,2009-07-30,-1.408,None,None,None
54,2009-03-31,2009-04-30,0.0773,None,None,None
55,2008-12-31,2009-02-03,-5,None,None,None
56,2008-09-30,2008-10-23,1.3747,None,None,None
57,2008-06-30,2008-07-24,2.4335,None,None,None
58,2008-03-31,2008-04-24,2.9666,None,None,None
59,2007-12-31,2008-01-29,1.4789,None,None,None
60,2007-09-30,2007-10-25,1.2574,None,None,None
61,2007-06-30,2007-07-26,3.22,None,None,None
62,2007-03-31,2007-04-26,2.9911,None,None,None
63,2006-12-31,2007-01-25,3.012,None,None,None
64,2006-09-30,2006-10-26,1.5837,None,None,None
65,2006-06-30,2006-07-27,3.1458,None,None,None
66,2006-03-31,2006-04-27,3.7137,None,None,None
67,2005-12-31,2006-01-26,3.3507,None,None,None
68,2005-09-30,2005-10-27,2.4561,None,None,None
69,2005-06-30,2005-07-28,3.8875,None,None,None
70,2005-03-31,2005-04-28,4.1772,None,None,None
71,2004-12-31,2005-01-27,3.192,None,None,None
72,2004-09-30,2004-10-28,1.9456,None,None,None
73,2004-06-30,2004-07-29,2.168,None,None,None
74,2004-03-31,2004-04-29,1.4917,None,None,None
75,2003-12-31,2004-01-29,2.9849,None,None,None
76,2003-09-30,2003-10-23,1.075,None,None,None
77,2003-06-30,2003-07-24,1.2789,None,None,None
78,2003-03-31,2003-04-24,0.2484,None,None,None
79,2002-12-31,2003-01-30,-2.67,None,None,None
80,2002-09-30,2002-10-24,0.4183,None,None,None
81,2002-06-30,2002-07-25,0.7767,None,None,None
82,2002-03-31,2002-04-25,0.3442,None,None,None
83,2001-12-31,2002-01-31,-0.12,None,None,None
84,2001-09-30,2001-10-25,0.1872,None,None,None
85,2001-06-30,2001-06-30,0.9203,None,None,None
86,2001-03-31,2001-03-31,-2.2882,None,None,None
87,2000-12-31,2000-12-31,1.0675,None,None,None
88,2000-09-30,2000-09-30,1.4439,None,None,None
89,2000-06-30,2000-06-30,2.3117,None,None,None
90,2000-03-31,2000-03-31,1.825,None,None,None
91,1999-12-31,1999-12-31,1.2123,None,None,None
92,1999-09-30,1999-09-30,1.4286,None,None,None
93,1999-06-30,1999-06-30,1.8214,None,None,None
94,1999-03-31,1999-03-31,1.4688,None,None,None
95,1998-12-31,1998-12-31,0.6771,None,None,None
96,1998-09-30,1998-09-30,1.41,None,None,None
97,1998-06-30,1998-06-30,1.8906,None,None,None
98,1998-03-31,1998-03-31,1.867,None,None,None
