,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-20,2.36,2.19,0.17,7.7626
1,2022-06-30,2022-07-21,2.36,2.29,0.07,3.0568
2,2022-03-31,2022-04-21,3.22,2.98,0.24,8.0537
3,2021-12-31,2022-02-03,3.33,3.18,0.15,4.717
4,2021-09-30,2021-10-21,3.96,2.88,1.08,37.5
5,2021-06-30,2021-07-22,3.18,2.87,0.31,10.8014
6,2021-03-31,2021-04-22,3.76,3.71,0.05,1.3477
7,2020-12-31,2021-02-04,4.48,4.24,0.24,5.6604
8,2020-09-30,2020-10-22,4.31,3.73,0.58,15.5496
9,2020-06-30,2020-07-23,1.42,1.41,0.01,0.7092
10,2020-03-31,2020-04-22,0.94,0.89,0.05,5.618
11,2019-12-31,2020-01-30,1.67,1.6,0.07,4.375
12,2019-09-30,2019-10-22,1.76,1.71,0.05,2.924
13,2019-06-30,2019-07-23,1.73,1.68,0.05,2.9762
14,2019-03-31,2019-04-23,1.4,1.36,0.04,2.9412
15,2018-12-31,2019-02-14,1.36,1.37,-0.01,-0.7299
16,2018-09-30,2018-10-23,1.68,1.68,0,0
17,2018-06-30,2018-07-24,1.75,1.76,-0.01,-0.5682
18,2018-03-31,2018-04-19,1.52,1.49,0.03,2.0134
19,2017-12-31,2018-02-01,1.4,1.38,0.02,1.4493
20,2017-09-30,2017-10-19,1.39,1.35,0.04,2.963
21,2017-06-30,2017-07-25,1.55,1.42,0.13,9.1549
22,2017-03-31,2017-04-20,1.33,1.18,0.15,12.7119
23,2016-12-31,2017-01-26,1.31,1.27,0.04,3.1496
24,2016-09-30,2016-10-20,1.37,1.35,0.02,1.4815
25,2016-06-30,2016-07-21,1.34,1.32,0.02,1.5152
26,2016-03-31,2016-04-21,1.12,1.12,0,0
27,2015-12-31,2016-01-28,1.19,1.19,0,0
28,2015-09-30,2015-10-22,1.28,1.26,0.02,1.5873
29,2015-06-30,2015-07-23,1.25,1.23,0.02,1.626
30,2015-03-31,2015-04-23,1.05,1.04,0.01,0.9615
31,2014-12-31,2015-01-29,1.08,1.04,0.04,3.8462
32,2014-09-30,2014-10-23,1.1,1.08,0.02,1.8519
33,2014-06-30,2014-07-24,1.08,1.06,0.02,1.8868
34,2014-03-31,2014-04-24,0.84,0.88,-0.04,-4.5455
35,2013-12-31,2014-01-30,1.03,0.93,0.1,10.7527
36,2013-09-30,2013-10-17,1.02,1.2,-0.18,-15
37,2013-06-30,2013-07-18,1.06,1.09,-0.03,-2.7523
38,2013-03-31,2013-04-17,0.89,1.03,-0.14,-13.5922
39,2012-12-31,2013-01-23,1.01,1.02,-0.01,-0.9804
40,2012-09-30,2012-10-17,1.18,1.18,0,0
41,2012-06-30,2012-07-19,1.17,1.17,0,0
42,2012-03-31,2012-04-18,1.07,1.01,0.06,5.9406
43,2011-12-31,2012-01-24,1.23,1.06,0.17,16.0377
44,2011-09-30,2011-10-25,1.13,1.11,0.02,1.8018
45,2011-06-30,2011-07-20,1.12,1.12,0,0
46,2011-03-31,2011-04-20,0.93,1,-0.07,-7
47,2010-12-31,2011-01-25,0.98,0.91,0.07,7.6923
48,2010-09-30,2010-10-20,1.05,1,0.05,5
49,2010-06-30,2010-07-21,1.07,1.06,0.01,0.9434
50,2010-03-31,2010-04-21,0.95,0.98,-0.03,-3.0612
