,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-08,0.3,0.55,-0.25,-45.4545
1,2022-06-30,2022-08-10,1.09,0.96,0.13,13.5417
2,2022-03-31,2022-05-11,1.08,1.19,-0.11,-9.2437
3,2021-12-31,2022-02-09,1.06,0.63,0.43,68.254
4,2021-09-30,2021-11-10,0.37,0.51,-0.14,-27.451
5,2021-06-30,2021-08-12,0.8,0.55,0.25,45.4545
6,2021-03-31,2021-05-13,0.79,0.27,0.52,192.5926
7,2020-12-31,2021-02-11,0.32,-0.41,0.73,178.0488
8,2020-09-30,2020-11-12,-0.2,-0.7,0.5,71.4286
9,2020-06-30,2020-08-04,0.08,-0.64,0.72,112.5
10,2020-03-31,2020-05-05,0.6,0.89,-0.29,-32.5843
11,2019-12-31,2020-02-04,1.53,1.44,0.09,6.25
12,2019-09-30,2019-11-07,1.07,0.95,0.12,12.6316
13,2019-06-30,2019-08-06,1.35,1.75,-0.4,-22.8571
14,2019-03-31,2019-05-08,1.61,1.58,0.03,1.8987
15,2018-12-31,2019-02-05,1.84,1.55,0.29,18.7097
16,2018-09-30,2018-11-08,1.48,1.34,0.14,10.4478
17,2018-06-30,2018-08-07,1.87,1.95,-0.08,-4.1026
18,2018-03-31,2018-05-08,1.84,1.7,0.14,8.2353
19,2017-12-31,2018-02-06,1.89,1.61,0.28,17.3913
20,2017-09-30,2017-11-09,1.07,1.13,-0.06,-5.3097
21,2017-06-30,2017-08-08,1.58,1.55,0.03,1.9355
22,2017-03-31,2017-05-09,1.5,1.41,0.09,6.383
23,2016-12-31,2017-02-07,1.55,1.49,0.06,4.0268
24,2016-09-30,2016-11-10,1.1,1.16,-0.06,-5.1724
25,2016-06-30,2016-08-09,1.62,1.61,0.01,0.6211
26,2016-03-31,2016-05-10,1.36,1.4,-0.04,-2.8571
27,2015-12-31,2016-02-09,1.63,1.45,0.18,12.4138
28,2015-09-30,2015-11-05,1.2,1.14,0.06,5.2632
29,2015-06-30,2015-08-04,1.45,1.42,0.03,2.1127
30,2015-03-31,2015-05-05,1.23,1.11,0.12,10.8108
31,2014-12-31,2015-02-03,1.27,1.07,0.2,18.6916
32,2014-09-30,2014-11-06,0.89,0.89,0,0
33,2014-06-30,2014-08-05,1.28,1.17,0.11,9.4017
34,2014-03-31,2014-05-06,1.11,0.96,0.15,15.625
35,2013-12-31,2014-02-05,1.04,0.92,0.12,13.0435
36,2013-09-30,2013-11-07,0.77,0.76,0.01,1.3158
37,2013-06-30,2013-08-06,1.03,1.01,0.02,1.9802
38,2013-03-31,2013-05-07,0.79,0.77,0.02,2.5974
