,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,0.65,0.56,0.09,16.0714
1,2022-06-30,2022-08-03,0.82,0.64,0.18,28.125
2,2022-03-31,2022-05-06,0.68,0.75,-0.07,-9.3333
3,2021-12-31,2022-02-24,0.86,0.87,-0.01,-1.1494
4,2021-09-30,2021-11-04,0.88,0.91,-0.03,-3.2967
5,2021-06-30,2021-08-09,1.06,0.89,0.17,19.1011
6,2021-03-31,2021-04-29,0.99,0.81,0.18,22.2222
7,2020-12-31,2021-02-22,1.25,0.75,0.5,66.6667
8,2020-09-30,2020-11-06,0.86,0.7,0.16,22.8571
9,2020-06-30,2020-08-07,0.78,0.59,0.19,32.2034
10,2020-03-31,2020-05-07,0.13,0.57,-0.44,-77.193
11,2019-12-31,2020-02-19,0.69,0.59,0.1,16.9492
12,2019-09-30,2019-11-07,0.66,0.61,0.05,8.1967
13,2019-06-30,2019-07-29,0.6,0.65,-0.05,-7.6923
14,2019-03-31,2019-05-03,0.65,0.65,0,0
15,2018-12-31,2019-02-13,0.64,0.67,-0.03,-4.4776
16,2018-09-30,2018-11-07,0.82,0.67,0.15,22.3881
17,2018-06-30,2018-08-03,0.83,0.7,0.13,18.5714
18,2018-03-31,2018-05-08,0.7,0.7,0,0
19,2017-12-31,2018-02-21,0.57,0.55,0.02,3.6364
20,2017-09-30,2017-11-09,0.57,0.59,-0.02,-3.3898
21,2017-06-30,2017-08-03,0.09,0.75,-0.66,-88
22,2017-03-31,2017-05-01,0.76,0.69,0.07,10.1449
23,2016-12-31,2017-02-22,0.7,0.66,0.04,6.0606
24,2016-09-30,2016-11-09,0.64,0.68,-0.04,-5.8824
25,2016-06-30,2016-07-21,0.88,0.72,0.16,22.2222
26,2016-03-31,2016-04-20,0.84,0.62,0.22,35.4839
27,2015-12-31,2016-02-18,0.86,0.16,0.7,437.5
28,2015-09-30,2015-11-09,0.42,0.39,0.03,7.6923
29,2015-06-30,2015-08-05,0.7,0.45,0.25,55.5556
30,2015-03-31,2015-05-11,0.76,0.4,0.36,90
31,2014-12-31,2015-02-23,0.88,0.43,0.45,104.6512
32,2014-09-30,2014-11-04,0.31,0.39,-0.08,-20.5128
33,2014-06-30,2014-08-06,0.46,0.51,-0.05,-9.8039
34,2014-03-31,2014-05-08,0.38,0.44,-0.06,-13.6364
35,2013-12-31,2014-02-21,0.63,0.41,0.22,53.6585
36,2013-09-30,2013-11-12,0.46,0.43,0.03,6.9767
37,2013-06-30,2013-08-06,0.54,0.54,0,0
38,2013-03-31,2013-05-09,0.47,0.53,-0.06,-11.3208
39,2012-12-31,2013-02-20,0.46,0.5,-0.04,-8
40,2012-09-30,2012-11-06,0.47,0.55,-0.08,-14.5455
41,2012-06-30,2012-08-08,0.59,0.68,-0.09,-13.2353
42,2012-03-31,2012-05-07,0.8,0.7,0.1,14.2857
43,2011-12-31,2012-02-23,0.7,0.61,0.09,14.7541
44,2011-09-30,2011-11-07,0.71,0.73,-0.02,-2.7397
45,2011-06-30,2011-08-09,0.75,0.79,-0.04,-5.0633
46,2011-03-31,2011-05-02,1.22,0.67,0.55,82.0896
47,2010-12-31,2011-02-24,0.56,0.53,0.03,5.6604
48,2010-09-30,2010-11-05,0.55,0.42,0.13,30.9524
49,2010-06-30,2010-08-09,0.57,0.53,0.04,7.5472
50,2010-03-31,2010-05-10,0.52,0.49,0.03,6.1224
51,2009-12-31,2010-03-01,0.4,0.32,0.08,25
52,2009-09-30,2009-11-09,0.18,0.43,-0.25,-58.1395
53,2009-06-30,2009-08-10,0.14,0.65,-0.51,-78.4615
54,2009-03-31,2009-05-11,0.7,0.56,0.14,25
55,2008-12-31,2009-03-02,0.48,0.48,0,0
56,2008-09-30,2008-11-10,0.2,0.58,-0.38,-65.5172
57,2008-06-30,2008-08-04,0.73,0.6,0.13,21.6667
58,2008-03-31,2008-05-12,0.57,0.51,0.06,11.7647
59,2007-12-31,2008-02-26,0.39,0.44,-0.05,-11.3636
60,2007-09-30,2007-11-09,0.44,0.43,0.01,2.3256
61,2007-06-30,2007-08-09,0.5,0.49,0.01,2.0408
62,2007-03-31,2007-05-10,0.35,0.44,-0.09,-20.4545
63,2006-12-31,2007-03-01,0.34,0.32,0.02,6.25
64,2006-09-30,2006-11-07,0.31,0.38,-0.07,-18.4211
65,2006-06-30,2006-08-10,0.38,0.44,-0.06,-13.6364
66,2006-03-31,2006-05-11,0.33,0.41,-0.08,-19.5122
67,2005-12-31,2006-03-15,0.3,0.35,-0.05,-14.2857
68,2005-09-30,2005-11-08,0.46,0.46,0,0
69,2005-06-30,2005-08-09,1.78,0.44,1.34,304.5455
70,2005-03-31,2005-05-05,0.69,0.39,0.3,76.9231
71,2004-12-31,2005-03-17,0.15,0.19,-0.04,-21.0526
72,2004-09-30,2004-11-09,0.22,0.23,-0.01,-4.3478
73,2004-06-30,2004-08-10,0.18,0.22,-0.04,-18.1818
74,2004-03-31,2004-05-06,-0.09,0.15,-0.24,-160
75,2003-12-31,2004-03-26,0.01,0.09,-0.08,-88.8889
76,2003-09-30,2003-11-10,0.07,0.16,-0.09,-56.25
77,2003-06-30,2003-08-13,0.26,0.19,0.07,36.8421
78,2003-03-31,2003-05-06,0.12,0.1,0.02,20
79,2002-12-31,2003-03-04,-1.08,-1.02,-0.06,-5.8824
80,2002-09-30,2002-11-14,-0.35,0.05,-0.4,-800
81,2002-06-30,2002-08-15,0.07,0.06,0.01,16.6667
82,2002-03-31,2002-05-02,-0.2,0.04,-0.24,-600
83,2001-12-31,2002-02-28,-0.09,-0.02,-0.07,-350
84,2001-09-30,2001-10-23,0.01,-0.04,0.05,125
85,2001-06-30,2001-07-19,0.0043,-0.1,0.1043,104.3
86,2001-03-31,2001-05-03,-0.35,-0.24,-0.11,-45.8333
87,2000-12-31,2001-03-13,-0.36,-0.38,0.02,5.2632
88,2000-09-30,2000-11-14,-0.28,-0.35,0.07,20
89,2000-06-30,2000-08-01,-0.28,-0.34,0.06,17.6471
