,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-22,1.2,1.18,0.02,1.6949
1,2022-07-31,2022-08-25,1.6,1.59,0.01,0.6289
2,2022-04-30,2022-05-26,2.37,2,0.37,18.5
3,2022-01-31,2022-03-02,2.01,1.77,0.24,13.5593
4,2021-10-31,2021-11-23,0.96,0.96,0,0
5,2021-07-31,2021-08-26,1.23,1,0.23,23
6,2021-04-30,2021-05-27,1.6,1.4,0.2,14.2857
7,2021-01-31,2021-03-03,2.13,2.11,0.02,0.9479
8,2020-10-31,2020-11-24,1.39,1.15,0.24,20.8696
9,2020-07-31,2020-08-27,1.1,0.92,0.18,19.5652
10,2020-04-30,2020-05-28,1.04,0.85,0.19,22.3529
11,2020-01-31,2020-03-04,1.79,1.75,0.04,2.2857
12,2019-10-31,2019-11-26,1.08,1.13,-0.05,-4.4248
13,2019-07-31,2019-08-29,0.76,0.81,-0.05,-6.1728
14,2019-04-30,2019-05-30,1.14,1.14,0,0
15,2019-01-31,2019-03-06,1.93,1.93,0,0
16,2018-10-31,2018-11-29,1.18,1.14,0.04,3.5088
17,2018-07-31,2018-08-30,1.15,1.16,-0.01,-0.8621
18,2018-04-30,2018-05-31,1.19,1.23,-0.04,-3.252
19,2018-01-31,2018-03-07,1.89,1.9,-0.01,-0.5263
20,2017-10-31,2017-11-21,1.01,0.9,0.11,12.2222
21,2017-07-31,2017-08-24,0.99,0.87,0.12,13.7931
22,2017-04-30,2017-05-25,0.98,0.98,0,0
23,2017-01-31,2017-03-01,1.36,1.32,0.04,3.0303
24,2016-10-31,2016-11-22,0.72,0.78,-0.06,-7.6923
25,2016-07-31,2016-08-25,0.72,0.73,-0.01,-1.3699
26,2016-04-30,2016-05-26,0.98,0.81,0.17,20.9877
27,2016-01-31,2016-03-01,1.01,1.07,-0.06,-5.6075
28,2015-10-31,2015-11-24,0.49,0.53,-0.04,-7.5472
29,2015-07-31,2015-09-01,0.25,0.65,-0.4,-61.5385
30,2015-04-30,2015-05-21,0.71,0.75,-0.04,-5.3333
31,2015-01-31,2015-02-25,1.16,1.15,0.01,0.8696
32,2014-10-31,2014-11-20,0.69,0.64,0.05,7.8125
33,2014-07-31,2014-08-21,0.61,0.64,-0.03,-4.6875
34,2014-04-30,2014-05-22,0.67,0.66,0.01,1.5152
35,2014-01-31,2014-02-26,1.02,1.05,-0.03,-2.8571
36,2013-10-31,2013-11-21,0.58,0.6,-0.02,-3.3333
37,2013-07-31,2013-08-22,0.56,0.57,-0.01,-1.7544
38,2013-04-30,2013-05-23,0.59,0.57,0.02,3.5088
39,2013-01-31,2013-02-27,1.01,0.99,0.02,2.0202
40,2012-10-31,2012-11-15,0.51,0.49,0.02,4.0816
41,2012-07-31,2012-08-16,0.51,0.47,0.04,8.5106
42,2012-04-30,2012-05-17,0.5,0.49,0.01,2.0408
43,2012-01-31,2012-02-22,0.8,0.79,0.01,1.2658
44,2011-10-31,2011-11-17,0.44,0.42,0.02,4.7619
45,2011-07-31,2011-08-18,0.39,0.38,0.01,2.6316
46,2011-04-30,2011-05-19,0.41,0.37,0.04,10.8108
47,2011-01-31,2011-02-23,0.65,0.63,0.02,3.1746
48,2010-10-31,2010-11-18,0.37,0.31,0.06,19.3548
49,2010-07-31,2010-08-19,0.31,0.27,0.04,14.8148
50,2010-04-30,2010-05-20,0.31,0.28,0.03,10.7143
51,2010-01-31,2010-02-24,0.51,0.48,0.03,6.25
