,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,1.6,1.58,0.02,1.2658
1,2022-06-30,2022-07-28,0.88,1.02,-0.14,-13.7255
2,2022-03-31,2022-04-28,2.31,2.05,0.26,12.6829
3,2021-12-31,2022-02-10,1.05,0.84,0.21,25
4,2021-09-30,2021-10-27,1.72,1.82,-0.1,-5.4945
5,2021-06-30,2021-07-27,1.7,1.3,0.4,30.7692
6,2021-03-31,2021-04-27,2.44,2.17,0.27,12.4424
7,2020-12-31,2021-02-19,1.39,1.24,0.15,12.0968
8,2020-09-30,2020-10-27,2.61,2.07,0.54,26.087
9,2020-06-30,2020-07-28,1.53,1.28,0.25,19.5313
10,2020-03-31,2020-04-28,1.66,1.74,-0.08,-4.5977
11,2019-12-31,2020-02-05,1.35,1.3,0.05,3.8462
12,2019-09-30,2019-10-28,1.91,1.97,-0.06,-3.0457
13,2019-06-30,2019-07-24,0.99,1.07,-0.08,-7.4766
14,2019-03-31,2019-04-24,2.05,1.95,0.1,5.1282
15,2018-12-31,2019-02-07,0.91,0.93,-0.02,-2.1505
16,2018-09-30,2018-10-24,2.13,1.77,0.36,20.339
17,2018-06-30,2018-07-25,1.36,1.13,0.23,20.354
18,2018-03-31,2018-04-25,1.91,1.89,0.02,1.0582
19,2017-12-31,2018-02-16,1.26,1.19,0.07,5.8824
20,2017-09-30,2017-10-25,1.48,1.56,-0.08,-5.1282
21,2017-06-30,2017-07-26,1.07,1,0.07,7
22,2017-03-31,2017-04-26,1.79,1.56,0.23,14.7436
23,2016-12-31,2017-02-09,0.81,0.86,-0.05,-5.814
24,2016-09-30,2016-10-26,1.96,1.63,0.33,20.2454
25,2016-06-30,2016-07-26,0.98,0.89,0.09,10.1124
26,2016-03-31,2016-04-26,1.52,1.5,0.02,1.3333
27,2015-12-31,2016-02-10,1.01,0.99,0.02,2.0202
28,2015-09-30,2015-10-23,1.4,1.25,0.15,12
29,2015-06-30,2015-07-24,0.76,0.82,-0.06,-7.3171
30,2015-03-31,2015-04-24,1.65,1.53,0.12,7.8431
31,2014-12-31,2015-02-13,1.17,1.05,0.12,11.4286
32,2014-09-30,2014-10-24,1.02,1.06,-0.04,-3.7736
33,2014-06-30,2014-07-25,0.73,0.76,-0.03,-3.9474
34,2014-03-31,2014-04-25,1.69,1.47,0.22,14.966
35,2013-12-31,2014-02-14,1.01,0.95,0.06,6.3158
36,2013-09-30,2013-10-25,1.13,1.21,-0.08,-6.6116
37,2013-06-30,2013-07-26,0.62,0.77,-0.15,-19.4805
38,2013-03-31,2013-04-26,1.34,1.07,0.27,25.2336
39,2012-12-31,2013-02-20,0.85,0.86,-0.01,-1.1628
40,2012-09-30,2012-10-24,1.31,1.14,0.17,14.9123
41,2012-06-30,2012-07-27,0.86,0.7,0.16,22.8571
42,2012-03-31,2012-04-27,0.91,1.08,-0.17,-15.7407
43,2011-12-31,2012-02-16,0.88,0.8,0.08,10
44,2011-09-30,2011-11-04,1.07,1,0.07,7
45,2011-06-30,2011-07-28,0.65,0.53,0.12,22.6415
46,2011-03-31,2011-04-27,1.11,1.21,-0.1,-8.2645
47,2010-12-31,2011-02-09,0.88,0.86,0.02,2.3256
48,2010-09-30,2010-10-29,0.96,0.96,0,0
49,2010-06-30,2010-07-29,0.39,0.6,-0.21,-35
50,2010-03-31,2010-04-27,1.38,1.2,0.18,15
51,2009-12-31,2010-02-22,0.72,0.72,0,0
52,2009-09-30,2009-10-29,0.95,0.99,-0.04,-4.0404
53,2009-06-30,2009-07-30,0.56,0.15,0.41,273.3333
54,2009-03-31,2009-04-29,1.1,0.68,0.42,61.7647
55,2008-12-31,2009-02-23,0.88,0.98,-0.1,-10.2041
56,2008-09-30,2008-10-29,1.06,0.86,0.2,23.2558
57,2008-06-30,2008-07-30,0.16,0.43,-0.27,-62.7907
58,2008-03-31,2008-04-30,0.78,0.75,0.03,4
