,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-04,1.78,1.84,-0.06,-3.2609
1,2022-06-30,2022-08-04,1.14,1.07,0.07,6.5421
2,2022-03-31,2022-05-09,1.3,1.33,-0.03,-2.2556
3,2021-12-31,2022-02-10,0.94,0.96,-0.02,-2.0833
4,2021-09-30,2021-11-04,1.88,1.8,0.08,4.4444
5,2021-06-30,2021-08-05,1.15,1.1,0.05,4.5455
6,2021-03-31,2021-05-10,1.26,1.2,0.06,5
7,2020-12-31,2021-02-11,1.03,1.03,0,0
8,2020-09-30,2020-11-05,1.87,1.79,0.08,4.4693
9,2020-06-30,2020-08-10,1.08,1.03,0.05,4.8544
10,2020-03-31,2020-05-12,1.14,1.19,-0.05,-4.2017
11,2019-12-31,2020-02-13,0.91,0.87,0.04,4.5977
12,2019-09-30,2019-11-08,1.79,1.68,0.11,6.5476
13,2019-06-30,2019-08-06,1.12,0.98,0.14,14.2857
14,2019-03-31,2019-05-09,1.24,1.23,0.01,0.813
15,2018-12-31,2019-02-14,0.84,0.89,-0.05,-5.618
16,2018-09-30,2018-11-02,1.65,1.52,0.13,8.5526
17,2018-06-30,2018-08-02,0.93,1.02,-0.09,-8.8235
18,2018-03-31,2018-05-10,1.28,1.14,0.14,12.2807
19,2017-12-31,2018-02-20,0.94,0.92,0.02,2.1739
20,2017-09-30,2017-11-03,1.59,1.55,0.04,2.5806
21,2017-06-30,2017-08-03,1.01,1.01,0,0
22,2017-03-31,2017-05-09,1.04,1.03,0.01,0.9709
23,2016-12-31,2017-02-16,0.81,0.81,0,0
24,2016-09-30,2016-11-04,1.68,1.58,0.1,6.3291
25,2016-06-30,2016-08-04,1.07,1.01,0.06,5.9406
26,2016-03-31,2016-05-03,1.13,1.14,-0.01,-0.8772
27,2015-12-31,2016-02-18,0.87,0.91,-0.04,-4.3956
28,2015-09-30,2015-11-05,1.47,1.52,-0.05,-3.2895
29,2015-06-30,2015-08-06,0.95,0.99,-0.04,-4.0404
30,2015-03-31,2015-05-01,1.24,1.14,0.1,8.7719
31,2014-12-31,2015-02-18,0.86,0.88,-0.02,-2.2727
32,2014-09-30,2014-11-05,1.4,1.52,-0.12,-7.8947
33,2014-06-30,2014-08-07,1.11,0.98,0.13,13.2653
34,2014-03-31,2014-05-07,1.17,1.12,0.05,4.4643
35,2013-12-31,2014-02-18,1,0.95,0.05,5.2632
36,2013-09-30,2013-11-06,1.46,1.51,-0.05,-3.3113
37,2013-06-30,2013-08-07,0.87,0.94,-0.07,-7.4468
38,2013-03-31,2013-05-03,1.02,1.04,-0.02,-1.9231
39,2012-12-31,2013-02-13,0.7,0.64,0.06,9.375
40,2012-09-30,2012-11-08,1.47,1.45,0.02,1.3793
41,2012-06-30,2012-08-02,1.02,0.97,0.05,5.1546
42,2012-03-31,2012-05-04,1.14,1.09,0.05,4.5872
43,2011-12-31,2012-02-16,0.72,0.64,0.08,12.5
44,2011-09-30,2011-11-03,1.5,1.39,0.11,7.9137
45,2011-06-30,2011-08-02,0.99,0.92,0.07,7.6087
46,2011-03-31,2011-05-03,1.17,1.05,0.12,11.4286
47,2010-12-31,2011-02-17,0.63,0.69,-0.06,-8.6957
48,2010-09-30,2010-10-28,1.53,1.26,0.27,21.4286
49,2010-06-30,2010-08-03,1.02,0.85,0.17,20
50,2010-03-31,2010-05-04,1.08,0.96,0.12,12.5
51,2009-12-31,2010-02-12,0.84,0.76,0.08,10.5263
52,2009-09-30,2009-10-30,1.2,1.15,0.05,4.3478
53,2009-06-30,2009-08-04,0.78,0.76,0.02,2.6316
54,2009-03-31,2009-05-05,0.84,0.96,-0.12,-12.5
55,2008-12-31,2009-02-05,0.81,0.75,0.06,8
56,2008-09-30,2008-11-05,0.99,1.33,-0.34,-25.5639
57,2008-06-30,2008-08-05,0.81,0.74,0.07,9.4595
58,2008-03-31,2008-05-02,1.05,0.91,0.14,15.3846
59,2007-12-31,2008-02-05,0.81,0.72,0.09,12.5
60,2007-09-30,2007-11-02,1.44,1.18,0.26,22.0339
61,2007-06-30,2007-08-07,0.75,0.61,0.14,22.9508
62,2007-03-31,2007-05-08,0.9,0.92,-0.02,-2.1739
63,2006-12-31,2007-02-06,1.29,1.2,0.09,7.5
64,2006-09-30,2006-11-03,1.44,1.68,-0.24,-14.2857
65,2006-06-30,2006-08-03,1.29,1.15,0.14,12.1739
66,2006-03-31,2006-05-02,1.44,1.47,-0.03,-2.0408
