,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,1,0.93,0.07,7.5269
1,2022-06-30,2022-08-03,0.99,0.89,0.1,11.236
2,2022-03-31,2022-05-04,1.05,1.03,0.02,1.9417
3,2021-12-31,2022-02-23,1.05,0.99,0.06,6.0606
4,2021-09-30,2021-10-27,0.9,0.89,0.01,1.1236
5,2021-06-30,2021-08-11,0.99,0.95,0.04,4.2105
6,2021-03-31,2021-04-28,1.09,1.07,0.02,1.8692
7,2020-12-31,2021-02-03,0.86,0.83,0.03,3.6145
8,2020-09-30,2020-10-28,0.85,0.77,0.08,10.3896
9,2020-06-30,2020-07-28,1.08,1.06,0.02,1.8868
10,2020-03-31,2020-04-29,0.77,0.72,0.05,6.9444
11,2019-12-31,2020-01-28,0.81,0.76,0.05,6.5789
12,2019-09-30,2019-10-23,0.67,0.64,0.03,4.6875
13,2019-06-30,2019-07-17,0.68,0.63,0.05,7.9365
14,2019-03-31,2019-04-23,0.67,0.63,0.04,6.3492
15,2018-12-31,2019-01-29,0.71,0.68,0.03,4.4118
16,2018-09-30,2018-10-30,0.56,0.54,0.02,3.7037
17,2018-06-30,2018-07-18,0.53,0.51,0.02,3.9216
18,2018-03-31,2018-04-25,0.53,0.53,0,0
19,2017-12-31,2018-01-31,0.59,0.59,0,0
20,2017-09-30,2017-10-18,0.48,0.48,0,0
21,2017-06-30,2017-07-20,0.45,0.45,0,0
22,2017-03-31,2017-04-19,0.49,0.48,0.01,2.0833
23,2016-12-31,2017-01-25,0.54,0.54,0,0
24,2016-09-30,2016-10-19,0.45,0.44,0.01,2.2727
25,2016-06-30,2016-07-20,0.43,0.42,0.01,2.381
26,2016-03-31,2016-04-26,0.47,0.45,0.02,4.4444
27,2015-12-31,2016-01-27,0.5,0.5,0,0
28,2015-09-30,2015-10-21,0.43,0.4,0.03,7.5
29,2015-06-30,2015-07-16,0.76,0.73,0.03,4.1096
30,2015-03-31,2015-04-22,0.77,0.7,0.07,10
31,2014-12-31,2015-01-21,0.9,0.89,0.01,1.1236
32,2014-09-30,2014-10-15,0.68,0.67,0.01,1.4925
33,2014-06-30,2014-07-16,0.69,0.68,0.01,1.4706
34,2014-03-31,2014-04-29,0.7,0.67,0.03,4.4776
35,2013-12-31,2014-01-22,0.81,0.8,0.01,1.25
36,2013-09-30,2013-10-16,0.64,0.63,0.01,1.5873
37,2013-06-30,2013-07-17,0.63,0.63,0,0
38,2013-03-31,2013-04-17,0.63,0.62,0.01,1.6129
39,2012-12-31,2013-01-16,0.7,0.69,0.01,1.4493
40,2012-09-30,2012-10-17,0.55,0.54,0.01,1.8519
