,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-19,1.73,1.63,0.1,6.135
1,2022-06-30,2022-07-20,2.09,2,0.09,4.5
2,2022-03-31,2022-04-20,2.22,2.14,0.08,3.7383
3,2021-12-31,2022-02-09,1.84,1.81,0.03,1.6575
4,2021-09-30,2021-10-20,1.85,1.72,0.13,7.5581
5,2021-06-30,2021-07-21,1.98,1.71,0.27,15.7895
6,2021-03-31,2021-04-21,1.97,1.55,0.42,27.0968
7,2020-12-31,2021-02-10,2,1.83,0.17,9.2896
8,2020-09-30,2020-10-21,1.87,1.6,0.27,16.875
9,2020-06-30,2020-07-22,1.6,1.3,0.3,23.0769
10,2020-03-31,2020-04-20,1.4,1.28,0.12,9.375
11,2019-12-31,2020-02-12,1.53,1.49,0.04,2.6846
12,2019-09-30,2019-10-23,1.48,1.44,0.04,2.7778
13,2019-06-30,2019-07-24,1.4,1.36,0.04,2.9412
14,2019-03-31,2019-05-10,1.2,1.23,-0.03,-2.439
15,2018-12-31,2019-02-20,1.38,1.32,0.06,4.5455
16,2018-09-30,2018-10-24,1.41,1.42,-0.01,-0.7042
17,2018-06-30,2018-07-25,1.56,1.54,0.02,1.2987
18,2018-03-31,2018-04-25,1.43,1.37,0.06,4.3796
19,2017-12-31,2018-03-01,1.39,1.35,0.04,2.963
20,2017-09-30,2017-11-09,1.53,1.49,0.04,2.6846
21,2017-06-30,2017-07-26,1.6,1.57,0.03,1.9108
22,2017-03-31,2017-04-26,1.44,1.41,0.03,2.1277
23,2016-12-31,2017-02-08,1.42,1.37,0.05,3.6496
24,2016-09-30,2016-10-26,1.44,1.36,0.08,5.8824
25,2016-06-30,2016-07-27,1.43,1.36,0.07,5.1471
26,2016-03-31,2016-04-27,1.23,1.15,0.08,6.9565
27,2015-12-31,2016-02-10,1.14,1.11,0.03,2.7027
28,2015-09-30,2015-10-21,1.14,1.1,0.04,3.6364
29,2015-06-30,2015-07-22,1.15,1.1,0.05,4.5455
30,2015-03-31,2015-04-22,1.07,1.02,0.05,4.902
31,2014-12-31,2015-02-11,1.02,1.01,0.01,0.9901
32,2014-09-30,2014-10-22,1.01,0.98,0.03,3.0612
33,2014-06-30,2014-07-23,0.96,0.94,0.02,2.1277
34,2014-03-31,2014-04-23,0.89,0.87,0.02,2.2989
35,2013-12-31,2014-02-13,0.91,0.91,0,0
36,2013-09-30,2013-10-23,0.9,0.88,0.02,2.2727
37,2013-06-30,2013-07-24,0.92,0.9,0.02,2.2222
38,2013-03-31,2013-04-24,0.87,0.87,0,0
39,2012-12-31,2013-02-06,0.78,0.75,0.03,4
40,2012-09-30,2012-10-24,0.75,0.73,0.02,2.7397
41,2012-06-30,2012-07-25,0.74,0.72,0.02,2.7778
42,2012-03-31,2012-04-25,0.7,0.65,0.05,7.6923
43,2011-12-31,2012-02-08,0.68,0.67,0.01,1.4925
44,2011-09-30,2011-10-26,0.65,0.64,0.01,1.5625
45,2011-06-30,2011-07-27,0.61,0.6,0.01,1.6667
46,2011-03-31,2011-04-27,0.58,0.58,0,0
47,2010-12-31,2011-02-09,0.62,0.6,0.02,3.3333
48,2010-09-30,2010-10-27,0.6,0.58,0.02,3.4483
49,2010-06-30,2010-07-28,0.58,0.56,0.02,3.5714
50,2010-03-31,2010-04-28,0.56,0.55,0.01,1.8182
51,2009-12-31,2010-02-03,0.61,0.56,0.05,8.9286
52,2009-09-30,2009-10-21,0.57,0.55,0.02,3.6364
53,2009-06-30,2009-07-22,0.57,0.57,0,0
54,2009-03-31,2009-04-22,0.58,0.54,0.04,7.4074
55,2008-12-31,2009-02-04,0.61,0.59,0.02,3.3898
56,2008-09-30,2008-10-20,0.63,0.62,0.01,1.6129
57,2008-06-30,2008-07-21,0.64,0.61,0.03,4.918
58,2008-03-31,2008-04-21,0.6,0.57,0.03,5.2632
59,2007-12-31,2008-02-04,0.59,0.57,0.02,3.5088
60,2007-09-30,2007-10-22,0.58,0.56,0.02,3.5714
61,2007-06-30,2007-07-23,0.57,0.56,0.01,1.7857
62,2007-03-31,2007-04-23,0.54,0.53,0.01,1.8868
63,2006-12-31,2007-01-31,0.53,0.52,0.01,1.9231
64,2006-09-30,2006-10-18,0.52,0.51,0.01,1.9608
65,2006-06-30,2006-07-20,0.49,0.49,0,0
66,2006-03-31,2006-04-20,0.48,0.46,0.02,4.3478
67,2005-12-31,2006-02-02,0.46,0.47,-0.01,-2.1277
68,2005-09-30,2005-10-20,0.45,0.45,0,0
69,2005-06-30,2005-07-21,0.45,0.44,0.01,2.2727
70,2005-03-31,2005-04-21,0.43,0.41,0.02,4.878
71,2004-12-31,2005-02-03,0.42,0.42,0,0
72,2004-09-30,2004-10-21,0.4,0.41,-0.01,-2.439
73,2004-06-30,2004-07-22,0.41,0.39,0.02,5.1282
74,2004-03-31,2004-04-22,0.38,0.37,0.01,2.7027
75,2003-12-31,2004-01-22,0.4,0.4,0,0
76,2003-09-30,2003-10-16,0.39,0.39,0,0
77,2003-06-30,2003-07-17,0.36,0.36,0,0
78,2003-03-31,2003-04-24,0.33,0.33,0,0
79,2002-12-31,2003-01-23,0.38,0.38,0,0
80,2002-09-30,2002-10-17,0.36,0.36,0,0
81,2002-06-30,2002-07-18,0.34,0.34,0,0
82,2002-03-31,2002-04-18,0.3,0.3,0,0
83,2001-12-31,2002-01-24,0.32,0.32,0,0
84,2001-09-30,2001-10-17,0.3,0.3,0,0
85,2001-06-30,2001-07-18,0.28,0.27,0.01,3.7037
86,2001-03-31,2001-04-18,0.35,0.35,0,0
87,2000-12-31,2001-01-25,0.51,0.52,-0.01,-1.9231
88,2000-09-30,2000-10-19,0.47,0.46,0.01,2.1739
89,2000-06-30,2000-07-20,0.39,0.39,0,0
90,2000-03-31,2000-04-19,0.31,0.31,0,0
91,1999-12-31,2000-01-25,0.45,0.45,0,0
92,1999-09-30,1999-10-19,0.42,0.42,0,0
93,1999-06-30,1999-07-20,0.37,0.37,0,0
94,1999-03-31,1999-04-20,0.31,0.31,0,0
95,1998-12-31,1999-01-21,0.31,0.31,0,0
96,1998-09-30,1998-10-19,0.37,0.37,0,0
97,1998-06-30,1998-07-17,0.35,0.35,0,0
98,1998-03-31,1998-04-16,0.31,0.31,0,0
99,1997-12-31,1998-01-21,0.36,0.37,-0.01,-2.7027
100,1997-09-30,1997-10-15,0.33,0.33,0,0
101,1997-06-30,1997-07-17,0.36,0.35,0.01,2.8571
102,1997-03-31,1997-04-15,0.31,0.3,0.01,3.3333
103,1996-12-31,1997-01-21,0.36,0.36,0,0
104,1996-09-30,1996-10-16,0.32,0.31,0.01,3.2258
105,1996-06-30,1996-07-17,0.28,0.28,0,0
106,1996-03-31,1996-04-16,0.25,0.22,0.03,13.6364
