,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,3.1,2.53,0.57,22.5296
1,2022-06-30,2022-08-04,2.38,1.72,0.66,38.3721
2,2022-03-31,2022-05-05,2.49,1.77,0.72,40.678
3,2021-12-31,2022-02-17,2.76,2.51,0.25,9.9602
4,2021-09-30,2021-11-04,2.42,2.22,0.2,9.009
5,2021-06-30,2021-08-05,2.05,1.94,0.11,5.6701
6,2021-03-31,2021-05-06,1.81,1.68,0.13,7.7381
7,2020-12-31,2021-02-18,1.81,1.72,0.09,5.2326
8,2020-09-30,2020-11-05,1.65,1.47,0.18,12.2449
9,2020-06-30,2020-08-06,1.46,1.21,0.25,20.6612
10,2020-03-31,2020-05-07,1.43,1.4,0.03,2.1429
11,2019-12-31,2020-02-20,1.51,1.45,0.06,4.1379
12,2019-09-30,2019-11-07,1.39,1.33,0.06,4.5113
13,2019-06-30,2019-08-08,1.28,1.23,0.05,4.065
14,2019-03-31,2019-05-09,1.25,1.17,0.08,6.8376
15,2018-12-31,2019-02-14,1.27,1.23,0.04,3.252
16,2018-09-30,2018-11-01,1.17,1.05,0.12,11.4286
17,2018-06-30,2018-08-02,1.01,0.99,0.02,2.0202
18,2018-03-31,2018-05-09,0.93,0.91,0.02,2.1978
19,2017-12-31,2018-02-16,1.01,0.97,0.04,4.1237
20,2017-09-30,2017-11-02,0.92,0.85,0.07,8.2353
21,2017-06-30,2017-08-03,0.8,0.81,-0.01,-1.2346
22,2017-03-31,2017-05-04,0.72,0.74,-0.02,-2.7027
23,2016-12-31,2017-02-16,0.77,0.79,-0.02,-2.5316
24,2016-09-30,2016-11-07,0.76,0.75,0.01,1.3333
25,2016-06-30,2016-08-04,0.71,0.72,-0.01,-1.3889
26,2016-03-31,2016-05-05,0.66,0.72,-0.06,-8.3333
27,2015-12-31,2016-02-17,0.78,0.73,0.05,6.8493
28,2015-09-30,2015-11-04,0.7,0.68,0.02,2.9412
29,2015-06-30,2015-08-04,0.64,0.64,0,0
30,2015-03-31,2015-05-06,0.61,0.54,0.07,12.963
31,2014-12-31,2015-02-25,0.62,0.61,0.01,1.6393
32,2014-09-30,2014-11-04,0.6,0.54,0.06,11.1111
33,2014-06-30,2014-08-04,0.53,0.48,0.05,10.4167
34,2014-03-31,2014-04-30,0.47,0.41,0.06,14.6341
35,2013-12-31,2014-02-19,0.48,0.46,0.02,4.3478
36,2013-09-30,2013-11-08,0.43,0.42,0.01,2.381
37,2013-06-30,2013-08-08,0.4,0.4,0,0
38,2013-03-31,2013-05-08,0.35,0.34,0.01,2.9412
39,2012-12-31,2013-02-28,0.37,0.37,0,0
40,2012-09-30,2012-11-08,0.37,0.35,0.02,5.7143
41,2012-06-30,2012-08-03,0.37,0.31,0.06,19.3548
42,2012-03-31,2012-05-08,0.31,0.29,0.02,6.8966
43,2011-12-31,2012-03-27,0.131,None,None,None
