,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,2.3,1.78,0.52,29.2135
1,2022-06-30,2022-07-27,2.37,1.8,0.57,31.6667
2,2022-03-31,2022-04-27,1.62,1.65,-0.03,-1.8182
3,2021-12-31,2022-02-16,1.36,1.41,-0.05,-3.5461
4,2021-09-30,2021-11-03,1.68,1.58,0.1,6.3291
5,2021-06-30,2021-07-28,0.76,1.85,-1.09,-58.9189
6,2021-03-31,2021-04-28,1.74,1.71,0.03,1.7544
7,2020-12-31,2021-02-10,0.57,1.53,-0.96,-62.7451
8,2020-09-30,2020-10-28,0.74,1.68,-0.94,-55.9524
9,2020-06-30,2020-07-29,1.52,1.64,-0.12,-7.3171
10,2020-03-31,2020-05-06,1.38,1.81,-0.43,-23.7569
11,2019-12-31,2020-02-12,1.46,1.56,-0.1,-6.4103
12,2019-09-30,2019-10-30,1.41,1.67,-0.26,-15.5689
13,2019-06-30,2019-07-31,1.69,1.57,0.12,7.6433
14,2019-03-31,2019-05-01,1.44,1.44,0,0
15,2018-12-31,2019-02-13,1.36,1.23,0.13,10.5691
16,2018-09-30,2018-11-01,1.55,0.98,0.57,58.1633
17,2018-06-30,2018-08-08,0.85,0.93,-0.08,-8.6022
18,2018-03-31,2018-05-02,0.79,1.03,-0.24,-23.301
19,2017-12-31,2018-02-14,0.82,1.18,-0.36,-30.5085
20,2017-09-30,2017-11-01,1.02,1.17,-0.15,-12.8205
21,2017-06-30,2017-08-02,0.58,1.07,-0.49,-45.7944
22,2017-03-31,2017-04-26,0.57,0.84,-0.27,-32.1429
23,2016-12-31,2017-02-15,0.86,0.74,0.12,16.2162
24,2016-09-30,2016-11-02,0.72,0.69,0.03,4.3478
25,2016-06-30,2016-08-03,0.64,0.63,0.01,1.5873
26,2016-03-31,2016-05-04,-0.46,0.35,-0.81,-231.4286
27,2015-12-31,2016-02-18,0.18,1.14,-0.96,-84.2105
28,2015-09-30,2015-10-28,0.71,1.1,-0.39,-35.4545
29,2015-06-30,2015-07-29,1,1.11,-0.11,-9.9099
