,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,2.02,2.01,0.01,0.4975
1,2022-06-30,2022-08-02,1.87,1.82,0.05,2.7473
2,2022-03-31,2022-05-03,1.62,1.6,0.02,1.25
3,2021-12-31,2022-02-04,1.72,1.71,0.01,0.5848
4,2021-09-30,2021-11-02,1.75,1.73,0.02,1.1561
5,2021-06-30,2021-08-03,1.72,1.57,0.15,9.5541
6,2021-03-31,2021-05-04,1.44,1.23,0.21,17.0732
7,2020-12-31,2021-02-02,1.28,1.21,0.07,5.7851
8,2020-09-30,2020-11-03,1.18,1.05,0.13,12.381
9,2020-06-30,2020-07-29,0.7,0.53,0.17,32.0755
10,2020-03-31,2020-04-30,1.09,1.07,0.02,1.8692
11,2019-12-31,2020-02-04,1.37,1.41,-0.04,-2.8369
12,2019-09-30,2019-10-29,1.52,1.51,0.01,0.6623
13,2019-06-30,2019-07-30,1.53,1.51,0.02,1.3245
14,2019-03-31,2019-04-30,1.26,1.24,0.02,1.6129
15,2018-12-31,2019-01-31,1.46,1.43,0.03,2.0979
16,2018-09-30,2018-10-30,1.43,1.43,0,0
17,2018-06-30,2018-07-31,1.39,1.33,0.06,4.5113
18,2018-03-31,2018-05-01,1.1,1.07,0.03,2.8037
19,2017-12-31,2018-02-01,1.29,1.21,0.08,6.6116
20,2017-09-30,2017-10-31,1.25,1.25,0,0
21,2017-06-30,2017-08-01,1.15,1.16,-0.01,-0.8621
22,2017-03-31,2017-05-02,0.96,0.88,0.08,9.0909
23,2016-12-31,2017-02-02,1.12,1.1,0.02,1.8182
24,2016-09-30,2016-11-01,1.15,1.15,0,0
25,2016-06-30,2016-08-02,1.07,1.07,0,0
26,2016-03-31,2016-04-29,0.88,0.85,0.03,3.5294
27,2015-12-31,2016-02-03,1.17,1.1,0.07,6.3636
28,2015-09-30,2015-10-30,0.97,1,-0.03,-3
29,2015-06-30,2015-07-29,1.16,1.13,0.03,2.6549
30,2015-03-31,2015-04-29,1.01,0.98,0.03,3.0612
31,2014-12-31,2015-02-03,1.27,1.2,0.07,5.8333
32,2014-09-30,2014-10-29,1.29,1.23,0.06,4.878
33,2014-06-30,2014-07-29,1.11,1.13,-0.02,-1.7699
34,2014-03-31,2014-04-29,1.01,1,0.01,1
35,2013-12-31,2014-02-04,1.08,1.06,0.02,1.8868
36,2013-09-30,2013-10-25,1.12,1.12,0,0
37,2013-06-30,2013-08-02,1.09,1.11,-0.02,-1.8018
