,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,0.75,0.7,0.05,7.1429
1,2022-06-30,2022-08-03,0.44,0.46,-0.02,-4.3478
2,2022-03-31,2022-05-09,0.64,0.66,-0.02,-3.0303
3,2021-12-31,2022-02-25,0.9,0.87,0.03,3.4483
4,2021-09-30,2021-11-03,1.09,1.09,0,0
5,2021-06-30,2021-08-04,0.89,0.68,0.21,30.8824
6,2021-03-31,2021-05-05,-0.06,0.36,-0.42,-116.6667
7,2020-12-31,2021-02-24,0.76,0.69,0.07,10.1449
8,2020-09-30,2020-11-03,1.04,0.87,0.17,19.5402
9,2020-06-30,2020-08-04,0.55,0.43,0.12,27.907
10,2020-03-31,2020-05-08,0.87,0.85,0.02,2.3529
11,2019-12-31,2020-02-11,0.83,0.73,0.1,13.6986
12,2019-09-30,2019-10-31,0.92,0.89,0.03,3.3708
13,2019-06-30,2019-08-01,0.6,0.61,-0.01,-1.6393
14,2019-03-31,2019-05-02,0.87,0.87,0,0
15,2018-12-31,2019-02-08,0.58,0.57,0.01,1.7544
16,2018-09-30,2018-11-01,0.88,0.88,0,0
17,2018-06-30,2018-08-02,0.71,0.61,0.1,16.3934
18,2018-03-31,2018-05-02,0.96,0.91,0.05,5.4945
19,2017-12-31,2018-02-07,0.55,0.6,-0.05,-8.3333
20,2017-09-30,2017-11-02,0.85,0.86,-0.01,-1.1628
21,2017-06-30,2017-08-02,0.54,0.53,0.01,1.8868
22,2017-03-31,2017-05-03,0.65,0.62,0.03,4.8387
23,2016-12-31,2017-02-08,0.44,0.45,-0.01,-2.2222
24,2016-09-30,2016-10-26,0.91,0.78,0.13,16.6667
25,2016-06-30,2016-08-09,0.65,0.56,0.09,16.0714
26,2016-03-31,2016-05-06,0.68,0.68,0,0
27,2015-12-31,2016-02-03,0.38,0.41,-0.03,-7.3171
28,2015-09-30,2015-10-30,0.83,0.72,0.11,15.2778
29,2015-06-30,2015-07-29,0.59,0.54,0.05,9.2593
30,2015-03-31,2015-04-29,0.71,0.69,0.02,2.8986
31,2014-12-31,2015-02-13,0.48,0.5,-0.02,-4
32,2014-09-30,2014-10-29,0.78,0.72,0.06,8.3333
33,2014-06-30,2014-07-31,0.51,0.5,0.01,2
34,2014-03-31,2014-04-30,0.62,0.69,-0.07,-10.1449
35,2013-12-31,2014-02-06,0.5,0.54,-0.04,-7.4074
36,2013-09-30,2013-10-30,0.78,0.66,0.12,18.1818
37,2013-06-30,2013-07-31,0.53,0.54,-0.01,-1.8519
38,2013-03-31,2013-05-01,0.7,0.68,0.02,2.9412
39,2012-12-31,2013-02-07,0.64,0.64,0,0
