,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-20,0.26,0.24,0.02,8.3333
1,2022-06-30,2022-07-21,0.58,0.61,-0.03,-4.918
2,2022-03-31,2022-04-21,1.07,0.94,0.13,13.8298
3,2021-12-31,2022-01-26,0.96,0.96,0,0
4,2021-09-30,2021-10-21,0.89,0.81,0.08,9.8765
5,2021-06-30,2021-07-22,0.77,0.76,0.01,1.3158
6,2021-03-31,2021-04-22,0.51,0.51,0,0
7,2020-12-31,2021-01-26,0.39,0.38,0.01,2.6316
8,2020-09-30,2020-10-22,0.29,0.21,0.08,38.0952
9,2020-06-30,2020-07-23,0.03,-0.02,0.05,250
10,2020-03-31,2020-04-24,-0.16,-0.18,0.02,11.1111
11,2019-12-31,2020-01-23,0.02,-0.003,0.023,766.6667
12,2019-09-30,2019-10-23,-0.01,-0.01,0,0
13,2019-06-30,2019-07-24,-0.04,-0.05,0.01,20
14,2019-03-31,2019-04-25,0.05,0.07,-0.02,-28.5714
15,2018-12-31,2019-01-24,0.11,0.18,-0.07,-38.8889
16,2018-09-30,2018-10-24,0.35,0.33,0.02,6.0606
17,2018-06-30,2018-07-25,0.58,0.52,0.06,11.5385
18,2018-03-31,2018-04-24,0.46,0.56,-0.1,-17.8571
19,2017-12-31,2018-01-25,0.51,0.49,0.02,4.0816
20,2017-09-30,2017-10-25,0.34,0.31,0.03,9.6774
21,2017-06-30,2017-07-25,0.17,0.21,-0.04,-19.0476
22,2017-03-31,2017-04-25,0.15,0.16,-0.01,-6.25
23,2016-12-31,2017-01-25,0.25,0.34,-0.09,-26.4706
24,2016-09-30,2016-10-25,0.13,0.18,-0.05,-27.7778
25,2016-06-30,2016-07-26,-0.02,-0.01,-0.01,-100
26,2016-03-31,2016-04-26,-0.16,-0.18,0.02,11.1111
27,2015-12-31,2016-01-26,-0.02,-0.17,0.15,88.2353
28,2015-09-30,2015-10-22,-0.15,-0.08,-0.07,-87.5
29,2015-06-30,2015-07-23,0.14,0.06,0.08,133.3333
30,2015-03-31,2015-04-23,-0.06,-0.06,0,0
31,2014-12-31,2015-01-27,0.25,0.35,-0.1,-28.5714
32,2014-09-30,2014-10-28,0.64,0.61,0.03,4.918
33,2014-06-30,2014-07-23,0.52,0.51,0.01,1.9608
34,2014-03-31,2014-04-24,0.57,0.43,0.14,32.5581
35,2013-12-31,2014-01-22,0.84,0.8,0.04,5
36,2013-09-30,2013-10-22,0.78,0.62,0.16,25.8065
37,2013-06-30,2013-07-23,0.22,0.41,-0.19,-46.3415
38,2013-03-31,2013-04-18,0.73,0.71,0.02,2.8169
39,2012-12-31,2013-01-22,0.78,0.7,0.08,11.4286
40,2012-09-30,2012-10-22,0.68,0.73,-0.05,-6.8493
41,2012-06-30,2012-07-19,0.8,0.75,0.05,6.6667
42,2012-03-31,2012-04-19,0.96,0.86,0.1,11.6279
43,2011-12-31,2012-01-19,0.67,0.6,0.07,11.6667
44,2011-09-30,2011-10-19,1.1,1.02,0.08,7.8431
45,2011-06-30,2011-07-21,1.49,1.33,0.16,12.0301
46,2011-03-31,2011-04-20,1.58,1.26,0.32,25.3968
47,2010-12-31,2011-01-20,1.63,1.51,0.12,7.947
48,2010-09-30,2010-10-21,1.25,1.12,0.13,11.6071
49,2010-06-30,2010-07-21,0.75,0.64,0.11,17.1875
50,2010-03-31,2010-04-21,1.02,0.96,0.06,6.25
51,2009-12-31,2010-01-21,1.08,0.88,0.2,22.7273
52,2009-09-30,2009-10-21,1.03,0.67,0.36,53.7313
53,2009-06-30,2009-07-21,0.69,0.35,0.34,97.1429
54,2009-03-31,2009-04-22,0.06,0.06,0,0
55,2008-12-31,2009-01-26,-0.42,-0.56,0.14,25
56,2008-09-30,2008-10-21,0.66,0.71,-0.05,-7.0423
57,2008-06-30,2008-07-22,1.13,1.22,-0.09,-7.377
58,2008-03-31,2008-04-23,1.32,1.06,0.26,24.5283
59,2007-12-31,2008-01-23,0.68,0.84,-0.16,-19.0476
60,2007-09-30,2007-10-24,1.26,1.13,0.13,11.5044
61,2007-06-30,2007-07-25,1.61,1.36,0.25,18.3824
62,2007-03-31,2007-04-25,1.38,1.04,0.34,32.6923
63,2006-12-31,2007-01-16,1,1.06,-0.06,-5.6604
64,2006-09-30,2006-10-17,0.87,0.79,0.08,10.1266
65,2006-06-30,2006-07-18,0.85,0.72,0.13,18.0556
66,2006-03-31,2006-04-18,0.7,0.44,0.26,59.0909
67,2005-12-31,2006-01-17,1.11,0.89,0.22,24.7191
68,2005-09-30,2005-10-18,0.5,0.43,0.07,16.2791
69,2005-06-30,2005-07-19,0.46,0.44,0.02,4.5455
70,2005-03-31,2005-04-19,0.35,0.32,0.03,9.375
71,2004-12-31,2005-01-18,0.4,0.35,0.05,14.2857
72,2004-09-30,2004-10-19,0.05,0.07,-0.02,-28.5714
73,2004-06-30,2004-07-20,-0.15,-0.11,-0.04,-36.3636
74,2004-03-31,2004-04-20,-0.01,-0.07,0.06,85.7143
75,2003-12-31,2004-01-20,0.0007,0.03,-0.0293,-97.6667
76,2003-09-30,2003-10-16,0.24,0.24,0,0
77,2003-06-30,2003-07-17,0.2,0.17,0.03,17.6471
78,2003-03-31,2003-04-17,0.14,0.16,-0.02,-12.5
79,2002-12-31,2003-01-16,0.21,0.21,0,0
80,2002-09-30,2002-10-15,0.2,0.18,0.02,11.1111
81,2002-06-30,2002-07-18,0.02,0.02,0,0
82,2002-03-31,2002-04-18,-0.0038,-0.04,0.0362,90.5
83,2001-12-31,2002-01-17,-0.0072,-0.02,0.0128,64
84,2001-09-30,2001-10-16,0.02,0.04,-0.02,-50
85,2001-06-30,2001-07-18,0.13,0.12,0.01,8.3333
86,2001-03-31,2001-04-18,0.13,0.12,0.01,8.3333
87,2000-12-31,2001-01-18,0.19,0.12,0.07,58.3333
88,2000-09-30,2000-10-17,-0.02,0.04,-0.06,-150
89,2000-06-30,2000-07-18,-0.06,-0.06,0,0
90,2000-03-31,2000-04-18,0.03,0.09,-0.06,-66.6667
91,1999-12-31,2000-01-18,0.12,0.1,0.02,20
92,1999-09-30,1999-10-19,0.08,0.06,0.02,33.3333
93,1999-06-30,1999-07-20,0.06,0.04,0.02,50
94,1999-03-31,1999-04-20,0.06,0.06,0,0
95,1998-12-31,1999-01-19,0.13,0.13,0,0
96,1998-09-30,1998-10-20,0.07,0.07,0,0
97,1998-06-30,1998-07-21,0.07,0.07,0,0
98,1998-03-31,1998-04-21,0.08,0.04,0.04,100
99,1997-12-31,1998-01-20,0.08,0.1,-0.02,-20
100,1997-09-30,1997-10-21,0.1,0.11,-0.01,-9.0909
101,1997-06-30,1997-07-22,0.18,0.17,0.01,5.8824
102,1997-03-31,1997-04-22,0.16,0.13,0.03,23.0769
103,1996-12-31,1997-01-23,0.2,0.19,0.01,5.2632
104,1996-09-30,1996-10-22,0.12,0.11,0.01,9.0909
105,1996-06-30,1996-07-23,0.08,0.07,0.01,14.2857
106,1996-03-31,1996-04-23,0.06,0.05,0.01,20
