,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,2.62,2.52,0.1,3.9683
1,2022-06-30,2022-07-25,2.57,2.23,0.34,15.2466
2,2022-03-31,2022-04-26,2.13,2.02,0.11,5.4455
3,2021-12-31,2022-01-25,2.89,2.78,0.11,3.9568
4,2021-09-30,2021-10-26,3.01,2.75,0.26,9.4545
5,2021-06-30,2021-07-26,2.76,2.46,0.3,12.1951
6,2021-03-31,2021-04-27,2.5,2.4,0.1,4.1667
7,2020-12-31,2021-01-26,2.59,2.47,0.12,4.8583
8,2020-09-30,2020-10-26,2.43,2.37,0.06,2.5316
9,2020-06-30,2020-07-27,2.18,2.04,0.14,6.8627
10,2020-03-31,2020-04-27,2.23,1.96,0.27,13.7755
11,2019-12-31,2020-01-27,2.55,2.43,0.12,4.9383
12,2019-09-30,2019-10-23,2.59,2.55,0.04,1.5686
13,2019-06-30,2019-07-24,2.52,2.56,-0.04,-1.5625
14,2019-03-31,2019-04-24,2.57,2.55,0.02,0.7843
15,2018-12-31,2019-01-23,2.7,2.54,0.16,6.2992
16,2018-09-30,2018-10-24,2.9,2.63,0.27,10.2662
17,2018-06-30,2018-07-25,2.44,2.39,0.05,2.0921
18,2018-03-31,2018-04-25,2.31,2.27,0.04,1.7621
19,2017-12-31,2018-01-24,2.26,2.04,0.22,10.7843
20,2017-09-30,2017-10-25,2.44,2.21,0.23,10.4072
21,2017-06-30,2017-07-26,2.03,2.03,0,0
22,2017-03-31,2017-04-26,1.95,1.97,-0.02,-1.0152
23,2016-12-31,2017-01-25,1.98,1.94,0.04,2.0619
24,2016-09-30,2016-10-26,2.11,1.94,0.17,8.7629
25,2016-06-30,2016-07-20,1.81,1.79,0.02,1.1173
26,2016-03-31,2016-04-20,1.68,1.63,0.05,3.0675
27,2015-12-31,2016-01-20,1.73,1.6,0.13,8.125
28,2015-09-30,2015-10-28,1.84,1.74,0.1,5.7471
29,2015-06-30,2015-07-22,1.67,1.6,0.07,4.375
30,2015-03-31,2015-04-22,1.59,1.5,0.09,6
31,2014-12-31,2015-01-21,1.55,1.49,0.06,4.0268
32,2014-09-30,2014-10-29,1.57,1.48,0.09,6.0811
33,2014-06-30,2014-07-23,1.39,1.35,0.04,2.963
34,2014-03-31,2014-04-23,1.27,1.25,0.02,1.6
35,2013-12-31,2014-01-22,1.22,1.19,0.03,2.521
36,2013-09-30,2013-10-23,1.26,1.19,0.07,5.8824
37,2013-06-30,2013-07-24,1.12,1.08,0.04,3.7037
38,2013-03-31,2013-04-24,1.07,1.06,0.01,0.9434
39,2012-12-31,2013-01-23,1.14,1.15,-0.01,-0.8696
40,2012-09-30,2012-10-24,1.12,1.18,-0.06,-5.0847
41,2012-06-30,2012-07-18,1.14,1.14,0,0
42,2012-03-31,2012-04-18,1.09,1.07,0.02,1.8692
43,2011-12-31,2012-01-18,1.03,1.01,0.02,1.9802
44,2011-09-30,2011-10-25,1.06,0.98,0.08,8.1633
45,2011-06-30,2011-07-20,0.97,0.91,0.06,6.5934
46,2011-03-31,2011-04-20,0.88,0.85,0.03,3.5294
47,2010-12-31,2011-01-19,0.88,0.83,0.05,6.0241
48,2010-09-30,2010-10-26,0.79,0.72,0.07,9.7222
49,2010-06-30,2010-07-21,0.66,0.59,0.07,11.8644
50,2010-03-31,2010-04-21,0.56,0.54,0.02,3.7037
51,2009-12-31,2010-01-20,0.52,0.49,0.03,6.1224
52,2009-09-30,2009-10-21,0.5,0.41,0.09,21.9512
53,2009-06-30,2009-07-22,0.4,0.37,0.03,8.1081
54,2009-03-31,2009-04-22,0.38,0.38,0,0
55,2008-12-31,2009-01-21,0.4,0.4,0,0
56,2008-09-30,2008-10-22,0.24,0.2,0.04,20
57,2008-06-30,2008-07-23,0.23,0.22,0.01,4.5455
58,2008-03-31,2008-04-23,0.21,0.21,0,0
59,2007-12-31,2008-01-23,0.21,0.21,0,0
60,2007-09-30,2007-10-24,0.15,0.11,0.04,36.3636
61,2007-06-30,2007-07-25,0.26,0.25,0.01,4
62,2007-03-31,2007-04-25,0.24,0.23,0.01,4.3478
63,2006-12-31,2007-01-24,0.35,0.3,0.05,16.6667
64,2006-09-30,2006-11-08,0.25,0.26,-0.01,-3.8462
65,2006-06-30,2006-07-20,0.2036,None,None,None
66,2006-03-31,2006-04-20,0.25,0.25,0,0
67,2005-12-31,2006-01-19,0.24,0.23,0.01,4.3478
68,2005-09-30,2005-10-25,0.24,0.19,0.05,26.3158
69,2005-06-30,2005-07-20,0.18,0.17,0.01,5.8824
70,2005-03-31,2005-04-20,0.16,0.15,0.01,6.6667
71,2004-12-31,2005-01-19,0.13,0.11,0.02,18.1818
72,2004-09-30,2004-10-26,0.14,0.11,0.03,27.2727
73,2004-06-30,2004-07-21,0.1,0.09,0.01,11.1111
74,2004-03-31,2004-04-21,0.08,0.07,0.01,14.2857
75,2003-12-31,2004-01-21,0.06,0.03,0.03,100
76,2003-09-30,2003-10-29,0.03,0.01,0.02,200
77,2003-06-30,2003-07-23,0.03,0.02,0.01,50
78,2003-03-31,2003-04-23,0.02,0.01,0.01,100
79,2002-12-31,2003-01-22,0.01,None,None,None
80,2002-09-30,2002-10-29,-0.01,-0.01,0,0
81,2002-06-30,2002-07-24,-0.02,-0.03,0.01,33.3333
82,2002-03-31,2002-04-24,-0.04,-0.03,-0.01,-33.3333
83,2001-12-31,2002-01-23,-0.04,-0.05,0.01,20
84,2001-09-30,2001-10-25,-0.05,-0.05,0,0
85,2001-06-30,2001-07-25,-0.02,-0.02,0,0
86,2001-03-31,2001-04-19,-0.09,-0.12,0.03,25
87,2000-12-31,2001-01-30,-0.23,-0.24,0.01,4.1667
88,2000-09-30,2000-10-26,0.08,0.08,0,0
89,2000-06-30,2000-07-25,0.09,0.09,0,0
90,2000-03-31,2000-04-25,0.09,0.09,0,0
91,1999-12-31,2000-01-25,0.09,0.05,0.04,80
92,1999-09-30,1999-10-26,0.06,-0.01,0.07,700
93,1999-06-30,1999-07-20,-0.05,-0.09,0.04,44.4444
