,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,1.74,1.75,-0.01,-0.5714
1,2022-06-30,2022-08-03,1.73,1.71,0.02,1.1696
2,2022-03-31,2022-05-03,1.47,1.45,0.02,1.3793
3,2021-12-31,2022-02-15,1.92,1.9,0.02,1.0526
4,2021-09-30,2021-11-04,1.73,1.68,0.05,2.9762
5,2021-06-30,2021-08-03,1.61,1.55,0.06,3.871
6,2021-03-31,2021-05-06,1.3,1.25,0.05,4
7,2020-12-31,2021-02-09,1.62,1.56,0.06,3.8462
8,2020-09-30,2020-10-29,1.42,1.41,0.01,0.7092
9,2020-06-30,2020-08-04,1.15,1.1,0.05,4.5455
10,2020-03-31,2020-05-07,1.28,1.28,0,0
11,2019-12-31,2020-02-13,1.57,1.53,0.04,2.6144
12,2019-09-30,2019-11-05,1.43,1.36,0.07,5.1471
13,2019-06-30,2019-08-06,1.3,1.78,-0.48,-26.9663
14,2019-03-31,2019-04-30,1.16,1.54,-0.38,-24.6753
15,2018-12-31,2019-02-12,1.6,1.59,0.01,0.6289
16,2018-09-30,2018-10-30,1.33,1.3,0.03,2.3077
17,2018-06-30,2018-07-31,1.23,1.21,0.02,1.6529
18,2018-03-31,2018-05-01,1.09,1.05,0.04,3.8095
19,2017-12-31,2018-02-06,1.36,1.34,0.02,1.4925
20,2017-09-30,2017-10-31,1.18,1.06,0.12,11.3208
21,2017-06-30,2017-08-02,1.02,0.97,0.05,5.1546
22,2017-03-31,2017-05-02,0.86,0.82,0.04,4.878
23,2016-12-31,2017-02-07,1.14,1.14,0,0
24,2016-09-30,2016-11-01,1,0.98,0.02,2.0408
25,2016-06-30,2016-07-26,0.9,0.87,0.03,3.4483
26,2016-03-31,2016-05-03,0.79,0.75,0.04,5.3333
27,2015-12-31,2016-02-09,0.93,0.92,0.01,1.087
28,2015-09-30,2015-11-03,0.9,0.91,-0.01,-1.0989
29,2015-06-30,2015-07-23,0.74,0.71,0.03,4.2254
30,2015-03-31,2015-04-30,0.65,0.66,-0.01,-1.5152
31,2014-12-31,2015-02-05,0.87,0.87,0,0
32,2014-09-30,2014-10-30,0.8,0.79,0.01,1.2658
33,2014-06-30,2014-07-29,0.75,0.74,0.01,1.3514
34,2014-03-31,2014-05-01,0.68,0.68,0,0
35,2013-12-31,2014-02-04,0.76,0.78,-0.02,-2.5641
36,2013-09-30,2013-10-29,0.74,0.71,0.03,4.2254
37,2013-06-30,2013-07-30,0.71,0.7,0.01,1.4286
38,2013-03-31,2013-04-30,0.62,0.6,0.02,3.3333
39,2012-12-31,2013-02-12,0.68,0.69,-0.01,-1.4493
40,2012-09-30,2012-11-05,0.63,0.62,0.01,1.6129
41,2012-06-30,2012-07-17,0.66,0.59,0.07,11.8644
42,2012-03-31,2012-04-26,0.55,0.51,0.04,7.8431
43,2011-12-31,2012-02-13,0.66,0.65,0.01,1.5385
44,2011-09-30,2011-11-01,0.62,0.61,0.01,1.6393
45,2011-06-30,2011-07-19,0.55,0.54,0.01,1.8519
46,2011-03-31,2011-05-03,0.45,0.45,0,0
47,2010-12-31,2011-02-08,0.64,0.6,0.04,6.6667
48,2010-09-30,2010-10-26,0.52,0.51,0.01,1.9608
49,2010-06-30,2010-07-20,0.46,0.46,0,0
50,2010-03-31,2010-04-27,0.41,0.39,0.02,5.1282
51,2009-12-31,2010-02-04,0.44,0.43,0.01,2.3256
52,2009-09-30,2009-10-21,0.46,0.47,-0.01,-2.1277
53,2009-06-30,2009-07-28,0.42,0.36,0.06,16.6667
54,2009-03-31,2009-04-28,0.31,0.31,0,0
55,2008-12-31,2009-02-10,0.48,0.44,0.04,9.0909
56,2008-09-30,2008-10-27,0.42,0.4,0.02,5
57,2008-06-30,2008-08-05,0.36,0.34,0.02,5.8824
58,2008-03-31,2008-04-24,0.57,0.58,-0.01,-1.7241
59,2007-12-31,2008-02-14,0.68,0.69,-0.01,-1.4493
60,2007-09-30,2007-10-24,0.63,0.64,-0.01,-1.5625
61,2007-06-30,2007-07-24,0.59,0.59,0,0
62,2007-03-31,2007-04-25,0.54,0.52,0.02,3.8462
63,2006-12-31,2007-02-06,0.58,0.58,0,0
64,2006-09-30,2006-10-25,0.57,0.56,0.01,1.7857
65,2006-06-30,2006-07-25,0.51,0.51,0,0
66,2006-03-31,2006-04-26,0.45,0.45,0,0
67,2005-12-31,2006-01-27,0.61,0.61,0,0
68,2005-09-30,2005-10-25,0.48,0.47,0.01,2.1277
69,2005-06-30,2005-07-21,0.4,0.4,0,0
70,2005-03-31,2005-04-21,0.34,0.3,0.04,13.3333
71,2004-12-31,2005-01-26,0.56,0.55,0.01,1.8182
72,2004-09-30,2004-10-21,0.46,0.46,0,0
73,2004-06-30,2004-07-22,0.39,0.38,0.01,2.6316
74,2004-03-31,2004-04-21,0.32,0.31,0.01,3.2258
75,2003-12-31,2004-01-28,0.5,0.49,0.01,2.0408
76,2003-09-30,2003-10-23,0.4,0.4,0,0
77,2003-06-30,2003-07-24,0.35,0.34,0.01,2.9412
78,2003-03-31,2003-04-24,0.3,0.25,0.05,20
79,2002-12-31,2003-01-24,0.46,0.44,0.02,4.5455
80,2002-09-30,2002-10-22,0.4,0.4,0,0
81,2002-06-30,2002-07-23,0.33,0.32,0.01,3.125
82,2002-03-31,2002-04-23,0.23,0.22,0.01,4.5455
83,2001-12-31,2002-01-22,0.38,0.38,0,0
84,2001-09-30,2001-10-18,0.35,0.34,0.01,2.9412
85,2001-06-30,2001-06-30,0.3116,None,None,None
