,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,4.24,4.18,0.06,1.4354
1,2022-06-30,2022-08-03,4.17,3.82,0.35,9.1623
2,2022-03-31,2022-05-05,3.65,3.53,0.12,3.3994
3,2021-12-31,2022-02-08,3.72,3.6,0.12,3.3333
4,2021-09-30,2021-11-03,3.52,3.48,0.04,1.1494
5,2021-06-30,2021-08-04,3.15,2.94,0.21,7.1429
6,2021-03-31,2021-05-05,2.82,2.73,0.09,3.2967
7,2020-12-31,2021-02-04,3.01,2.82,0.19,6.7376
8,2020-09-30,2020-11-05,2.8,2.65,0.15,5.6604
9,2020-06-30,2020-08-06,2.28,2.17,0.11,5.0691
10,2020-03-31,2020-05-07,3,2.83,0.17,6.0071
11,2019-12-31,2020-02-06,3.17,3.14,0.03,0.9554
12,2019-09-30,2019-11-06,3.1,3.05,0.05,1.6393
13,2019-06-30,2019-08-06,2.85,2.8,0.05,1.7857
14,2019-03-31,2019-05-07,2.67,2.64,0.03,1.1364
15,2018-12-31,2019-02-06,2.78,2.72,0.06,2.2059
16,2018-09-30,2018-10-30,2.68,2.66,0.02,0.7519
17,2018-06-30,2018-08-02,2.57,2.53,0.04,1.581
18,2018-03-31,2018-05-03,2.5,2.37,0.13,5.4852
19,2017-12-31,2018-02-08,2.42,2.33,0.09,3.8627
20,2017-09-30,2017-11-01,2.18,2.15,0.03,1.3953
21,2017-06-30,2017-08-03,1.99,1.97,0.02,1.0152
22,2017-03-31,2017-05-01,1.96,1.87,0.09,4.8128
23,2016-12-31,2017-02-08,1.9,1.87,0.03,1.6043
24,2016-09-30,2016-11-01,1.92,1.86,0.06,3.2258
25,2016-06-30,2016-08-04,1.56,1.54,0.02,1.2987
26,2016-03-31,2016-05-04,1.53,1.5,0.03,2
27,2015-12-31,2016-02-04,1.7,1.61,0.09,5.5901
28,2015-09-30,2015-11-04,1.67,1.61,0.06,3.7267
29,2015-06-30,2015-08-05,1.48,1.46,0.02,1.3699
30,2015-03-31,2015-04-30,1.45,1.4,0.05,3.5714
31,2014-12-31,2015-02-05,1.39,1.36,0.03,2.2059
32,2014-09-30,2014-10-30,1.37,1.34,0.03,2.2388
33,2014-06-30,2014-07-31,1.27,1.25,0.02,1.6
34,2014-03-31,2014-05-01,1.12,1.07,0.05,4.6729
35,2013-12-31,2014-02-05,1.08,1.06,0.02,1.8868
36,2013-09-30,2013-10-30,1.08,0.98,0.1,10.2041
37,2013-06-30,2013-08-01,1,0.95,0.05,5.2632
38,2013-03-31,2013-05-02,0.9,0.83,0.07,8.4337
39,2012-12-31,2013-02-07,0.82,0.75,0.07,9.3333
40,2012-09-30,2012-11-08,0.83,0.73,0.1,13.6986
41,2012-06-30,2012-08-08,0.73,0.65,0.08,12.3077
42,2012-03-31,2012-05-09,0.6,0.58,0.02,3.4483
43,2011-12-31,2012-02-08,0.56,0.5,0.06,12
44,2011-09-30,2011-11-09,0.56,0.51,0.05,9.8039
45,2011-06-30,2011-08-04,0.57,0.5,0.07,14
46,2011-03-31,2011-05-12,0.47,0.44,0.03,6.8182
47,2010-12-31,2011-02-23,0.49,0.39,0.1,25.641
