,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,1.23,1.12,0.11,9.8214
1,2022-06-30,2022-08-02,1.93,1.89,0.04,2.1164
2,2022-03-31,2022-05-02,1.88,1.71,0.17,9.9415
3,2021-12-31,2022-02-08,2.16,2.01,0.15,7.4627
4,2021-09-30,2021-11-02,1.43,1.32,0.11,8.3333
5,2021-06-30,2021-08-03,1.81,1.78,0.03,1.6854
6,2021-03-31,2021-05-05,1.53,1.51,0.02,1.3245
7,2020-12-31,2021-02-09,1.42,1.44,-0.02,-1.3889
8,2020-09-30,2020-11-02,1.22,1.11,0.11,9.9099
9,2020-06-30,2020-08-04,1.72,1.66,0.06,3.6145
10,2020-03-31,2020-05-05,1.84,1.78,0.06,3.3708
11,2019-12-31,2020-02-05,1.76,1.54,0.22,14.2857
12,2019-09-30,2019-10-29,0.94,0.81,0.13,16.0494
13,2019-06-30,2019-07-30,1.66,1.65,0.01,0.6061
14,2019-03-31,2019-05-06,1.72,1.62,0.1,6.1728
15,2018-12-31,2019-02-11,1.69,1.47,0.22,14.966
16,2018-09-30,2018-11-05,0.98,0.92,0.06,6.5217
17,2018-06-30,2018-08-01,1.78,1.72,0.06,3.4884
18,2018-03-31,2018-05-02,1.84,1.61,0.23,14.2857
19,2017-12-31,2018-02-12,1.1,1.05,0.05,4.7619
20,2017-09-30,2017-11-06,0.7,0.63,0.07,11.1111
21,2017-06-30,2017-08-01,0.48,0.47,0.01,2.1277
22,2017-03-31,2017-05-02,0.43,0.56,-0.13,-23.2143
23,2016-12-31,2017-02-06,0.88,0.89,-0.01,-1.1236
24,2016-09-30,2016-11-02,0.67,0.59,0.08,13.5593
25,2016-06-30,2016-08-02,0.69,0.68,0.01,1.4706
26,2016-03-31,2016-05-02,0.58,0.53,0.05,9.434
27,2015-12-31,2016-02-10,0.77,0.63,0.14,22.2222
28,2015-09-30,2015-10-28,0.42,0.38,0.04,10.5263
29,2015-06-30,2015-08-05,0.7,0.7,0,0
30,2015-03-31,2015-05-11,0.62,0.7,-0.08,-11.4286
31,2014-12-31,2015-02-04,1.12,1,0.12,12
32,2014-09-30,2014-10-29,0.95,0.96,-0.01,-1.0417
33,2014-06-30,2014-07-30,1.01,1.02,-0.01,-0.9804
34,2014-03-31,2014-05-06,0.95,0.95,0,0
35,2013-12-31,2014-02-05,1.05,0.94,0.11,11.7021
36,2013-09-30,2013-10-28,0.82,0.83,-0.01,-1.2048
37,2013-06-30,2013-07-29,0.94,0.94,0,0
38,2013-03-31,2013-04-30,1.1,1.08,0.02,1.8519
39,2012-12-31,2013-02-06,0.81,0.81,0,0
40,2012-09-30,2012-10-29,0.79,0.78,0.01,1.2821
41,2012-06-30,2012-07-31,0.92,0.9,0.02,2.2222
42,2012-03-31,2012-04-30,0.97,0.93,0.04,4.3011
43,2011-12-31,2012-02-08,0.79,0.69,0.1,14.4928
44,2011-09-30,2011-10-31,0.7,0.68,0.02,2.9412
45,2011-06-30,2011-08-01,0.77,0.76,0.01,1.3158
46,2011-03-31,2011-05-02,0.75,0.72,0.03,4.1667
47,2010-12-31,2011-02-07,0.54,0.52,0.02,3.8462
48,2010-09-30,2010-10-27,0.57,0.55,0.02,3.6364
49,2010-06-30,2010-07-28,0.64,0.61,0.03,4.918
50,2010-03-31,2010-05-03,0.67,0.65,0.02,3.0769
51,2009-12-31,2010-02-04,0.47,0.45,0.02,4.4444
52,2009-09-30,2009-10-28,0.45,0.45,0,0
53,2009-06-30,2009-07-29,0.55,0.58,-0.03,-5.1724
54,2009-03-31,2009-05-04,0.61,0.61,0,0
55,2008-12-31,2009-02-04,0.51,0.43,0.08,18.6047
56,2008-09-30,2008-10-28,0.56,0.51,0.05,9.8039
57,2008-06-30,2008-07-29,0.65,0.59,0.06,10.1695
58,2008-03-31,2008-04-23,0.6,0.59,0.01,1.6949
59,2007-12-31,2008-02-06,0.3,0.35,-0.05,-14.2857
60,2007-09-30,2007-10-31,0.35,0.33,0.02,6.0606
61,2007-06-30,2007-07-25,0.45,0.43,0.02,4.6512
62,2007-03-31,2007-04-30,0.46,0.42,0.04,9.5238
63,2006-12-31,2007-02-06,0.31,0.3,0.01,3.3333
64,2006-09-30,2006-11-01,0.26,0.25,0.01,4
65,2006-06-30,2006-08-01,0.37,0.38,-0.01,-2.6316
66,2006-03-31,2006-04-26,0.44,0.35,0.09,25.7143
67,2005-12-31,2006-02-06,0.27,0.23,0.04,17.3913
68,2005-09-30,2005-11-02,0.21,0.22,-0.01,-4.5455
69,2005-06-30,2005-08-02,0.34,0.32,0.02,6.25
70,2005-03-31,2005-05-02,0.28,0.22,0.06,27.2727
71,2004-12-31,2005-01-27,0.22,0.21,0.01,4.7619
72,2004-09-30,2004-10-26,0.22,0.2,0.02,10
73,2004-06-30,2004-07-27,0.28,0.21,0.07,33.3333
74,2004-03-31,2004-04-28,0.1,0.07,0.03,42.8571
75,2003-12-31,2004-02-02,0.19,0.17,0.02,11.7647
76,2003-09-30,2003-10-29,0.12,0.12,0,0
77,2003-06-30,2003-07-29,0.15,0.14,0.01,7.1429
78,2003-03-31,2003-04-30,0.01,0.01,0,0
79,2002-12-31,2003-01-28,0.16,0.15,0.01,6.6667
80,2002-09-30,2002-10-29,0.2,0.2,0,0
81,2002-06-30,2002-07-22,0.18,0.16,0.02,12.5
82,2002-03-31,2002-04-18,0.1,0.1,0,0
83,2001-12-31,2002-01-31,0.19,0.18,0.01,5.5556
84,2001-09-30,2001-11-01,0.14,0.27,-0.13,-48.1481
85,2001-06-30,2001-07-31,0.4,0.4,0,0
86,2001-03-31,2001-04-17,0.14,0.14,0,0
87,2000-12-31,2001-01-22,0.39,0.39,0,0
88,2000-09-30,2000-10-19,0.45,0.43,0.02,4.6512
89,2000-06-30,2000-07-20,0.58,0.57,0.01,1.7544
90,2000-03-31,2000-04-19,0.26,0.26,0,0
91,1999-12-31,2000-01-24,0.42,0.4,0.02,5
92,1999-09-30,1999-10-14,0.33,0.31,0.02,6.4516
93,1999-06-30,1999-07-19,0.53,0.52,0.01,1.9231
94,1999-03-31,1999-04-19,0.24,0.21,0.03,14.2857
95,1998-12-31,1999-01-21,0.27,0.25,0.02,8
96,1998-09-30,1998-10-21,0.4,0.39,0.01,2.5641
97,1998-06-30,1998-07-16,0.49,0.47,0.02,4.2553
98,1998-03-31,1998-04-15,0.19,0.18,0.01,5.5556
99,1997-12-31,1998-01-21,0.13,0.12,0.01,8.3333
100,1997-09-30,1997-10-16,0.41,0.43,-0.02,-4.6512
101,1997-06-30,1997-07-17,0.48,0.47,0.01,2.1277
102,1997-03-31,1997-04-17,0.26,0.26,0,0
103,1996-12-31,1997-01-21,0.29,0.29,0,0
104,1996-09-30,1996-10-16,0.39,0.39,0,0
105,1996-06-30,1996-07-18,0.38,0.37,0.01,2.7027
106,1996-03-31,1996-04-16,0.36,0.41,-0.05,-12.1951
