,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,1.21,1.14,0.07,6.1404
1,2022-06-30,2022-08-10,0.74,0.75,-0.01,-1.3333
2,2022-03-31,2022-05-10,0.81,0.88,-0.07,-7.9545
3,2021-12-31,2022-02-09,0.13,0.03,0.1,333.3333
4,2021-09-30,2021-11-03,1.11,1.03,0.08,7.767
5,2021-06-30,2021-08-04,0.65,0.58,0.07,12.069
6,2021-03-31,2021-05-05,0.88,0.58,0.3,51.7241
7,2020-12-31,2021-02-09,0.16,-0.03,0.19,633.3333
8,2020-09-30,2020-11-03,1.18,0.74,0.44,59.4595
9,2020-06-30,2020-08-04,0.62,0.57,0.05,8.7719
10,2020-03-31,2020-05-06,0.93,0.7,0.23,32.8571
11,2019-12-31,2020-02-05,0.1,-0.02,0.12,600
12,2019-09-30,2019-11-06,0.83,0.69,0.14,20.2899
13,2019-06-30,2019-08-07,0.62,0.59,0.03,5.0847
14,2019-03-31,2019-05-08,0.76,0.67,0.09,13.4328
15,2018-12-31,2019-02-06,0.63,0.37,0.26,70.2703
16,2018-09-30,2018-11-07,0.55,0,0.55,None
