,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,0.79,0.76,0.03,3.9474
1,2022-06-30,2022-07-28,0.78,0.72,0.06,8.3333
2,2022-03-31,2022-04-28,0.7,0.68,0.02,2.9412
3,2021-12-31,2022-02-03,0.79,0.78,0.01,1.2821
4,2021-09-30,2021-10-28,0.66,0.65,0.01,1.5385
5,2021-06-30,2021-07-29,0.66,0.6,0.06,10
6,2021-03-31,2021-04-29,0.63,0.6,0.03,5
7,2020-12-31,2021-02-04,0.7,0.62,0.08,12.9032
8,2020-09-30,2020-10-27,0.94,0.85,0.09,10.5882
9,2020-06-30,2020-07-28,0.68,0.58,0.1,17.2414
10,2020-03-31,2020-04-30,0.74,0.71,0.03,4.2254
11,2019-12-31,2020-02-06,1.03,0.97,0.06,6.1856
12,2019-09-30,2019-10-24,0.87,0.87,0,0
13,2019-06-30,2019-07-25,0.9,0.9,0,0
14,2019-03-31,2019-04-25,0.69,0.69,0,0
15,2018-12-31,2019-02-07,0.91,0.85,0.06,7.0588
16,2018-09-30,2018-10-25,0.74,0.87,-0.13,-14.9425
17,2018-06-30,2018-07-26,0.76,0.89,-0.13,-14.6067
18,2018-03-31,2018-04-26,0.65,0.75,-0.1,-13.3333
19,2017-12-31,2018-02-08,0.82,0.78,0.04,5.1282
20,2017-09-30,2017-10-26,0.77,0.73,0.04,5.4795
21,2017-06-30,2017-07-27,0.71,0.69,0.02,2.8986
22,2017-03-31,2017-04-27,0.6,0.57,0.03,5.2632
23,2016-12-31,2017-02-07,0.68,0.67,0.01,1.4925
24,2016-09-30,2016-10-27,0.67,0.59,0.08,13.5593
25,2016-06-30,2016-08-03,0.64,0.61,0.03,4.918
26,2016-03-31,2016-06-15,0.48,0,0.48,None
