,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-08,0.45,0.45,0,0
1,2022-06-30,2022-08-04,0.45,0.43,0.02,4.6512
2,2022-03-31,2022-05-05,0.46,0.45,0.01,2.2222
3,2021-12-31,2022-02-03,0.44,0.43,0.01,2.3256
4,2021-09-30,2021-11-04,0.43,0.42,0.01,2.381
5,2021-06-30,2021-07-27,0.42,0.41,0.01,2.439
6,2021-03-31,2021-05-10,0.4,0.38,0.02,5.2632
7,2020-12-31,2021-02-04,0.38,0.37,0.01,2.7027
8,2020-09-30,2020-11-05,0.36,0.33,0.03,9.0909
9,2020-06-30,2020-08-06,0.31,0.22,0.09,40.9091
10,2020-03-31,2020-05-14,0.26,0.19,0.07,36.8421
11,2019-12-31,2020-02-06,0.25,0.08,0.17,212.5
12,2019-09-30,2019-11-07,0.18,0.41,-0.23,-56.0976
13,2019-06-30,2019-08-08,0.43,0.33,0.1,30.303
14,2019-03-31,2019-05-09,0.39,0.39,0,0
15,2018-12-31,2019-01-31,0.44,0.39,0.05,12.8205
16,2018-09-30,2018-11-01,0.42,0.33,0.09,27.2727
17,2018-06-30,2018-08-02,0.34,0.33,0.01,3.0303
18,2018-03-31,2018-05-10,0.46,0.39,0.07,17.9487
19,2017-12-31,2018-01-31,0.49,0.44,0.05,11.3636
20,2017-09-30,2017-11-01,0.4,0.43,-0.03,-6.9767
21,2017-06-30,2017-08-02,0.33,0.31,0.02,6.4516
22,2017-03-31,2017-05-09,-0.55,-0.25,-0.3,-120
23,2016-12-31,2017-02-01,0.32,0.28,0.04,14.2857
24,2016-09-30,2016-11-03,0.3,0.2,0.1,50
25,2016-06-30,2016-08-04,0.29,0.25,0.04,16
26,2016-03-31,2016-05-09,-0.48,0.03,-0.51,-1700
27,2015-12-31,2016-02-04,0.26,0.24,0.02,8.3333
28,2015-09-30,2015-11-05,0.44,0.42,0.02,4.7619
29,2015-06-30,2015-08-06,0.14,0.09,0.05,55.5556
30,2015-03-31,2015-05-07,0.07,0.04,0.03,75
31,2014-12-31,2015-02-05,0.53,0.49,0.04,8.1633
32,2014-09-30,2014-11-03,0.13,0.07,0.06,85.7143
33,2014-06-30,2014-08-06,0.45,0.42,0.03,7.1429
34,2014-03-31,2014-05-05,0.06,0.07,-0.01,-14.2857
35,2013-12-31,2014-01-29,0.51,0.43,0.08,18.6047
36,2013-09-30,2013-10-23,0.5,0.44,0.06,13.6364
37,2013-06-30,2013-07-30,0.44,0.36,0.08,22.2222
38,2013-03-31,2013-05-06,0.1,0.18,-0.08,-44.4444
39,2012-12-31,2013-01-23,0.45,0.38,0.07,18.4211
40,2012-09-30,2012-10-24,0.45,0.38,0.07,18.4211
41,2012-06-30,2012-07-25,0.43,0.38,0.05,13.1579
42,2012-03-31,2012-05-02,0.17,0.19,-0.02,-10.5263
43,2011-12-31,2012-01-25,0.42,0.41,0.01,2.439
44,2011-09-30,2011-10-26,0.39,0.39,0,0
45,2011-06-30,2011-07-27,0.4,0.37,0.03,8.1081
46,2011-03-31,2011-05-03,0.34,0.3,0.04,13.3333
47,2010-12-31,2011-01-26,0.35,0.33,0.02,6.0606
48,2010-09-30,2010-10-27,0.34,0.28,0.06,21.4286
49,2010-06-30,2010-07-28,0.35,0.35,0,0
50,2010-03-31,2010-05-03,0.24,0.23,0.01,4.3478
51,2009-12-31,2010-01-27,0.4,0.37,0.03,8.1081
52,2009-09-30,2009-10-28,0.36,0.33,0.03,9.0909
53,2009-06-30,2009-07-29,0.33,0.35,-0.02,-5.7143
54,2009-03-31,2009-05-05,0.29,0.27,0.02,7.4074
55,2008-12-31,2009-02-10,0.28,0.27,0.01,3.7037
56,2008-09-30,2008-11-06,0.26,0.25,0.01,4
57,2008-06-30,2008-08-05,0.24,0.24,0,0
58,2008-03-31,2008-05-06,0.23,0.23,0,0
59,2007-12-31,2008-02-12,0.21,0.23,-0.02,-8.6957
60,2007-09-30,2007-11-06,0.19,0.2,-0.01,-5
61,2007-06-30,2007-08-07,0.18,0.18,0,0
62,2007-03-31,2007-05-03,0.0776,None,None,None
63,2006-12-31,2007-01-24,0.1181,None,None,None
64,2006-09-30,2006-10-25,0.1249,None,None,None
65,2006-06-30,2006-07-26,0.0904,None,None,None
66,2006-03-31,2006-05-09,0.1116,None,None,None
67,2005-12-31,2006-01-31,0.0827,None,None,None
