,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,1.9,1.43,0.47,32.8671
1,2022-06-30,2022-08-02,1.58,1.52,0.06,3.9474
2,2022-03-31,2022-04-28,2.12,1.81,0.31,17.1271
3,2021-12-31,2022-02-01,0.69,1.59,-0.9,-56.6038
4,2021-09-30,2021-10-28,2.65,1.75,0.9,51.4286
5,2021-06-30,2021-07-29,1.87,1.73,0.14,8.0925
6,2021-03-31,2021-04-29,2.08,2.09,-0.01,-0.4785
7,2020-12-31,2021-02-04,2.19,2.15,0.04,1.8605
8,2020-09-30,2020-10-28,2.11,1.9,0.21,11.0526
9,2020-06-30,2020-07-30,1.11,1.45,-0.34,-23.4483
10,2020-03-31,2020-04-30,1.68,1.58,0.1,6.3291
11,2019-12-31,2020-02-04,1.3,1.67,-0.37,-22.1557
12,2019-09-30,2019-10-24,1.75,1.74,0.01,0.5747
13,2019-06-30,2019-07-30,1.82,1.72,0.1,5.814
14,2019-03-31,2019-05-02,1.76,1.61,0.15,9.3168
15,2018-12-31,2019-02-04,1.44,1.7,-0.26,-15.2941
16,2018-09-30,2018-10-25,1.84,1.63,0.21,12.8834
17,2018-06-30,2018-07-25,1.91,1.56,0.35,22.4359
18,2018-03-31,2018-05-01,1.48,1.67,-0.19,-11.3772
19,2017-12-31,2018-02-06,1.78,1.67,0.11,6.5868
20,2017-09-30,2017-10-26,2.27,2.13,0.14,6.5728
21,2017-06-30,2017-07-26,2.56,2.15,0.41,19.0698
22,2017-03-31,2017-05-02,2.23,2.28,-0.05,-2.193
23,2016-12-31,2017-02-07,2.7,2.61,0.09,3.4483
24,2016-09-30,2016-11-01,2.75,2.86,-0.11,-3.8462
25,2016-06-30,2016-07-25,3.08,3.02,0.06,1.9868
26,2016-03-31,2016-04-28,3.03,3.15,-0.12,-3.8095
27,2015-12-31,2016-02-02,3.32,3,0.32,10.6667
28,2015-09-30,2015-10-27,3.22,2.87,0.35,12.1951
29,2015-06-30,2015-07-28,3.15,2.71,0.44,16.2362
30,2015-03-31,2015-04-30,2.94,2.32,0.62,26.7241
31,2014-12-31,2015-02-03,2.43,2.22,0.21,9.4595
32,2014-09-30,2014-10-28,1.84,1.92,-0.08,-4.1667
33,2014-06-30,2014-07-23,2.36,1.79,0.57,31.8436
34,2014-03-31,2014-04-22,1.48,0.91,0.57,62.6374
35,2013-12-31,2014-02-04,0.55,0.5,0.05,10
36,2013-09-30,2013-10-29,0.52,0.48,0.04,8.3333
37,2013-06-30,2013-07-25,0.5,0.5,0,0
38,2013-03-31,2013-05-02,0.48,0.5,-0.02,-4
39,2012-12-31,2013-02-04,0.5,0.48,0.02,4.1667
40,2012-09-30,2012-10-23,0.5,0.47,0.03,6.383
41,2012-06-30,2012-07-26,0.5,0.48,0.02,4.1667
42,2012-03-31,2012-04-26,0.46,0.47,-0.01,-2.1277
43,2011-12-31,2012-02-02,0.49,0.52,-0.03,-5.7692
44,2011-09-30,2011-10-27,0.51,0.5,0.01,2
45,2011-06-30,2011-07-26,0.5,0.5,0,0
46,2011-03-31,2011-04-20,0.44,0.48,-0.04,-8.3333
47,2010-12-31,2011-01-25,0.48,0.47,0.01,2.1277
48,2010-09-30,2010-10-19,0.45,0.44,0.01,2.2727
49,2010-06-30,2010-07-20,0.43,0.43,0,0
50,2010-03-31,2010-04-20,0.5,0.48,0.02,4.1667
51,2009-12-31,2010-01-26,0.47,0.42,0.05,11.9048
52,2009-09-30,2009-10-20,0.39,0.34,0.05,14.7059
