,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,2.25,1.88,0.37,19.6809
1,2022-06-30,2022-07-26,1.14,1.2,-0.06,-5
2,2022-03-31,2022-04-26,2.09,1.67,0.42,25.1497
3,2021-12-31,2022-02-01,1.35,1.19,0.16,13.4454
4,2021-09-30,2021-10-27,1.52,0.96,0.56,58.3333
5,2021-06-30,2021-08-04,1.97,2.23,-0.26,-11.6592
6,2021-03-31,2021-05-05,2.25,1.04,1.21,116.3462
7,2020-12-31,2021-02-10,1.93,1.6,0.33,20.625
8,2020-09-30,2020-11-05,2.83,1.38,1.45,105.0725
9,2020-06-30,2020-07-29,-0.5,-1.77,1.27,71.7514
10,2020-03-31,2020-05-06,0.62,0.3,0.32,106.6667
11,2019-12-31,2020-02-05,0.05,0.01,0.04,400
12,2019-09-30,2019-10-29,1.72,1.31,0.41,31.2977
13,2019-06-30,2019-08-01,1.64,1.44,0.2,13.8889
14,2019-03-31,2019-04-30,1.41,1.11,0.3,27.027
15,2018-12-31,2019-02-06,1.43,1.22,0.21,17.2131
16,2018-09-30,2018-10-31,1.87,1.25,0.62,49.6
17,2018-06-30,2018-07-25,1.81,1.78,0.03,1.6854
18,2018-03-31,2018-04-26,1.43,1.24,0.19,15.3226
19,2017-12-31,2018-02-06,1.65,1.38,0.27,19.5652
20,2017-09-30,2017-10-24,1.32,1.12,0.2,17.8571
21,2017-06-30,2017-07-25,1.89,1.69,0.2,11.8343
22,2017-03-31,2017-04-28,1.7,1.48,0.22,14.8649
23,2016-12-31,2017-02-07,1.28,1.17,0.11,9.4017
24,2016-09-30,2016-10-25,1.72,1.45,0.27,18.6207
25,2016-06-30,2016-07-21,1.86,1.52,0.34,22.3684
26,2016-03-31,2016-04-21,1.26,1,0.26,26
27,2015-12-31,2016-02-03,1.39,1.21,0.18,14.876
28,2015-09-30,2015-10-21,1.5,1.19,0.31,26.0504
29,2015-06-30,2015-07-23,1.29,1.08,0.21,19.4444
30,2015-03-31,2015-04-23,0.86,0.97,-0.11,-11.3402
31,2014-12-31,2015-02-04,1.19,0.83,0.36,43.3735
32,2014-09-30,2014-10-23,0.97,0.95,0.02,2.1053
33,2014-06-30,2014-07-24,0.58,0.59,-0.01,-1.6949
34,2014-03-31,2014-04-24,0.29,0.04,0.25,625
35,2013-12-31,2014-02-06,0.67,0.88,-0.21,-23.8636
36,2013-09-30,2013-10-30,0.96,0.94,0.02,2.1277
37,2013-06-30,2013-07-25,0.84,0.75,0.09,12
38,2013-03-31,2013-05-02,0.67,0.54,0.13,24.0741
39,2012-12-31,2013-02-14,0.48,0.51,-0.03,-5.8824
40,2012-09-30,2012-10-31,0.93,0.6,0.33,55
41,2012-06-30,2012-08-02,0.9,0.74,0.16,21.6216
42,2012-03-31,2012-05-03,0.94,0.85,0.09,10.5882
43,2011-12-31,2012-02-16,0.39,0.41,-0.02,-4.878
44,2011-09-30,2011-11-09,1.03,0.94,0.09,9.5745
45,2011-06-30,2011-08-04,1.54,1.2,0.34,28.3333
46,2011-03-31,2011-05-05,0.95,0.91,0.04,4.3956
47,2010-12-31,2011-02-24,0.52,0.46,0.06,13.0435
