,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-28,8.27,7.25,1.02,14.069
1,2022-06-30,2022-07-29,7.19,6.65,0.54,8.1203
2,2022-03-31,2022-04-28,7.07,6.12,0.95,15.5229
3,2021-12-31,2022-02-03,5.44,5.24,0.2,3.8168
4,2021-09-30,2021-10-29,5.65,5.3,0.35,6.6038
5,2021-06-30,2021-07-30,4.27,4.61,-0.34,-7.3753
6,2021-03-31,2021-04-30,4.48,4.3,0.18,4.186
7,2020-12-31,2021-02-03,3.66,3.86,-0.2,-5.1813
8,2020-09-30,2020-10-22,4.52,4.15,0.37,8.9157
9,2020-06-30,2020-07-23,3.75,3.39,0.36,10.6195
10,2020-03-31,2020-04-23,4.24,4.43,-0.19,-4.2889
11,2019-12-31,2020-01-30,3.88,4.01,-0.13,-3.2419
12,2019-09-30,2019-10-23,4.26,4.4,-0.14,-3.1818
13,2019-06-30,2019-07-24,4.64,4.64,0,0
14,2019-03-31,2019-04-22,4.51,4.44,0.07,1.5766
15,2018-12-31,2019-01-24,3.96,3.59,0.37,10.3064
16,2018-09-30,2018-10-16,4.19,3.94,0.25,6.3452
17,2018-06-30,2018-07-18,4.37,3.72,0.65,17.4731
18,2018-03-31,2018-04-19,4.18,3.44,0.74,21.5116
19,2017-12-31,2018-01-24,2.94,2.2,0.74,33.6364
20,2017-09-30,2017-10-17,2.9,2.56,0.34,13.2813
21,2017-06-30,2017-07-19,2.74,2.65,0.09,3.3962
22,2017-03-31,2017-04-18,2.88,2.99,-0.11,-3.6789
23,2016-12-31,2017-01-25,2.45,2.36,0.09,3.8136
24,2016-09-30,2016-10-18,3.06,2.99,0.07,2.3411
25,2016-06-30,2016-07-19,2.89,3.17,-0.28,-8.8328
26,2016-03-31,2016-04-18,3.18,2.86,0.32,11.1888
27,2015-12-31,2016-01-26,2.49,2.24,0.25,11.1607
28,2015-09-30,2015-10-16,3.03,3.06,-0.03,-0.9804
29,2015-06-30,2015-07-17,3.27,3.05,0.22,7.2131
30,2015-03-31,2015-04-16,3.1,3.11,-0.01,-0.3215
31,2014-12-31,2015-01-26,2.8,2.83,-0.03,-1.0601
