,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-18,1.42,1.52,-0.1,-6.5789
1,2022-06-30,2022-07-19,1.15,0.94,0.21,22.3404
2,2022-03-31,2022-04-19,0.57,0.61,-0.04,-6.5574
3,2021-12-31,2022-02-07,1.21,0.88,0.33,37.5
4,2021-09-30,2021-10-26,1.96,1.69,0.27,15.9763
5,2021-06-30,2021-07-26,1.05,0.47,0.58,123.4043
6,2021-03-31,2021-04-27,1,0.65,0.35,53.8462
7,2020-12-31,2021-02-08,1.27,1.14,0.13,11.4035
8,2020-09-30,2020-10-26,1.88,1.63,0.25,15.3374
9,2020-06-30,2020-07-27,0.02,0.23,-0.21,-91.3043
10,2020-03-31,2020-04-29,0.57,0.58,-0.01,-1.7241
11,2019-12-31,2020-02-11,1.24,0.91,0.33,36.2637
12,2019-09-30,2019-10-22,1.84,2.21,-0.37,-16.7421
13,2019-06-30,2019-07-23,0.78,0.5,0.28,56
14,2019-03-31,2019-04-23,0.21,-0.11,0.32,290.9091
15,2018-12-31,2019-02-08,1.33,1.67,-0.34,-20.3593
16,2018-09-30,2018-10-22,1.93,2.23,-0.3,-13.4529
17,2018-06-30,2018-07-23,0.48,0.29,0.19,65.5172
18,2018-03-31,2018-04-23,0.1,0.33,-0.23,-69.697
19,2017-12-31,2018-02-07,2.3,1.8,0.5,27.7778
20,2017-09-30,2017-10-23,2.09,1.94,0.15,7.732
21,2017-06-30,2017-07-24,0.53,0.46,0.07,15.2174
22,2017-03-31,2017-04-24,0.54,0.38,0.16,42.1053
23,2016-12-31,2017-02-06,1.64,1.27,0.37,29.1339
24,2016-09-30,2016-10-17,2.03,1.74,0.29,16.6667
25,2016-06-30,2016-07-18,0.41,0.39,0.02,5.1282
26,2016-03-31,2016-04-18,0.38,0.24,0.14,58.3333
27,2015-12-31,2016-02-08,1.39,1.3,0.09,6.9231
28,2015-09-30,2015-10-19,1.58,1.52,0.06,3.9474
29,2015-06-30,2015-07-20,0.33,0.28,0.05,17.8571
30,2015-03-31,2015-04-20,0.21,0.08,0.13,162.5
31,2014-12-31,2015-02-09,1.22,1.21,0.01,0.8264
32,2014-09-30,2014-10-20,1.46,1.45,0.01,0.6897
33,2014-06-30,2014-07-21,0.36,0.36,0,0
34,2014-03-31,2014-04-21,0.14,0.1,0.04,40
35,2013-12-31,2014-02-10,1.12,1.22,-0.1,-8.1967
36,2013-09-30,2013-10-21,1.31,1.29,0.02,1.5504
37,2013-06-30,2013-07-22,0.29,0.34,-0.05,-14.7059
38,2013-03-31,2013-04-22,0.05,0.04,0.01,25
39,2012-12-31,2013-02-07,1.2,1.19,0.01,0.8403
40,2012-09-30,2012-10-22,1.24,1.2,0.04,3.3333
41,2012-06-30,2012-07-23,0.33,0.23,0.1,43.4783
42,2012-03-31,2012-04-23,0.04,0.08,-0.04,-50
43,2011-12-31,2012-02-06,1.06,1.05,0.01,0.9524
44,2011-09-30,2011-10-17,1.27,1.3,-0.03,-2.3077
45,2011-06-30,2011-07-18,0.33,0.39,-0.06,-15.3846
46,2011-03-31,2011-04-14,0.12,0.17,-0.05,-29.4118
