,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,1.44,1.24,0.2,16.129
1,2022-06-30,2022-07-28,2.15,1.52,0.63,41.4474
2,2022-03-31,2022-04-28,1.66,1.54,0.12,7.7922
3,2021-12-31,2022-02-03,2.02,1.53,0.49,32.0261
4,2021-09-30,2021-10-28,1.26,0.86,0.4,46.5116
5,2021-06-30,2021-07-28,2.33,1.34,0.99,73.8806
6,2021-03-31,2021-04-22,0.56,0.62,-0.06,-9.6774
7,2020-12-31,2021-02-04,1.76,1.33,0.43,32.3308
8,2020-09-30,2020-10-29,1.46,0.9,0.56,62.2222
9,2020-06-30,2020-07-30,1.22,1.22,0,0
10,2020-03-31,2020-04-29,1.34,1.35,-0.01,-0.7407
11,2019-12-31,2020-02-03,1.43,1.32,0.11,8.3333
12,2019-09-30,2019-11-04,1.5,1.24,0.26,20.9677
13,2019-06-30,2019-08-01,1.33,1.14,0.19,16.6667
14,2019-03-31,2019-05-01,1.39,1.24,0.15,12.0968
15,2018-12-31,2019-02-04,0.78,0.57,0.21,36.8421
16,2018-09-30,2018-10-25,1.15,1.06,0.09,8.4906
17,2018-06-30,2018-07-26,1.13,1.03,0.1,9.7087
18,2018-03-31,2018-04-26,1.27,1.08,0.19,17.5926
19,2017-12-31,2018-02-08,0.81,0.77,0.04,5.1948
20,2017-09-30,2017-10-23,0.6,0.57,0.03,5.2632
21,2017-06-30,2017-07-27,1.04,0.94,0.1,10.6383
22,2017-03-31,2017-04-27,1,0.99,0.01,1.0101
23,2016-12-31,2017-02-02,1.08,0.94,0.14,14.8936
24,2016-09-30,2016-10-27,1.06,0.95,0.11,11.5789
25,2016-06-30,2016-07-28,0.31,0.8,-0.49,-61.25
26,2016-03-31,2016-04-28,0.95,1.01,-0.06,-5.9406
27,2015-12-31,2016-02-04,1.07,0.98,0.09,9.1837
28,2015-09-30,2015-10-26,0.86,0.99,-0.13,-13.1313
29,2015-06-30,2015-07-27,0.91,0.77,0.14,18.1818
30,2015-03-31,2015-04-27,1.04,0.97,0.07,7.2165
31,2014-12-31,2015-02-02,0.96,0.93,0.03,3.2258
32,2014-09-30,2014-10-27,1.06,0.83,0.23,27.7108
33,2014-06-30,2014-07-30,0.31,0.68,-0.37,-54.4118
34,2014-03-31,2014-04-28,1.18,0.93,0.25,26.8817
35,2013-12-31,2014-02-03,0.94,0.9,0.04,4.4444
36,2013-09-30,2013-10-28,1.03,0.83,0.2,24.0964
37,2013-06-30,2013-07-29,0.66,0.71,-0.05,-7.0423
38,2013-03-31,2013-04-29,0.92,0.82,0.1,12.1951
39,2012-12-31,2013-02-04,0.54,0.32,0.22,68.75
40,2012-09-30,2012-11-01,0.78,0.8,-0.02,-2.5
41,2012-06-30,2012-08-01,0.23,0.45,-0.22,-48.8889
42,2012-03-31,2012-05-02,1.25,0.91,0.34,37.3626
43,2011-12-31,2012-02-07,0.69,0.53,0.16,30.1887
44,2011-09-30,2011-11-02,0.05,0.23,-0.18,-78.2609
45,2011-06-30,2011-08-03,0.0269,0.01,0.0169,169
46,2011-03-31,2011-05-02,1.16,0.95,0.21,22.1053
47,2010-12-31,2011-02-02,1.06,0.96,0.1,10.4167
48,2010-09-30,2010-11-02,1.43,0.97,0.46,47.4227
49,2010-06-30,2010-08-04,0.92,0.71,0.21,29.5775
50,2010-03-31,2010-04-29,0.14,0.11,0.03,27.2727
51,2009-12-31,2010-02-08,1.51,1.4,0.11,7.8571
52,2009-09-30,2009-11-03,1.56,1.11,0.45,40.5405
53,2009-06-30,2009-07-29,1.9,1.16,0.74,63.7931
54,2009-03-31,2009-04-30,-3.66,-3.05,-0.61,-20
55,2008-12-31,2009-02-05,-0.72,1.3,-2.02,-155.3846
56,2008-09-30,2008-10-29,-1.4,-1.34,-0.06,-4.4776
57,2008-06-30,2008-07-28,2.22,2.09,0.13,6.2201
58,2008-03-31,2008-04-28,2.51,2.46,0.05,2.0325
59,2007-12-31,2008-01-24,2.66,2.5,0.16,6.4
60,2007-09-30,2007-10-25,3.33,2.47,0.86,34.8178
61,2007-06-30,2007-07-26,2.39,2.27,0.12,5.2863
62,2007-03-31,2007-04-26,2.61,2.37,0.24,10.1266
63,2006-12-31,2007-01-25,2.37,2.26,0.11,4.8673
64,2006-09-30,2006-10-26,2.3,2.25,0.05,2.2222
65,2006-06-30,2006-07-27,1.83,1.7,0.13,7.6471
66,2006-03-31,2006-04-27,2.56,2.11,0.45,21.327
67,2005-12-31,2006-01-26,1.63,1.81,-0.18,-9.9448
68,2005-09-30,2005-11-03,1.82,1.52,0.3,19.7368
69,2005-06-30,2005-08-04,2.02,1.89,0.13,6.8783
70,2005-03-31,2005-04-28,1.93,1.81,0.12,6.6298
71,2004-12-31,2005-01-26,2,1.78,0.22,12.3596
72,2004-09-30,2004-11-04,1.57,0.69,0.88,127.5362
73,2004-06-30,2004-08-04,1.35,1.57,-0.22,-14.0127
74,2004-03-31,2004-05-04,1.7,1.47,0.23,15.6463
75,2003-12-31,2004-01-28,1.52,1.47,0.05,3.4014
76,2003-09-30,2003-11-05,1.18,1.17,0.01,0.8547
77,2003-06-30,2003-08-06,1.26,1.18,0.08,6.7797
78,2003-03-31,2003-05-13,-5.33,-2.11,-3.22,-152.6066
79,2002-12-31,2003-01-27,1.17,1.1,0.07,6.3636
80,2002-09-30,2002-10-28,1.15,1.11,0.04,3.6036
81,2002-06-30,2002-07-29,1.16,1.15,0.01,0.8696
82,2002-03-31,2002-04-22,1.17,1.11,0.06,5.4054
83,2001-12-31,2002-01-28,1.06,1.03,0.03,2.9126
84,2001-09-30,2001-10-29,-0.22,-0.22,0,0
