,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,3.44,3.42,0.02,0.5848
1,2022-06-30,2022-08-04,4.44,3.35,1.09,32.5373
2,2022-03-31,2022-05-05,3.5,3.19,0.31,9.7179
3,2021-12-31,2022-02-10,2.99,2.97,0.02,0.6734
4,2021-09-30,2021-11-04,3.65,2.99,0.66,22.0736
5,2021-06-30,2021-08-05,3.2,2.51,0.69,27.49
6,2021-03-31,2021-05-06,3.68,2.63,1.05,39.924
7,2020-12-31,2021-02-11,6.15,4.56,1.59,34.8684
8,2020-09-30,2020-11-05,5.45,4.13,1.32,31.9613
9,2020-06-30,2020-08-06,1.3,4.17,-2.87,-68.8249
10,2020-03-31,2020-05-07,4.23,4.52,-0.29,-6.4159
11,2019-12-31,2020-02-13,4.36,4.2,0.16,3.8095
12,2019-09-30,2019-11-07,3.74,3.63,0.11,3.0303
13,2019-06-30,2019-08-01,3.07,3.58,-0.51,-14.2458
14,2019-03-31,2019-05-02,2.85,3.23,-0.38,-11.7647
15,2018-12-31,2019-02-14,4.94,4.52,0.42,9.292
16,2018-09-30,2018-11-08,5.29,4.13,1.16,28.0872
17,2018-06-30,2018-08-02,5.4,4.09,1.31,32.0293
18,2018-03-31,2018-05-03,3.48,4.07,-0.59,-14.4963
19,2017-12-31,2018-02-15,3.11,2.9,0.21,7.2414
20,2017-09-30,2017-11-08,3.27,2.79,0.48,17.2043
21,2017-06-30,2017-08-03,3.21,2.67,0.54,20.2247
22,2017-03-31,2017-05-04,2.56,2.73,-0.17,-6.2271
23,2016-12-31,2017-02-16,4.2,2.45,1.75,71.4286
24,2016-09-30,2016-11-03,2.27,2.4,-0.13,-5.4167
25,2016-06-30,2016-08-04,2.8,2.32,0.48,20.6897
26,2016-03-31,2016-05-05,2.87,2.13,0.74,34.7418
27,2015-12-31,2016-02-18,2.24,2.35,-0.11,-4.6809
28,2015-09-30,2015-11-05,2.35,2.13,0.22,10.3286
29,2015-06-30,2015-08-06,2.36,2.12,0.24,11.3208
30,2015-03-31,2015-05-07,1.79,2.08,-0.29,-13.9423
31,2014-12-31,2015-02-19,1.05,1.98,-0.93,-46.9697
32,2014-09-30,2014-11-06,1.96,1.83,0.13,7.1038
33,2014-06-30,2014-08-07,2.04,1.81,0.23,12.7072
34,2014-03-31,2014-05-08,1.81,1.63,0.18,11.0429
35,2013-12-31,2014-02-27,1.82,1.19,0.63,52.9412
36,2013-09-30,2013-11-07,1.17,0.82,0.35,42.6829
37,2013-06-30,2013-08-07,1.12,0.93,0.19,20.4301
38,2013-03-31,2013-05-08,0.87,0.86,0.01,1.1628
39,2012-12-31,2013-02-27,1.3,0.9,0.4,44.4444
40,2012-09-30,2012-11-08,0.74,0.8,-0.06,-7.5
41,2012-06-30,2012-08-08,1,0.69,0.31,44.9275
42,2012-03-31,2012-05-09,0.67,0.69,-0.02,-2.8986
43,2011-12-31,2012-03-28,1.19,0.94,0.25,26.5957
44,2011-09-30,2011-11-10,1.05,0.85,0.2,23.5294
45,2011-06-30,2011-08-11,0.8,0.82,-0.02,-2.439
46,2011-03-31,2011-05-11,0.92,0.98,-0.06,-6.1224
