,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,1.31,1.24,0.07,5.6452
1,2022-06-30,2022-07-27,1.29,1.04,0.25,24.0385
2,2022-03-31,2022-05-03,0.71,0.65,0.06,9.2308
3,2021-12-31,2022-02-16,0.72,0.75,-0.03,-4
4,2021-09-30,2021-10-27,0.78,0.85,-0.07,-8.2353
5,2021-06-30,2021-07-29,0.56,0.4,0.16,40
6,2021-03-31,2021-05-05,0.02,0.08,-0.06,-75
7,2020-12-31,2021-02-17,-0.1,0.03,-0.13,-433.3333
8,2020-09-30,2020-11-04,0.06,-0.02,0.08,400
9,2020-06-30,2020-08-06,-0.61,-0.31,-0.3,-96.7742
10,2020-03-31,2020-05-07,0.74,0.57,0.17,29.8246
11,2019-12-31,2020-02-11,1,0.96,0.04,4.1667
12,2019-09-30,2019-10-23,1.05,1.02,0.03,2.9412
13,2019-06-30,2019-07-24,1.06,1.01,0.05,4.9505
14,2019-03-31,2019-05-01,0.8,0.76,0.04,5.2632
15,2018-12-31,2019-02-13,0.79,0.69,0.1,14.4928
16,2018-09-30,2018-10-24,0.77,0.76,0.01,1.3158
17,2018-06-30,2018-07-25,0.7,0.7,0,0
18,2018-03-31,2018-04-26,0.55,0.51,0.04,7.8431
19,2017-12-31,2018-02-14,0.54,0.45,0.09,20
20,2017-09-30,2017-10-26,0.56,0.5,0.06,12
21,2017-06-30,2017-07-26,0.52,0.5,0.02,4
22,2017-03-31,2017-05-02,0.38,0.28,0.1,35.7143
23,2016-12-31,2017-02-15,0.7,0.65,0.05,7.6923
24,2016-09-30,2016-10-26,0.69,0.68,0.01,1.4706
25,2016-06-30,2016-07-27,0.75,0.78,-0.03,-3.8462
26,2016-03-31,2016-04-27,0.51,0.48,0.03,6.25
27,2015-12-31,2016-02-26,0.66,0.65,0.01,1.5385
28,2015-09-30,2015-10-28,0.69,0.68,0.01,1.4706
29,2015-06-30,2015-07-29,0.75,0.68,0.07,10.2941
30,2015-03-31,2015-04-29,0.36,0.37,-0.01,-2.7027
31,2014-12-31,2015-02-18,0.51,0.54,-0.03,-5.5556
32,2014-09-30,2014-10-31,0.18,0.17,0.01,5.8824
33,2014-06-30,2014-08-01,0.63,0.57,0.06,10.5263
34,2014-03-31,2014-05-09,0.39,0.26,0.13,50
35,2013-12-31,2014-02-27,0.33,0.49,-0.16,-32.6531
