,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-29,None,0.56,None,None
1,2022-07-31,2022-08-30,0.48,0.48,0,0
2,2022-04-30,2022-06-01,0.44,0.45,-0.01,-2.2222
3,2022-01-31,2022-03-01,0.53,0.46,0.07,15.2174
4,2021-10-31,2021-11-30,0.52,0.48,0.04,8.3333
5,2021-07-31,2021-09-02,0.47,0.42,0.05,11.9048
6,2021-04-30,2021-06-01,0.46,0.42,0.04,9.5238
7,2021-01-31,2021-03-02,0.52,0.41,0.11,26.8293
8,2020-10-31,2020-12-01,0.37,0.34,0.03,8.8235
9,2020-07-31,2020-08-25,0.32,0.23,0.09,39.1304
10,2020-04-30,2020-05-21,0.22,0.29,-0.07,-24.1379
11,2020-01-31,2020-03-03,0.44,0.44,0,0
12,2019-10-31,2019-11-25,0.49,0.46,0.03,6.5217
13,2019-07-31,2019-08-27,0.45,0.4,0.05,12.5
14,2019-04-30,2019-05-23,0.42,0.37,0.05,13.5135
15,2019-01-31,2019-02-21,0.42,0.35,0.07,20
16,2018-10-31,2018-12-04,0.45,0.43,0.02,4.6512
17,2018-07-31,2018-08-28,0.44,0.37,0.07,18.9189
18,2018-04-30,2018-05-22,0.34,0.31,0.03,9.6774
19,2018-01-31,2018-02-22,0.34,0.22,0.12,54.5455
20,2017-10-31,2017-11-21,0.31,0.28,0.03,10.7143
21,2017-07-31,2017-09-05,0.3,0.26,0.04,15.3846
22,2017-04-30,2017-05-31,0.35,0.35,0,0
23,2017-01-31,2017-02-23,0.45,0.44,0.01,2.2727
24,2016-10-31,2016-11-22,0.61,0.61,0,0
25,2016-07-31,2016-09-07,0.49,0.45,0.04,8.8889
26,2016-04-30,2016-05-24,0.42,0.42,0,0
27,2016-01-31,2016-03-03,0.41,0.4,0.01,2.5
28,2015-10-31,2015-11-24,0.52,0.52,0,0
