,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,1.09,1.14,-0.05,-4.386
1,2022-06-30,2022-08-02,1.16,1.16,0,0
2,2022-03-31,2022-05-03,1.3,1.19,0.11,9.2437
3,2021-12-31,2022-02-15,1.07,0.91,0.16,17.5824
4,2021-09-30,2021-11-02,1.1,0.95,0.15,15.7895
5,2021-06-30,2021-08-03,1.11,0.97,0.14,14.433
6,2021-03-31,2021-05-04,1.24,0.84,0.4,47.619
7,2020-12-31,2021-02-17,1,0.99,0.01,1.0101
8,2020-09-30,2020-11-02,1.03,0.79,0.24,30.3797
9,2020-06-30,2020-08-04,-0.0758,-0.12,0.0442,36.8333
10,2020-03-31,2020-05-05,0.94,0.74,0.2,27.027
11,2019-12-31,2020-02-20,0.97,0.91,0.06,6.5934
12,2019-09-30,2019-11-05,0.9,0.86,0.04,4.6512
13,2019-06-30,2019-08-06,0.84,0.83,0.01,1.2048
14,2019-03-31,2019-05-07,0.8,0.76,0.04,5.2632
15,2018-12-31,2019-02-20,1.12,1.11,0.01,0.9009
16,2018-09-30,2018-11-06,1.03,1.01,0.02,1.9802
17,2018-06-30,2018-08-06,1.04,1.01,0.03,2.9703
18,2018-03-31,2018-05-08,0.95,0.92,0.03,3.2609
19,2017-12-31,2018-02-20,0.97,0.97,0,0
20,2017-09-30,2017-11-06,0.87,0.89,-0.02,-2.2472
21,2017-06-30,2017-08-08,0.88,0.87,0.01,1.1494
22,2017-03-31,2017-05-09,0.88,0.82,0.06,7.3171
23,2016-12-31,2017-02-21,0.94,0.92,0.02,2.1739
24,2016-09-30,2016-11-02,0.84,0.83,0.01,1.2048
25,2016-06-30,2016-08-04,0.82,0.82,0,0
26,2016-03-31,2016-05-03,0.71,0.69,0.02,2.8986
27,2015-12-31,2016-02-10,0.84,0.82,0.02,2.439
28,2015-09-30,2015-11-04,0.78,0.73,0.05,6.8493
29,2015-06-30,2015-07-29,1.46,1.46,0,0
30,2015-03-31,2015-05-04,1.28,1.26,0.02,1.5873
31,2014-12-31,2015-02-11,1.56,1.51,0.05,3.3113
32,2014-09-30,2014-11-06,1.34,1.3,0.04,3.0769
33,2014-06-30,2014-08-04,0.68,0.67,0.01,1.4925
34,2014-03-31,2014-05-06,0.59,0.57,0.02,3.5088
35,2013-12-31,2014-02-11,0.72,0.7,0.02,2.8571
36,2013-09-30,2013-11-05,0.61,0.61,0,0
37,2013-06-30,2013-08-06,0.62,0.61,0.01,1.6393
38,2013-03-31,2013-05-07,0.53,0.54,-0.01,-1.8519
39,2012-12-31,2013-02-13,0.63,0.6,0.03,5
40,2012-09-30,2012-11-07,0.54,0.54,0,0
41,2012-06-30,2012-08-02,0.56,0.55,0.01,1.8182
42,2012-03-31,2012-05-08,0.49,0.46,0.03,6.5217
43,2011-12-31,2012-02-15,0.57,0.56,0.01,1.7857
44,2011-09-30,2011-11-01,0.5,0.5,0,0
45,2011-06-30,2011-08-02,0.51,0.5,0.01,2
46,2011-03-31,2011-05-03,0.41,0.4,0.01,2.5
47,2010-12-31,2011-02-22,0.5,0.48,0.02,4.1667
48,2010-09-30,2010-10-29,0.47,0.44,0.03,6.8182
49,2010-06-30,2010-08-02,0.45,0.43,0.02,4.6512
50,2010-03-31,2010-05-04,0.38,0.35,0.03,8.5714
51,2009-12-31,2010-02-23,0.47,0.45,0.02,4.4444
52,2009-09-30,2009-11-04,0.4,0.41,-0.01,-2.439
53,2009-06-30,2009-08-04,0.41,0.38,0.03,7.8947
54,2009-03-31,2009-05-04,0.32,0.29,0.03,10.3448
55,2008-12-31,2009-02-24,0.45,0.44,0.01,2.2727
56,2008-09-30,2008-11-05,0.39,0.37,0.02,5.4054
57,2008-06-30,2008-08-05,0.36,0.34,0.02,5.8824
58,2008-03-31,2008-05-06,0.28,0.28,0,0
59,2007-12-31,2008-02-25,0.42,0.41,0.01,2.439
60,2007-09-30,2007-11-01,0.33,0.31,0.02,6.4516
61,2007-06-30,2007-08-07,0.3,0.29,0.01,3.4483
62,2007-03-31,2007-05-08,0.24,0.24,0,0
63,2006-12-31,2007-02-21,0.35,0.34,0.01,2.9412
64,2006-09-30,2006-11-02,0.22,0.26,-0.04,-15.3846
65,2006-06-30,2006-07-27,0.25,0.24,0.01,4.1667
66,2006-03-31,2006-04-27,0.2,0.2,0,0
67,2005-12-31,2006-02-22,0.3,0.29,0.01,3.4483
68,2005-09-30,2005-10-25,0.21,0.21,0,0
69,2005-06-30,2005-07-26,0.23,0.22,0.01,4.5455
70,2005-03-31,2005-05-03,0.19,0.18,0.01,5.5556
71,2004-12-31,2005-03-01,0.22,0.21,0.01,4.7619
72,2004-09-30,2004-10-26,0.18,0.18,0,0
73,2004-06-30,2004-07-27,0.22,0.21,0.01,4.7619
74,2004-03-31,2004-04-27,0.16,0.16,0,0
75,2003-12-31,2004-03-02,0.2,0.2,0,0
76,2003-09-30,2003-11-04,0.26,0.23,0.03,13.0435
77,2003-06-30,2003-08-05,0.19,0.18,0.01,5.5556
78,2003-03-31,2003-05-06,0.14,0.13,0.01,7.6923
79,2002-12-31,2003-03-04,0.17,0.16,0.01,6.25
80,2002-09-30,2002-11-05,0.22,0.18,0.04,22.2222
81,2002-06-30,2002-08-06,0.16,0.15,0.01,6.6667
82,2002-03-31,2002-05-07,0.11,0.11,0,0
83,2001-12-31,2002-03-05,0.16,0.15,0.01,6.6667
84,2001-09-30,2001-11-06,0.14,0.13,0.01,7.6923
85,2001-06-30,2001-08-07,0.12,0.12,0,0
86,2001-03-31,2001-05-08,0.08,0.08,0,0
87,2000-12-31,2001-03-06,0.13,0.12,0.01,8.3333
88,2000-09-30,2000-10-31,0.12,0.11,0.01,9.0909
89,2000-06-30,2000-08-01,0.1,0.1,0,0
90,2000-03-31,2000-05-01,0.07,0.07,0,0
91,1999-12-31,2000-02-29,0.1,0.1,0,0
92,1999-09-30,1999-10-21,0.1,0.11,-0.01,-9.0909
93,1999-06-30,1999-08-02,0.1,0.1,0,0
94,1999-03-31,1999-05-03,0.07,0.06,0.01,16.6667
95,1998-12-31,1999-03-01,0.13,0.12,0.01,8.3333
96,1998-09-30,1998-11-02,0.1,0.1,0,0
97,1998-06-30,1998-08-03,0.09,0.09,0,0
98,1998-03-31,1998-05-04,0.06,0.06,0,0
99,1997-12-31,1998-03-02,0.1,0.1,0,0
100,1997-09-30,1997-11-03,0.08,0.07,0.01,14.2857
101,1997-06-30,1997-08-04,0.07,0.07,0,0
102,1997-03-31,1997-05-05,0.04,0.04,0,0
103,1996-12-31,1997-02-26,0.08,0.08,0,0
104,1996-09-30,1996-11-04,0.06,0.06,0,0
105,1996-06-30,1996-08-05,0.06,0.05,0.01,20
106,1996-03-31,1996-05-06,0.03,0.03,0,0
