,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-07,1.36,1.32,0.04,3.0303
1,2022-06-30,2022-08-08,1.54,1.44,0.1,6.9444
2,2022-03-31,2022-05-09,1.69,1.35,0.34,25.1852
3,2021-12-31,2022-02-09,1.1,1.03,0.07,6.7961
4,2021-09-30,2021-11-08,1.47,1.38,0.09,6.5217
5,2021-06-30,2021-08-05,1.5,1.49,0.01,0.6711
6,2021-03-31,2021-05-10,1.6,1.53,0.07,4.5752
7,2020-12-31,2021-02-10,1.32,1.19,0.13,10.9244
8,2020-09-30,2020-11-09,1.4,1.46,-0.06,-4.1096
9,2020-06-30,2020-08-10,1.36,1.31,0.05,3.8168
10,2020-03-31,2020-05-11,1.62,1.59,0.03,1.8868
11,2019-12-31,2020-02-12,1.46,1.45,0.01,0.6897
12,2019-09-30,2019-11-04,1.53,1.53,0,0
13,2019-06-30,2019-08-05,1.61,1.62,-0.01,-0.6173
14,2019-03-31,2019-05-06,1.57,1.52,0.05,3.2895
15,2018-12-31,2019-02-13,1.32,1.29,0.03,2.3256
16,2018-09-30,2018-11-05,1.64,1.54,0.1,6.4935
17,2018-06-30,2018-08-07,1.76,1.59,0.17,10.6918
18,2018-03-31,2018-05-07,1.79,1.59,0.2,12.5786
19,2017-12-31,2018-02-14,1.4,1.31,0.09,6.8702
20,2017-09-30,2017-11-06,1.47,1.42,0.05,3.5211
21,2017-06-30,2017-08-08,1.5,1.45,0.05,3.4483
22,2017-03-31,2017-05-08,1.52,1.51,0.01,0.6623
23,2016-12-31,2017-02-15,1.22,1.18,0.04,3.3898
24,2016-09-30,2016-11-07,1.34,1.41,-0.07,-4.9645
25,2016-06-30,2016-08-08,1.47,1.4,0.07,5
26,2016-03-31,2016-05-09,1.47,1.4,0.07,5
27,2015-12-31,2016-02-10,1.05,1.15,-0.1,-8.6957
28,2015-09-30,2015-11-09,1.39,1.35,0.04,2.963
29,2015-06-30,2015-08-10,1.36,1.36,0,0
30,2015-03-31,2015-05-12,1.45,1.43,0.02,1.3986
31,2014-12-31,2015-02-12,1.07,1.03,0.04,3.8835
32,2014-09-30,2014-11-04,1.32,1.32,0,0
33,2014-06-30,2014-08-05,1.37,1.35,0.02,1.4815
34,2014-03-31,2014-05-06,1.32,1.25,0.07,5.6
